Index	Homograph	Context	TargetWord	Label
1	директора	И тут все зависит только от мнения директора, а ему совершенно безразлично, какой она дает результат, он в английском ни бум-бум.	директора	1
2	директора	По словам Габриэла Бримена, директора отделения партнерской программы Sun/ DotHill в компании DotHill, за два года сотрудничества во всем мире реализовано 25 тыс. систем данной серии; на них приходится 83, 4 % оборота компании.	директора	1
3	директора	Российское Председательство настроено на тесное и слаженное взаимодействие с послом Х. Рупересом (Испания), недавно назначенным на пост исполнительного директора КТИД.	директора	1
4	директора	"По словам генерального директора Oracle СНГ Бориса Щербакова, если учесть состоявшуюся сделку со ""Связьинвестом "", то в секторе ERP-систем Oracle удалось обогнать SAP, но и без учета этой сделки рост продаж все равно шел опережающими темпами по сравнению с конкурентами."	директора	1
5	директора	"Заместитель генерального директора ОАО ""Московская страховая компания "" А. А. Федонкин высказал мнение, что по его расчетам адвокат, ведущий дела о разделе совместного имущества супругов, должен ежегодно страховать свою ответственность на сумму около 200 тыс. долл. При этом, вероятно, страховая премия составит не менее 2 тыс. долл. в год."	директора	1
6	директора	Видимо, амбиции, о которых шла речь в рассказе директора шарьинской школы, появляются позже, после получения образования.	директора	1
7	директора	В компании, по словам ее генерального директора и президента Уильяма Эккера, рассчитывают на то, что технология, получившая название Mobion, существенно упростит создание подобного рода устройств.	директора	1
8	директора	В результате обсуждения сообщения генерального директора было принято решение переименовать ИПБ России в Институт профессиональных бухгалтеров и аудиторов России.	директора	1
9	директора	"""Сбережем культуру для внуков "" -- такой девиз у директора Тверского областного Дворца культуры ""Пролетарка "" И. И. Гультяева."	директора	1
10	директора	Как объявил ангольский представитель, последний доклад главы инспекторов Ханса Бликса и директора МАГАТЭ Мухаммеда аль-Барадеи является «сигналом надежды», что иракский кризис можно решить мирным путем.	директора	1
11	директора	По оценке Элисон Скаррат, директора Национального аквариума из Балтимора, за эти пол века в бухте погибло девяносто процентов водорослей, и вызвано это загрязнением воды.	директора	1
12	директора	"В предыдущие месяцы михалковская премия не сходила у организаторов ""Ники "" с языка, однако теперь даже Юлий Гусман, изгнанный с поста директора Дома кино, решил проявлять сдержанность."	директора	1
