Index	Homograph	Context	TargetWord	Label
1	доктора	"Доклад доктора юридических наук, профессора Государственного университета-Высшей школы экономики Л. Сюкияйнена был посвящен теме ""Правовые средства борьбы с исламским экстремизмом и основные направления государственной политики в отношении ислама "". С начала 1990-х гг. в России наблюдается заметная активизация ислама, усиливается его роль в различных областях жизни страны."	доктора	1
2	доктора	Три ошибки Доктора	Доктора	1
3	доктора	"Она привыкла говорить резко, не улыбаться, не плакать, слышать от людей: ""некрасива "" и ждать Астрова; в глубине души, за своей любовью она тоже знает: ""для деревенского доктора, в его годы, это была бы прекрасная жена ""."	доктора	1
4	доктора	А что вы думаете о методике доктора Бобыря, эта методика обещает за 2 сеансы выправить позвоночник, но так, чтобы его не просто разболтать и нанести вред, а устранить причины.	доктора	1
5	доктора	Так что Сережа потом в одночасье из доктора тоже превратился в пациента.	доктора	1
6	доктора	И ведь что любопытно и симптоматично: идеи доктора Чезаре Ломброзо, который впервые заговорил о биологических основах криминала, никуда не делись.	доктора	1
7	доктора	Мои родители были вовсе не модные магнаты, а физики и альпинисты, и я Анне рассказываю, как мы ехали в очередной раз на Кавказ на альпинистские сборы -- мне было двенадцать, -- и с нами отчего-то поехала Сан Санна, жена доктора.	доктора	1
8	доктора	"Собственноручная, писанная в 1959-м синими чернилами записка Пастернака, в которой он отказывается от издания ""Доктора Живаго ""."	Доктора	1
9	доктора	"В статье доктора исторических наук B. С. Шардакова ""Атомный гриб "" утверждается, что Пхеньян в те годы мог стать новой Хиросимой."	доктора	1
10	доктора	Предисловие, комментарии, редакция и приложение доктора филологических наук Дожоокийн Цэдэва.	доктора	1
11	доктора	"Сказать, что ""инженерный разум Бенца, смекалка Форда и сумрачный гений доктора Дизеля уравняли шансы паралитика и марафонца "", -- значит сказать неправду."	доктора	1
12	доктора	Ни одного неосторожного слова доктора или самих корреспондентов, ни одного экстремистского заявления зловещих людей в камуфляже не попало в кадр -- уникальные кадры все сказали сами за себя.	доктора	1
13	доктора	Ничего другого из жизни доктора фельдшеру не было известно, да он и не интересовался им, занятый собственными интересами -- начавшимся ухаживанием за дочерьми Лейбы Когана, в квартире которого недавно поселился.	доктора	1
