Index	Homograph	Context	TargetWord	Label
1	мастера	Второй урок мастера посвящен прорезной резьбе по бересте.	мастера	1
2	мастера	Это не столько программирование, сколько верстка, работа web-мастера.	мастера	1
3	мастера	"В рамках проекта ""Книга бытия "" возник именно тот творческий союз, благодаря которому размышления, поиски, скоординированные усилия всех членов клуба смогли восполнить провалы в художественном образовании каждого мастера в отдельности, что позволило более опытным мастерам стать ведущими, а начинающим -- постигать тайны ремесла и достойно представиться зрителю."	мастера	1
4	мастера	Проверка корректности данных проводится в два этапа: средствами интерфейса при использовании мастера и внутренней процедурой метода.	мастера	1
5	мастера	"Однако присяжные заседатели ""оправдывали при сознании... ученика, неудачно поджигающего дом своего мастера-хозяина в отместку за понесенные от него истязания,... похитителя, совершающего похищения под влиянием голода или желания попасть в тюрьму для того, чтобы иметь после долгих скитаний теплый угол и кусок хлеба... и проч. и проч. Преступника по форме присяжные не решаются признать преступником по существу "" (выделено мною. -- А. А.) [3]."	мастера	1
6	мастера	"""Предание мастера "" Э. Цветков"	мастера	1
7	мастера	Не знаем, добился ли юный поэт благосклонности длинноногой красавицы, но в дзюдо его достижения были налицо -- он даже выполнил норму мастера спорта.	мастера	1
8	мастера	И прием этот в исполнении мастера срабатывал безотказно и без ощущения какого-либо подвоха.	мастера	1
9	мастера	"Московская галерея ""Ковчег "" до середины июля показывают пейзажи полузабытого мастера Федора Семенова (1902-1980)."	мастера	1
10	мастера	Запись, сделанная во Фрайбурге 4-го и 5 мая 2001 года, полна той исполнительской свободы и радости, что и оказывается в итоге почерком мастера.	мастера	1
11	мастера	"Сколь странна, столь и выразительна ""Сцена из комедии дель арте (два возраста) "" неизвестного мастера XVI века, доставленная на выставку из запасников."	мастера	1
12	мастера	"Эффектна ""Сводня "" другого мастера того же времени."	мастера	1
13	мастера	Володя всю свою скрипичную карьеру сделал на итальянской скрипке мастера Гобетти из Венеции.	мастера	1
14	мастера	Взаимоотношения парткома и профкома, секретаря обкома и директора крупного треста, мастера и рабочего были известны ему до тонкостей, и фантазия -- отказавшийся от незаработанной премии бригадир-идеалист -- вырастала на прочном основании.	мастера	1
15	мастера	Правда, уже после «Войны», потому что рука мастера дело знает, и где-то на сороковой минуте ты уже пребываешь там, на их «Войне».	мастера	1
16	мастера	"""Автограф "" этого мастера -- это великолепные крупные планы и ракурсы."	мастера	1
17	мастера	Посередине дощатого барака, где сапоги топтали земляной пол и не было окон, застыла в недоделках последняя работа мастера, будто корабль на стапелях, тоже гроб.	мастера	1
18	мастера	Конечно, без руки мастера Воротникова, без его приписок тут не обходилось, и в соревновании то Хомеляйнен обгонял Аржанова, то Аржанов Хомеляйнена.	мастера	1
19	мастера	Он держал в руках саксофон, глупое, в общем, животное, выдумка мастера, гибрид дерева и металла с куском пластмассы в придачу, да и по форме не самый совершенный, и клапы у саксофона не очень красиво вырастают из тела, и раструб, наверное, слишком резко вывернут...	мастера	1
20	мастера	Когда-то барон Ротшильд был готов заплатить за эту работу венецианского мастера 40000000 лир, в то время как вся коллекция семейства Боргезе вместе с дворцом оценивалась в 30000000 лир.	мастера	1
21	мастера	Были тут уже законченные алкаши из журналистов, выгнанные из дому женами, два мастера по подвеске штор и прочего благоустройства, Феликс Федосеев, корреспондент Всесоюзного радио по Вологодской области, всем друг-товарищ и собутыльник, о чем-то разглагольствовал, еще какие-то типы.	мастера	1
22	мастера	"Ободок -- средней толщины, вместо камня -- печатка с латинской буквой ""Н "", напоминающей наполеоновский вензель, золото наивысшей пробы -- так удостоверено ювелиром, сам же перстень -- работа искусного мастера конца прошлого века, и если находку в ""пистончике "" прокрутить через управление МВД, то дней через пять найдутся руки, державшие это изделие, а швейцарские часы безлики, надежды на них никакой."	мастера	1
23	мастера	Надо ли говорить, как эта поддержка большого мастера была нужна начинающему архитектору.	мастера	1
24	мастера	"Однако не забудем, что в сухарике содержалось пятнадцать томов книги мастера Амати ""Советы добрым волшебникам ""."	мастера	1
25	мастера	И какая, в сущности, разница, кто из нас раньше, а кто позже начал, когда оба мы прошли школу одного великого мастера?	мастера	1
26	мастера	Здесь несомненная заслуга телевизионного оператора, большого мастера Сергея Журавлева, снимавшего мои номера.	мастера	1
27	мастера	Она взглядом мастера, как бы примериваясь, разглядывала его лицо.	мастера	1
28	мастера	"Тут были и сведения о постыдном поведении княгини Багратиони; и дело о путешествии по России англичанина Стокса; и донос дворовых на дворового Матвея Кудинова, хулившего государя; и письмо некоего фон Боля об опасностях, угрожающих монарху; и определения, из каких сумм оплачивать труды вора-арестанта Степана Карелина, исполняющего в городской тюрьме обязанности заплечного мастера; и следствие о крамольном ""Французском парламенте "", возникшем в Петрозаводске; и о наблюдении, устроенном за границей, к коему примыкало сообщение государственной важности -- о получении агентом Третьего отделения неким Польтом премии лондонского клуба за игру на бильярде."	мастера	1
