Index	Homograph	Context	TargetWord	Label
1	повара	Для меня, повара по специальности, человека, имеющего дело только с бытовой техникой, компьютер всегда казался чем-то немного волшебным, странным, я боялась к нему подходить и даже пыль стирала аккуратно: не дай Бог, коснуться чего-нибудь не того.	повара	1
2	повара	Ирина никому не завидовала, кроме семьи профессора-повара.	повара	1
3	повара	Спустя два года Лешка получил не очень почетный, зато красивый диплом кулинара-повара третьего разряда.	повара	1
4	повара	Все четыре повара -- настоящие живые узбеки.	повара	1
5	повара	Вовка заволновался, что тот, пожалуй, двинет сейчас локтем тарелку и столь трудно выпрошенная у повара лишняя каша с мясом будет на полу.	повара	1
6	повара	Трамвай тряхнуло, тортик дрогнул, и Симеонов увидел на отливавшей водным зеркалом желейной поверхности явственный отпечаток большого пальца -- нерадивого ли повара, неуклюжей ли продавщицы.	повара	1
7	повара	Скворцов сбегал на кухню, насмешил судомоек, выпросил у повара кость, бросил ее Подхалиму, радостно посмотрел на радость собаки и пошел по своим делам.	повара	1
8	повара	Мимо головы и плеча Павла видно Шухову: две руки повара поставили две миски в окошечке и, держась за них, остановились, как бы в раздумье.	повара	1
9	повара	Шухов покинул всю гору мисок своих за столом, ногой через скамью перемахнул, обе миски потянул и, вроде не для повара, а для Павла, повторил не очень громко:	повара	1
10	повара	В окошке вполноту показалась красная рожа повара.	повара	1
11	повара	Руки у повара белые, холеные, а волосатые, здоровы́.	повара	1
12	повара	Приготовление пищи -- арестантское наслаждение особого рода; ни с чем не сравнимое удовольствие приготовить пищу для себя, своими руками и затем есть, пусть сваренную хуже, чем бы это сделали умелые руки повара, -- наши кулинарные знания были ничтожны, поварского умения не хватало даже на простой суп или кашу.	повара	1
13	повара	Он, как Ликург, позаботился о том, чтобы в его таежном государстве было два фельдшера, два кузнеца, два десятника, два повара, два бухгалтера.	повара	1
14	повара	Полковник зашел в овин посмотреть, как живут разведчики, но там никого не оказалось, кроме повара, дневального и этой девушки.	повара	1
15	повара	Торговал только рынок на маленькой площади -- рыбой и зеленью, и были на нем одни простые люди, среди которых, как всегда, без всякого дела, стоял Лоренцо, высокий старик-лодочник, беззаботный гуляка и красавец, знаменитый по всей Италии, не раз служивший моделью многим живописцам: он принес и уже продал за бесценок двух пойманных им ночью омаров, шуршавших в переднике повара того самого отеля, где ночевала семья из Сан-Франциско, и теперь мог спокойно стоять хоть до вечера, с царственной повадкой поглядывая вокруг, рисуясь своими лохмотьями, глиняной трубкой и красным шерстяным беретом, спущенным на одно ухо.	повара	1
16	повара	Однако излишняя благосклонность повара Луки заставляет его обратиться в бегство.	повара	1
17	повара	"Все это, кажется, Иван Иванович выдумал, то есть ""место для повара, где денег не платят "", чтоб граф не приставал к нему со своим предложением."	повара	1
