Index	Homograph	Context	TargetWord	Label
1	профессора	В глазах профессора Мориарти мелькнула тревога.	профессора	1
2	профессора	"Доклад доктора юридических наук, профессора Государственного университета-Высшей школы экономики Л. Сюкияйнена был посвящен теме ""Правовые средства борьбы с исламским экстремизмом и основные направления государственной политики в отношении ислама "". С начала 1990-х гг. в России наблюдается заметная активизация ислама, усиливается его роль в различных областях жизни страны."	профессора	1
3	профессора	Соня вернется от профессора, скажет тяжело: нельзя (да и знает ли она, как его просить...)	профессора	1
4	профессора	Выполнение работы было бы невозможно без советов и доброжелательной критики со стороны профессора кафедры минералогии МГУ Э. М. Спиридонова.	профессора	1
5	профессора	Кажется невероятным, но прогнозы профессора Дурманова оправдались абсолютно.	профессора	1
6	профессора	Интересным было выступление Рейнера Квика (Reiner Quick), профессора из университета г. Эссена (Германия).	профессора	1
7	профессора	Группа профессора Лаурелла преуспела в выращивании нервных волокон на специальных микрочипах с восстановлением в конечном счете функционального контакта нервных окончаний.	профессора	1
8	профессора	"По словам профессора Шаньдунского университета Цуй Дайюна, руководившего проведением раскопок, ""эта "" армия ""-- третья по величине из обнаруженных когда-либо в Китае ""."	профессора	1
9	профессора	"В 1777 году француз Жан Думье, приговоренный к смертной казни, должен был испытать ""летающий плащ "" профессора Фонтажа, изготовленный по эскизам Леонардо."	профессора	1
10	профессора	По расчетам профессора Дара, Земля попадает под удар гамма-излучения, выпущенного умирающей сверхмассивной звездой, с периодичностью раз в 100 миллионов лет.	профессора	1
11	профессора	С годами он стал чем-то напоминать булгаковского профессора Преображенского.	профессора	1
12	профессора	"Баранова указала, что ее не информировали о результатах анализа пробы ""А "" и вопреки правилам провели контрольный анализ ""В "" без ее разрешения и в отсутствие ее самой или ее представителей (явно не обошлось без консультаций профессора Дурманова)."	профессора	1
13	профессора	"По словам одной из участниц этого исследования -- профессора Марианеллы Кольцовой, руководителя лаборатории высшей нервной деятельности детей дошкольного возраста НИИ физиологии детей и подростков, в конце 70-х годов идея начинать обучение в шесть лет проводилась в жизнь очень энергично: ""В нашем институте сперва многие отнеслись к этой идее положительно."	профессора	1
14	профессора	"Однако здесь уместно было бы в качестве примера привести публикацию в сборнике статьи профессора Института по военным и оборонным вопросам Республики Корея Ян Ен Чжо ""Вооруженные силы Юга и Севера Кореи накануне войны: сравнительная характеристика "", где южнокорейский автор подчеркивает: вооруженные силы Севера к моменту начала войны значительно превосходили вооруженные силы Юга (с. 40), приводя в доказательство своей точки зрения серию сравнительных таблиц."	профессора	1
15	профессора	"Начнем с того, что регистрация участников конференции и публикация тезисов проходила через Интернет с помощью информационной системы ""Конференция "", программное обеспечение которой было создано в ИВТ СО РАН под руководством заместителя директора Института профессора А. Федотова."	профессора	1
16	профессора	По просьбе члена Международного комитета по восстановлению научного наследия Б. Пилсудского, профессора университета им. А. Мицкевича в Познани Альфреда М. Маевича, Л. Озолиня готовит к печати рукописные материалы по языку ороков, собранные	профессора	1
17	профессора	Если прогноз профессора сбудется, человечество поневоле отучится болтать и хитрить и украсится небывалыми добродетелями.	профессора	1
18	профессора	Кроме профессора Дурманова, экспертами от FIS выступили трое: директор антидопинговой лаборатории в Осло Петер Хеммерсбах, директор центральной антидопинговой лаборатории в Лозанне Мартель Сожи и владелец контрольного пакета акций, один из руководителей проводившей анализы допинг-проб частной компании IDTM из Швеции Стэффан Сальстрем.	профессора	1
19	профессора	Наиболее важные теоретические результаты получены под руководством академика Г. Н. Флерова и профессора Ю. С. Шимелевича на принципиально новом направлении, основанном на использовании импульсных источников нейтронов.	профессора	1
20	профессора	Шалопай в детстве и необыкновенно обаятельный, быстрый умом и лучше других в родне устроившийся во взрослой жизни, закончивший в начале пятидесятых вовсе не престижный в ту пору -- кто бы теперь поверил -- экономический факультет Московского университета, собственно, и принятый-то туда по подсказке профессора Первушина лишь потому, что случился недобор, и уже осенью наголо обритый в военкомате призывник сдавал дополнительные экзамены, дядюшка был к почве равнодушен и в купавинском эпосе ни на что, кроме справедливости и потребности искупить перед старшим братом вину, не претендовал и оттого приезжал в озерный край гораздо реже и еще реже брал с собою жену.	профессора	1
21	профессора	Еще через год, по ходатайству профессора Калинцева, старого друга отца, заведующего кафедрой акушерства и гинекологии, его восстановили в студенчестве.	профессора	1
22	профессора	В душе у профессора была сумятица чувств: досада от этого затянувшегося визита мешалась с благодарностью за слова, полные, кажется, искреннего сочувствия.	профессора	1
23	профессора	Его известность в университете на последнем курсе была не спортивной и не музыкальной: за год до того в научных трудах была опубликована статья за подписью студента физмата и профессора-специалиста по теоретической физике по теме, в которой, оказалось, рылись военные.	профессора	1
24	профессора	Эта тихая небольшая улочка в самом центре Москвы в 1922 году получила имя Грановского, прогрессивного профессора Московского университета, а прежде она называлась Шереметевским переулком.	профессора	1
25	профессора	"У Марьяновского и у самого Кио (избегал, вероятно, расхождений с биографами) в книге ""Фокусы и фокусники "" (под редакцией профессора Дмитриева) предлагается версия, что на псевдоним Кио отца натолкнула погасшая в слове ""КИНО "" на вывеске буква ""Н ""."	профессора	1
26	профессора	Во-первых, заработал за сезон во много раз больше ординарного профессора Московского университета.	профессора	1
27	профессора	Я закрыла глаза, и мне отчетливо представилось лицо моего главного противника -- профессора Фонарина.	профессора	1
28	профессора	И я могу лишь согласиться с мыслью профессора Пьерона, который в лекции об очеловечивании говорил:	профессора	1
29	профессора	И он сунул в руки профессора лошадиный череп.	профессора	1
30	профессора	Отсюда во время совета чинно и величественно выходил личный служитель профессора с бакенбардами, а за ним его жена, спокойная тощая старушка, и они разносили чай	профессора	1
31	профессора	Я даже, если хотите знать, -- продолжал он, -- два года ходил на семинар профессора Массона.	профессора	1
32	профессора	Я думал, что это какая-нибудь отставная профессорша или жена отставного профессора, но впоследствии выяснилось, что старушка -- обыкновенная студентка.	профессора	1
33	профессора	"Там есть, оказывается, вот что: ""Не случайно иные студенты-пятикурсники решили отказаться от услуг профессора как руководителя дипломной работы ""."	профессора	1
34	профессора	"Затем я говорю студентам о нашей семье, о рано умершей матери и об отце, окончившем с серебряной медалью Новороссийский университет, ученике прославленного византииста, профессора, академика Кондакова; говорю о нашей семейной приверженности к великой русской литературе и папиному книжному шкафу, где как величайшие ценности хранились двенадцатитомная ""История государства Российского "" Карамзина, полное собрание сочинений Пушкина, Гоголя, Чехова, Лермонтова, Некрасова, Тургенева, Лескова, Гончарова и так далее."	профессора	1
35	профессора	Теперь она была не просто Рахиль Рахленко, дочь сапожника Авраама Рахленко, она была невестой Якоба Ивановского из Базеля, сына известного профессора, владельца знаменитой клиники.	профессора	1
36	профессора	Наши друзья рассказали о своих московских приключениях, об институте профессора Верхомудрова, о разговоре с Кузькой.	профессора	1
37	профессора	"Иван показал на чемодан профессора, так поразительно похожий на чемодан ""железнодорожного конструктора ""."	профессора	1
38	профессора	Сидели вдвоем в ожидании Риты, разговаривали, он больше спрашивал, причем почтительно, с уважением и, я бы даже сказал, искательно, как мог бы спрашивать ученик у профессора, а я отвечал.	профессора	1
39	профессора	Петька, например, внук Марьи Петровны и сын красного профессора, работал простым грузчиком на лесоторговой базе.	профессора	1
40	профессора	После университета, -- сказал он, все так же твердо ставя бокал, -- я был принят в институт знаменитого профессора Гарца.	профессора	1
41	профессора	И ничто не могло б его спасти, если б не личное знакомство с Калининым -- говорили, будто отец Калинина был крепостным у отца профессора.	профессора	1
42	профессора	В часы, когда арестантов запирали в тюрьме двойной окованной дверью, этот высокооплачиваемый товарищ с ненормированным рабочим днем собственноножно приходил в комнату профессора, выстукивал стены, плясал на половицах, заглядывал в пыльную промежность за шкафом и хмуро качал головой.	профессора	1
43	профессора	В этой статье вами упомянуто про специальный метод профессора Павловича...	профессора	1
44	профессора	Я никогда и в глаза не видел этого профессора и понятия о нем не имел, а он узнал себя, вплоть до внешнего вида и привычек.	профессора	1
45	профессора	Ведь боевые орлы отливались, из чистого золота и серебра -- передавалось из уст в; уста какое-то замечание профессора.	профессора	1
46	профессора	После года принудительного лечения в тюремной психиатрической больнице он вышел на волю и поселился в Белоруссии у старшего брата, профессора-биолога, устроился с его помощью на работу в технической библиотеке.	профессора	1
47	профессора	В стареньком пальто, с головой, повязанной шерстяным платком, она, жена доктора наук и профессора, казалась воплощением военной эвакуационной бедности.	профессора	1
48	профессора	Безупречность помещения, приспособленного к размышлениям и опытам, успокаивала, и горьковатый осадок в душе профессора исчез.	профессора	1
49	профессора	Отец свирепо швырнул в угол книгу немецкого профессора.	профессора	1
50	профессора	У профессора разболелась голова.	профессора	1
51	профессора	Руки у профессора дрожали, когда он брал ее, и так жадно, в три глотка, он осушил кружку до дна, да еще и губы после облизал, что Гансу опять стало страшно.	профессора	1
52	профессора	Разве история садовника Курта, -- спрашивали газеты, -- сумевшего проникнуть в дом профессора, ясна до самого конца?	профессора	1
53	профессора	Она вдова профессора и теперь...	профессора	1
54	профессора	Жаль только, что я не удосужился спросить у профессора, что такое шизофрения.	профессора	1
55	профессора	Один из следователей прибыл в клинику профессора Стравинского и первым долгом попросил предъявить ему список тех лиц, которые поступили в клинику в течение последних трех дней.	профессора	1
56	профессора	В крайнем случае -- «неприличие», и позволительно говорить об этом лишь научным, серьезным языком, с видом профессора.	профессора	1
57	профессора	Очень поучительна в этом отношении книжка английского профессора Крэмба...	профессора	1
58	профессора	Но реакционная политика правительства, которое в 1832 г. лишило кафедры Людвига Фейербаха и в 1836 г. снова отказалось пустить его в университет, а в 1841 г. отняло право читать лекции в Бонне у молодого профессора Бруно Бауэра, заставила Маркса отказаться от ученой карьеры.	профессора	1
