Index	Homograph	Context	TargetWord	Label
1	учителя	А банкиры и без учителя своих отвезут.	учителя	1
2	учителя	Мальчик на миллион, Фрэнк Эбигнейл, юный хитрец и озорник, с отличными мозгами в совмещении с детской фантазией, уже в новой школе поражает нас своей выходкой в роли учителя по французскому в своем же классе.	учителя	1
3	учителя	С тех пор прошло очень много лет, но до сих пор каждый год в день учителя наши дети, сами уже дедушки и бабушки, приходят к своему бывшему классному руководителю, чтобы поделиться своими проблемами и радостями.	учителя	1
4	учителя	Все переживаю за этот «День учителя»...	учителя	1
5	учителя	А Ярослав Кудрявцев занимается развитием идей своего учителя.	учителя	1
6	учителя	Ученик, сидящий в пятом ряду, находится от учителя на расстоянии примерно в три раза большем, чем ученик, сидящий в первом ряду, однако, условия слышимости в обоих случаях мало отличаются друг от друга.	учителя	1
7	учителя	И по меньшей мере половину месячного дохода учителя составляет оплата уроков.	учителя	1
8	учителя	Успех в выполнении исследовательской работы может быть достигнут во многом благодаря осведомленности самого учителя о существующих доступных методиках исследований, а также благодаря его возможностям в предоставлении ученикам условий для выполнения работы.	учителя	1
9	учителя	"Образ Моисея как первого религиозного учителя в исламской ""цепи пророков "" буквально пронизывает ранний ислам."	учителя	1
10	учителя	О трудностях в работе учителя по формированию у школьников представлений о смысле жизни шла речь в докладе А. С. Турбовского (Москва).	учителя	1
11	учителя	Педагогические способности учителя играют здесь первостепенную роль, а потому родители должны пообщаться с ним лично и определить, насколько он профессионален и компетентен.	учителя	1
12	учителя	Детей у них было пятеро, и к одному из них, Василию, был приглашен (еще в Петербурге) в качестве учителя молодой Николай Васильевич Гоголь.	учителя	1
13	учителя	"""Берлинская флейта "" посвящена памяти Сергея Беринского – Учителя."	Учителя	1
14	учителя	С одной стороны, физически зрелый семилетний ребенок способен выдерживать 45-минутные уроки, концентрировать внимание, выполнять задания учителя.	учителя	1
15	учителя	А вообще мне очень хочется попробовать себя в роли учителя литературы, думается, я бы смог сделать этот предмет очень интересным, хочу предложить в старших классах, что-нибудь типа факультатива по Американской литературе, которую очень люблю.	учителя	1
16	учителя	Старая Екатерина Михайловна в одежде учителя – и рядом с ней я.	учителя	1
17	учителя	Это – изменение статуса учителя, связанное в первую очередь с увеличением его заработной платы.	учителя	1
18	учителя	Как раз в это время он приобрел скандальную известность, ворвавшись в римскую политику благодаря громкому делу консула 63 года Гая Антония, которого он привлек к суду за вымогательство и выиграл этот процесс у самого Цицерона, своего учителя, выступавшего защитником.	учителя	1
19	учителя	В 1918 году молодой талантливый ученый Виктор Виноградов (ему тогда шел всего 23-й год) по рекомендации своего учителя академика А. А. Шахматова был оставлен в Петербургском (тогда Петроградском) университете и стал готовиться к получению профессорского звания.	учителя	1
20	учителя	Нет учителя.	учителя	1
21	учителя	Понимаю некоторую спорность своего толкования мысли учителя.	учителя	1
22	учителя	С удовольствием вспоминаю их здесь: это была прежде всего умная, рыжая, живая, наизусть знавшая, чем живы мальчишки, Любовь Владимировна Антонова, когда-то первая жена египтолога Исидора Михайловича Лурье, в годы войны – заведующая детским домом эвакуированных эрмитажных детей, потом многие годы – заведующая школьным кабинетом Эрмитажа; и затем это была остроумная не без ядовитости, тоже великолепный педагог, Ксения Владимировна Ползикова-Рубец, тогда еще жена Мишиного учителя, историка и востоковеда Александра Юрьевича Якубовского; красивая и дельная Марина Владимировна Андреева, Рейхардт (не помню имени и отчества), жена специалиста по истории мебели, профессора Лесотехнической академии, Ядовина, впоследствии много лет ученый секретарь Эрмитажа (после меня); и другие.	учителя	1
23	учителя	Приехал из Киева и занял кафедру своего учителя.	учителя	1
24	учителя	Но ведь оглядывали бы с печалью и сочувствием, и, чего доброго, собрались бы в складчину, чтобы поддержать мою репутацию молодого симпатичного учителя грузинского происхождения с городским вкусом, с любовью к прекрасному...	учителя	1
25	учителя	"Огромный успех ""Элуцидария "" был обусловлен тем, что в чрезвычайно доходчивой форме диалога учителя и ученика, точнее – в форме ответов учителя на вопросы ученика, в нем изложены основы богословской догмы и главные моменты священной истории, начиная сотворением мира и кончая Страшным судом и обновлением, ожидаемым от второго пришествия Христа."	учителя	1
26	учителя	Подошли к дедушке и к бабушке все, кто прожил рядом с ними жизнь, тост учителя Кураса был, в сущности, за тех, кто прожил долгую и достойную жизнь.	учителя	1
27	учителя	Он покормил Шакалка городской колбасой, и тот не отставал теперь от учителя ни на шаг.	учителя	1
28	учителя	Рассказ учителя Анатолия Петровича Сизых, – прочел Леня.	учителя	1
29	учителя	Фигура учителя заметно стала ниже, – сказала девушка Люба.	учителя	1
30	учителя	Лежа на парте, я внимательно слушал голос учителя, не отвлекаясь на обычные шалости, и старался запомнить все, что он говорит.	учителя	1
31	учителя	Ученик мнется, его растерянная физиономия выражает желание как-нибудь понезаметней проскользнуть в дверь после учителя.	учителя	1
32	учителя	А там сейчас ему место учителя или врача: пожалуйста, живи, агитируй, вражина!	учителя	1
33	учителя	А здесь – три учителя и два ученика.	учителя	1
34	учителя	Ну, вот видите, Виктор Павлович, – сказал Соколов, – как вы были не правы, падая духом, хотели отложить все до возвращения в Москву, – и тоном учителя Закона Божьего, которого Штрум не выносил, он стал говорить: – Веры в вас мало, терпения мало.	учителя	1
35	учителя	По моим расчетам, этот аппарат (я его назвал ТИХОФОН БЮ-1 – отключатель голоса по системе Баранкина) должен был действовать так: предположим, сегодня на уроке учитель рассказывает нам о чем-нибудь неинтересном и тем самым мешает мне, Баранкину, думать о чем-нибудь интересном; я щелкаю в кармане выключателем тихофона, и голос учителя исчезает.	учителя	1
36	учителя	Все в точности соответствовало описанию каянчинского учителя, и я уверенно направил коня к дому художника Чоросова.	учителя	1
37	учителя	На основании ст. 1 п. 1 Высочайше утвержденных 13 декабря 1894 года и 11 декабря 1895 года мнений Государственного Совета, а также примечания 2-го к ст. 9 утвержденных Министерством Народного Просвещения 20 марта 1896 г. Правил о специальных испытаниях на звание учителя или учительницы начальных училищ, означенная в сем аттестате Нина Грибова имеет право на получение от Министерства Народного Просвещения свидетельства на звание учительницы начальных училищ и заниматься обучением на дому.	учителя	1
38	учителя	Личность учителя для детей обыкновенно оказывает больше влияния, нежели родители, которых дети знают не только с хороших, но и со слабых сторон,	учителя	1
39	учителя	Вот Иуда смотрит в окно караульни на поругание Учителя:	Учителя	1
40	учителя	В качестве учителя поэта Аполлона Майкова он, конечно, озаботился привить достаточное количество бюрократического яда в голову своего ученика.	учителя	1
41	учителя	"Но скажет ли г. Миловидов, тоже положа руку на сердце, что в моих предложениях собака лает на вора, птица летит от охотника, ученики шумят без учителя ""собака "" птица """" ученики ""есть единственные виновники, творцы действия сказуемого и что это действие явилось благодаря единственно желанию первой полаять, второй полетать, третьих пошуметь?"	учителя	1
42	учителя	То вдруг на него находила страсть к картинкам: он сам принимался рисовать, покупал на все свои деньги, выпрашивал у рисовального учителя, у папа, у бабушки; то страсть к вещам, которыми он украшал свой столик, собирая их по всему дому; то страсть к романам, которые он доставал потихоньку и читал по целым дням и ночам...	учителя	1
43	учителя	В назначенный день поутру явился парикмахер и показал свое искусство над буклями, тупеем и длинной косой учителя.	учителя	1
44	учителя	К римлянину грек сей пишущий не дерзает именно хулить славного римлянина, учителя кесарского, хотя сам вице-герой и друг кесаря Трояна.	учителя	1
45	учителя	Задача учителя – подготовить учащегося психологически к открытому уроку; создать дружелюбную, располагающую к творчеству обстановку, заинтересовать темой урока, настроить ученика на активную работу.	учителя	1
46	учителя	Этап актуализации опорных знаний (3-4 мин.) – работа с классом (вопросы учителя и ответы учащихся).	учителя	1
47	учителя	для учителя: проектор, ноутбук, мультимедийная презентация «Выпиливание лобзиком», образцы выпиленных изделий, план-конспект урока.	учителя	1
48	учителя	Вторая ступень – на данном этапе использования компьютера происходит знакомство учителя с пакетом офисных программ, их возможностями, приобретение элементарных навыков использование CD-дисков в своей деятельности.	учителя	1
49	учителя	Учебная деятельность учителя и учащегося в значительной мере сосредотачивается на уроке.	учителя	1
50	учителя	Коррекционно-развивающее направление в работе учителя-дефектолога предусматривает проведение занятий по коррекции и развитию познавательной сферы обучающихся:	учителя	1
51	учителя	Обучение школьника происходит воздействием на его органы зрения: демонстрация опытов, чтение материала (в памяти остается 50% наблюдаемого, 30% прочитанного), органа слуха – монолог учителя, диалог с учителем, с одноклассниками (в памяти остается 10% услышанного), практическая деятельность самого ученика, самостоятельная работа (в памяти остается 90% сделанного самим).	учителя	1
52	учителя	Параграф 136, упр.137, 138 (готовятся устно, пишут на следующий урок под диктовку учителя на отдельных листочках)	учителя	1
53	учителя	Вопросы учителя не вызвали затруднения у детей	учителя	1
54	учителя	В плане дальнейшего изучения и введения в научный оборот лекционного курса А. А. Дмитриевского представляется важным выяснить степень его зависимости от лекций его учителя Н. Ф. Красносельцева.	учителя	1
55	учителя	В середине XI в. появляются эпиграммы Иоанна Мавропода – известного богослова и учителя Михаила Пселла.	учителя	1
56	учителя	Каждый из пяти комплексов включает учебную книгу и рабочую тетрадь (письменник) для детей и методическое пособие для педагога с подробными разработками к каждому уроку в виде развернутых диалогов учителя с детьми.	учителя	1
57	учителя	Ср.: “отцовское наставление”, наставление учителя, командира.	учителя	1
58	учителя	Создателем первого церковного хора у оренбургских инородцев был просветитель нагайбаков остроленский священник Игнатий Тимофеевич Тимофеев, который с талантом православного учителя-миссионера совмещал и музыкальный талант; 29 декабря 1882 г. ему даже была объявлена благодарность от епархиального начальства «за обучение пению в церковных школах”.	учителя	1
59	учителя	Этот сам по себе нейтральный комментарий учителя важен тем, что дал толчок к развитию идей еще одного его ученика, о. Павла Флоренского, но прежде чем перейти к его работам следует сказать о концепции Церкви, предложенной «отцом русской софиологии» Владимиром Соловьевым.	учителя	1
60	учителя	Н. Ивановым»: «Он был в возрасте Учителя и Пророка, мне было 24 года...» подверглись серьезным купюрам.	Учителя	1
61	учителя	Однако я знал себя и понимал, что не выйдет из меня учителя с моим неумением общаться с людьми.	учителя	1
62	учителя	Серый кирпич фасада, огромные окна — и напутственный взгляд учителя: «Не теряйся, мы верим, ты можешь!..»	учителя	1
63	учителя	Никанор Лаврентьевич Иванов служил там в уездном училище на должности учителя рисования и чистописания — был коренной москвич, родился в Москве в Кремле, в Окружном суде, где его отец (мой дед)	учителя	1
64	учителя	Вчерашний школьник Пауль Боймер и его одноклассники, наслушавшись патриотических речей своего учителя, отправляются на войну, чтобы покрыть себя славой.	учителя	1
65	учителя	Программа повышения квалификации «Ресурсы реализации требований ФГОС и профстандарта к профессиональной компетенции учителя-предметника.	учителя	1
66	учителя	То ли божья коровка, то ли Квазимодо, — прокомментировал я превращение изящного учителя танцев в это горбатое недоразумение.	учителя	1
67	учителя	Из музыкального класса раздавались вальсирующие звуки рояля и ритмично повторяющий голос учителя: «Раз, два, три, раз, два, три, раз, два, три».	учителя	1
68	учителя	Но для обучения одного лишь учителя недостаточно.	учителя	1
69	учителя	А если говорить предметно, то это и описание жизни Немецкой автономии на Волге в 20–30-е годы прошлого века, и одновременно просто человеческая история – учителя немецкой словесности, шульмейстера по фамилии Бах.	учителя	1
70	учителя	Зарплата учителя поставлена в зависимость от баллов ЕГЭ и результатов миллиона всевозможных олимпиад всех уровней.	учителя	1
71	учителя	теоретическая и практическая подготовка слушателей к применению интерактивных методов обучения в профессиональной деятельности учителя с целью достижения личностных, метапредметных и предметных требований ФГОС общего образования.	учителя	1
72	учителя	Интонации оплакивания любимого Учителя («любезный Иисусе»), насыщенные переживанием утраты, одновременно служат реализации сугубо богословской идеи – принесения «ради меня»	Учителя	1
73	учителя	Как писал в своей «Сирийской патрологии» видный западный патролог Ортис де Урбина: «Изучать догматическое богословие св. Ефрема, одновременно учителя Церкви и поэта, не очень легко: он учит в стихах и, вместо того чтобы использовать философскую терминологию, выстраивает образы и поэтические аллюзии, под которыми зачастую скрывается догматическое учение.	учителя	1
74	учителя	Мне, пожалуй, стоит назвать имя учителя, которой бесконечно благодарен, – без нее меня бы в этом проекте просто не было, я бы никогда в жизни не стал заниматься, если бы не разговоры с ней, возможность посмотреть на литературу, которой я ей обязан.	учителя	1
75	учителя	Раменский указывает на некую роль Льва Толстого в формировании личности своего дяди и хотя Никитское делековато от Ясной Поляны, визит юного учителя к «матерому человечищу», любившему, при случае, играть роль «духовного наставника», вполне возможен.	учителя	1
76	учителя	Не дожидаясь вопроса учителя, ответил:	учителя	1
77	учителя	Герой встречает помощника – индейца по имени Никто, и в его образе присутствует диссонанс: Никто побывал в Англии, знает о поэте и художнике Уильяме Блейке, с которым отождествляет героя, узнав его имя; он не может достать пулю, находящуюся слишком близко к сердцу Блейка, однако до самого конца выступает в роли учителя, испытателя, проводника.	учителя	1
78	учителя	И девственность – это ценность, которую нужно сохранить для себя, а не для учителя, который запрещает тебе с ней расставаться.	учителя	1
79	учителя	Он сдал экстерном экзамен на звание сельского учителя, преподавал в селах, бурлачил.	учителя	1
80	учителя	Важно, кроме того, обратить внимание на сам процесс работы с электронными журналами и дневниками, на то, как он вписывается в рабочую повседневность школьного учителя.	учителя	1
81	учителя	При всем уважении к просветительству в целом и деятельности «народного учителя» в частности (Ленина чуть не стошнило, когда он узнал, что их, в духе начала 1920-х, называют «шкрабы» – школьные работники, и запретил эту практику; наставляя хозяйственника М. Владимирова, что органы власти должны сами зарабатывать, а не требовать деньги из бюджета, он произнес: «Лишь для жалованья учителям не будьте скопидомом»), Ленин верил и в «фабричный котел»; жизнь – среда, работа, невыносимые условия – учит быстрее и эффективнее, чем университеты; трудясь, пролетарии обретают как полезную информацию об устройстве окружающей материи, так и классовое самосознание.	учителя	1
82	учителя	Прежде чем сыграть самую известную свою роль – школьного учителя химии, начавшего варить метамфетамин ради спасения своей семьи, в сериале «Во все тяжкие», – американский актер Брайан Крэнстон перепробовал множество ролей, причем как на экране, так и в жизни.	учителя	1
83	учителя	Далее была череда пабликов в социальных сетях в попытках найти хоть мало-мальски сведущих в мистике и эзотерике людей, которые бы могли предложить хоть что-то, что понастоящему давало бы какие-то результаты и не было связано с фантазиями, наркотиками, предложениями поверить в абсурдную ложь или отдаться во власть желаний нового учителя.	учителя	1
84	учителя	Ну, обыкновенная школа, где не было даже вот такого прекрасного паровоза, который должен быть во всех науках, и, в особенности, в истории и в литературе – паровоза-учителя, который может побороть всё то, о чем сейчас Тамара Натановна сказала вскользь, вот эту всю кошмарную систему.	учителя	1
85	учителя	Если же вы этого не планируете, а наслушались рекомендаций учителя и уязвлены единственной четверкой в году – лучше пока просто помолчите, через пару недель все нормализуется.	учителя	1
86	учителя	Костика из пятого «Б», – учителя физики, Даниила Матвеича, потом – соседа, того, – синеглазого, он как-то так посмотрел, по-мужски, ну, потом еще… других…	учителя	1
87	учителя	Давайте посмотрим на работу учителя.	учителя	1
88	учителя	Например, дед жены Тимофей Онисимович Макушов окончил сельскую церковно-приходскую школу с мечтой о профессии учителя.	учителя	1
89	учителя	Гущин крестьянского происхождения, родился в 1888 году в семье учителя – село Богородское, Номинского уезда, Вятской губернии.	учителя	1
90	учителя	Мы ответственны за антипатриотическую деятельность Жак и Лейтес, Жак даже выступала в роли учителя советской литературной молодежи, Лейтес бездушно равнодушным языком плохо пересказывала пьесы, а не анализировала их.	учителя	1
91	учителя	Большую часть жизни Лыкову придется справляться самому, опираясь на уроки своего учителя, и расти, мучительно и трудно расти.	учителя	1
92	учителя	То есть, по-вашему, всё упирается в личность учителя?	учителя	1
93	учителя	Потом мальчиков выгонят из гимназии, первого – за неоплату учебы и распространение революционной литературы, второго – за отказ подчиниться несправедливому наказанию учителя.	учителя	1
94	учителя	При ролевом информационном моделировании основной учебной деятельностью учащихся становится осуществляемая с позиций различных социальных ролей деятельность в области разработки и дальнейшей защиты компьютерных информационных моделей, что полностью согласуется с мнением А.Я. Хинчина о том, что «надо не отвлеченно проповедовать полноценность аргументации, а приучать учащегося к тому, что каждый пробел в аргументации немедленно вызывает придирчивый вопрос со стороны учителя или – что много лучше – со стороны товарищей» [3, с. 139].	учителя	1
95	учителя	Инструкции как инструкции, это ж шпаргалка для учителя.	учителя	1
96	учителя	Живое общение учителя и ученика теряется.	учителя	1
97	учителя	Изменения инфофонда ученика гораздо больше зависят от информационных воздействий учителя (передающего знания, формирующего определенные навыки, стандарты поведения и ценности), чем изменения инфофонда последнего – от воздействий первого.	учителя	1
98	учителя	Мой учитель, режиссер Юрий Завадский, повторял нам слова своего учителя, Вахтангова: «В театре нет сегодня – есть из вчера в завтра».	учителя	1
99	учителя	Я ее, диалектику-то, воистину не по Гегелю, я ее по речам родного отца и учителя постигал.	учителя	1
100	учителя	Да что тут говорить! — воскликнул Дизелёк, вытаскивая из-под кровати экс-учителя щедро наполненную больничную утку.	учителя	1
101	учителя	Свет от фонаря падал на лицо пьяного учителя, страшное и вместе жалкое...	учителя	1
102	учителя	Отец с юмором рассказывал, как они, школьники, на глазах у моргавшего учителя клали наган на парту».	учителя	1
103	учителя	Кустодиев унаследовал от учителя основной репинский бизнес – портретный.	учителя	1
104	учителя	В нем пребывают главные святыни монастыря: почитаемая Толгская икона Божией Матери – список конца ХVIII в. и мощи отца и учителя современного монашества Игнатия Брянчанинова, великого подвижника благочестия, аскета, религиозного мыслителя и духовного писателя ХIХ в., епископа (канонизирован в 1988 г., в том же году его святые мощи были перенесены в Толгский монастырь).	учителя	1
105	учителя	Васильков метался по кабинету из угла в угол и продолжал кричать — А не хотите ли вы также назвать бессмысленной, к примеру, и жизнь какого-нибудь врача, хотя он лечит людей и избавляет их от страданий, не хотите ли назвать бессмысленной жизнь святого отца за то, что он отпускает людям грехи, а жизнь простого учителя?	учителя	1
106	учителя	тяжелел: идущий от учителя дух превращался в невыносимо острый запах, стоявшая в дальнем углу клуба за ящиками и досками бутыль – пустела, а сам Илья Петрович к обеду смурнел, мрачнел и скоро забывался тяжелым сном, тут же, на ящиках.	учителя	1
107	учителя	Лучше вообще никакого учителя, чем такой, – неожиданно для самого себя брякнул Кешка.	учителя	1
108	учителя	Тут, конечно, надо нам понимать, что бедность сельского священника и сельского учителя была ужасающей.	учителя	1
109	учителя	День учителя они отмечали, точно.	учителя	1
110	учителя	У того учителя белый порошок получался, а у меня – коричневый.	учителя	1
111	учителя	По данным дневника московского учителя И.И. Шитца, делегаты XVI съезда ВКП(б) получили подарок – «розовую квитанцию в особый магазин ОГПУ, где в числе прочих предметов (пары обуви, двух пар белья, трех кусков мыла) фигурировали отрез на костюм – три метра и 10 метров бумазеи» 395.	учителя	1
112	учителя	А «Быкылов» – это моя фамилия, настоящая, только в произношении нашего учителя физкультуры, чернявого от макушки до горловин мохнатых белых носков кавказца, он говорил: «Быкылов, слиэдуищий!» – простирая властную руку в сторону гимнастического козла.	учителя	1
113	учителя	И как раз желание ввести единые линейки базовых учебников (по математике, истории, русскому языку и литературе) сейчас активнее всего критикуется: мол, губят вариативность образования и свободу учителя; вводят единомыслие, то есть безмыслие, и так далее.	учителя	1
114	учителя	Плюс к этому добавим, что ребенок сильно подвержен внешнему влиянию и то, чему он научится, какому формату дружбы, во многом зависит еще и от взрослого, который выступает в роли учителя, особенно в начальной школе.	учителя	1
115	учителя	Для учителя математики он выглядел вполне обыденно, если бы это был этакий учитель математики с сумасшедшинкой, из таких, которые не замечают звонок на перемену и продолжают биться с классом над каким-нибудь уравнением.	учителя	1
116	учителя	Скамейки в рядок напоминали устройство класса, в котором на месте учителя стенка водительской кабины.	учителя	1
117	учителя	Безусловно, осуждая уход в раскол своего бывшего учителя, Сергей Писанюк поступил исключительно по-христиански – он не стал ничего подписывать и на протяжении всей своей жизни никогда не позволял себе плохих слов в адрес бывшего учителя.	учителя	1
118	учителя	Лекции и семинары служат своего рода сакральным ритуалом личного контакта учителя с учеником, передачей знаний «от сердца к сердцу».	учителя	1
119	учителя	Переподготовка учителя по курсу ОРКСЭ сегодня – это 72 часа лекций, прочитанных сертифицированными преподавателями.	учителя	1
120	учителя	Голос учителя: «Ты, Иванов, охренел что ли???».	учителя	1
121	учителя	Так, в одной из школ Лондона английскую грамматику стали преподавать по новой методике: теперь в центре курса стояли не правила и сопутствующие им упражнения, а разборы классических литературных текстов в диалоге учителя с учениками.	учителя	1
122	учителя	Один был тот самый вихрастый и зубастый актер, что, очевидно, изображал Ван-Ваныча, но отличался от учителя ладным, ловким покроем дорогого костюма и хищной улыбкой, оставшейся, вероятно, от каких-то других, много раз сыгранных ролей.	учителя	1
123	учителя	Это было одно из первых падений в жизни смелой колдуньи, что вкупе со смертью её учителя стало первым горьким её профессиональным несчастьем.	учителя	1
124	учителя	Это вывеска школьного учителя Хендрика Винта, жившего здесь во второй половине XVII века и подрабатывавшего написанием на заказ прошений, писем и деловых бумаг.	учителя	1
125	учителя	Столько профессоров продолжает писать диссертации про Малларме, а ни одному не придет в голову последовать коллеги, простого школьного учителя – примеру.	учителя	1
126	учителя	Макеев назвал ее юшкинитом в честь своего учителя академика Николая Юшкина, внесшего большой вклад в изучение подземных богатств Пай-Хоя.	учителя	1
127	учителя	Небо пшеничного цвета, как волосы нашего учителя истории, который, пытаясь удержать дисциплину, говорил сквозь скрип стульев и девичий хохот:	учителя	1
128	учителя	Задача учителя — стать для своих воспитанников своеобразным фарватером, по которому можно ориентироваться в обилии созданной на сегодняшний день и широко представленной в кинопрокате и на телевидении кинопродукции, помочь в формировании зрительского опыта, воспитать критическое мышление.	учителя	1
