Index	Homograph	Context	TargetWord	Label
1	юнкера	Шаг за шагом, бал за балом она завоевывала северную столицу, обвораживая всех -- от юнкера до царя, от провинциальной графинички до императрицы.	юнкера	1
2	юнкера	Недавно Глеб очень хвалил его за широту взглядов в стихотворном этюде об Алеше Карамазове -- одновременно в шинели юнкера отстаивающем Перекоп и в шинели красноармейца берущем Перекоп.	юнкера	1
3	юнкера	Пройдя армейский путь от юнкера до генерал-лейтенанта, перед началом Первой мировой войны он уже был в отставке.	юнкера	1
4	юнкера	Быстро проявившиеся способности недавнего юнкера в сочетании с ревностным отношением к службе послужили причиной направления его в Николаевскую академию Генерального штаба и почти одновременного производства в поручики.	юнкера	1
5	юнкера	Из письма юнкера третьей роты Киевского военного училища А. Я. Степанова от 6 июня 1909 года:	юнкера	1
6	юнкера	Нина, жена социалиста родом из узденей, видного деятеля освободительного движения в Дагестане, ей помогает внучка Шамиля (окончила Смольный институт), дочь генерала Магомета-Шафи Шамиля, вдова Махача Дахадаева, красного вождя революционных сил Дагестана, убитого белыми, и она же -- жена князя-белогвардейца, полковника, бывшего юнкера Александровского училища в Москве.	юнкера	1
7	юнкера	Теперь он, нетерпеливо помахивая маузером, ожидал, когда все четверо -- бывший предгубчека Макс Маркин, бывший начальник оперативного отдела по кличке Ангел Смерти, женщина-сексот Инга, скрывшая, что она жена бежавшего юнкера, и правый эсер, савинковец, комиссар временного правительства, некий Серафим Лось, -- наконец разденутся и сбросят свои одежды на цветник сизых петуний и ночной красавицы».	юнкера	1
8	юнкера	По традиции, День Непримиримости в имперской столице России был отмечен панихидой на Смоленском кладбище Санкт Петербурга, на могиле юнкера Владимирского училища Владимира Александровича, погибшего в первые дни большевицкого переворота 1917 года.	юнкера	1
9	юнкера	Временная разлука привела легкомысленную актрису в объятия юнкера, который был заядлым игроком в карты и известным прощелыгой.	юнкера	1
10	юнкера	Актриса позвонила Николаю Лазаревичу и слезно стала просить его одолжить двадцать пять тысяч рублей золотом, чтобы расплатиться с карточным долгом юнкера.	юнкера	1
11	юнкера	Герой этого рассказа, обитатель лечебницы для душевнобольных, сошедший с ума оттого, что видел казнь рабочего (почти видел: «я ушел, чтобы не видеть, как человека вешают, но страх ушел вместе со мной в трясущихся ногах»), а потом смерть погибшего у него на глазах младшего брата, юнкера, обращается к неизвестному нам генералу почти с теми же словами, которые произнесет несколько лет спустя в «Беге» вестовой Крапилин:	юнкера	1
12	юнкера	За 12 лет службы в германской армии он прошел путь от юнкера до генерал-майора.	юнкера	1
13	юнкера	причем пострадало 4 офицера и 52 юнкера, получивших ранения, ушибы и переломы конечностей.	юнкера	1
14	юнкера	Два юнкера умерло от полученных увечий, а начальник кавалерийского училища и до 1/3 из получивших увечья юнкеров -- тяжело пострадали.	юнкера	1
