Index	Homograph	Context	TargetWord	Label
1	жены	Тридцатиминутный сон за рулем автомобиля, трансформирующийся в семнадцать дней в нацисткой Германии, переходящих в двадцатилетний побег за рубеж от неуравновешенной жены — это уже совсем другая история.	жены	1
2	жены	Таковым предметом-целью может быть признание главного злодея, отыскание давным-давно утерянного ребенка, приобретение жены (мужа) и т. п.	жены	1
3	жены	В процессе нервного обсуждения я сделала для себя небольшое открытие: оказывается, Ромка не считает меня особой высокоморальной и по этой самой причине мою кандидатуру в качестве будущей жены даже не рассматривает.	жены	1
4	жены	Как и всякая имитация, мсье Верду порой напоминает маленького бродягу: жестом, улыбкой или взглядом, он тоже всеми силами старается остаться ангелом для своей жены-инвалида и маленького сына.	жены	1
5	жены	"По приезде он кланялся родителям жены, благодарил их за воспитание дочери и преподносил им стакан с деньгами, приглашая к себе на ""большой стол ""."	жены	1
6	жены	"Но, соглашаясь с ним, я понимаю, что не смогу работать в своем коллективе в новом амплуа – ""жены босса ""."	жены	1
7	жены	Горбачев для себя и жены заказал спецмашины серого цвета.	жены	1
8	жены	Зачастую отец испытывает настоящую жгучую ревность к крошечному существу, которое якобы сумело вытеснить его из сердца жены.	жены	1
9	жены	В сопровождении жены Лусии он выехал из самолета на инвалидной коляске.	жены	1
10	жены	"Спрашивается, что может узнать о ""причинах "" устроения этого безмерного солярно-планетарно-астрального мира, этой бездны бездн, данной ему в подслеповатом опыте лишь холодным мерцанием ночного пространства, о причинах, о которых к тому же ему братски советуют не вопрошать, человек, которому совершенно не ясны причины перманентной недоплаты жалованья, депрессии жены, нелепой смерти детей, обвинения матери в колдовстве, тупости единоверцев, а также основания, по каким проваливаются все его космические прожекты?"	жены	1
11	жены	В частности, археологи обнаружили усыпальницу жены императора Нерона.	жены	1
12	жены	А на особой декоративной доске изобразил знаки зодиака членов своей семьи: Стрельцов – свой и сына, Козерога – дочери, а уравновешивают все это Весы – знак жены.	жены	1
13	жены	"Брошенный муж облил себя и дом бензином, потом позвонил своей матери, предупредив, что добровольно уходит из жизни, а затем и родственникам жены – с тем же ""радостным "" сообщением."	жены	1
14	жены	Он старался забыть предательство жены...	жены	1
15	жены	Для погибшего 8 августа этого года 24-летнего Олега Садардинова и его жены Анны поездка в Сочи была свадебным путешествием, оборвавшимся на 24-м километре Краснополянского шоссе.	жены	1
16	жены	Посчитав, что опытом предков пренебрегать не стоит, он спьяну запрятал деньги в чулок жены, после чего сунул его на самое дно самого глубокого ящика комода.	жены	1
17	жены	Весь альпинистский отряд под управлением моего папы тот месяц пребывал от пятидесятилетней кокетливой докторской жены в ужасе и – как я сейчас понимаю – восхищении.	жены	1
18	жены	Приехав, я вышел из машины, принял у жены дочку и хотел зайти в подъезд.	жены	1
19	жены	Если есть что хуже бывшей рассерженной жены, так это, наверное, жена рассерженная, но не бывшая.	жены	1
20	жены	Ты, конечно, приглашен, но без жены.	жены	1
