Index	Homograph	Context	TargetWord	Label
1	козы	Мастерская Козы была на Воровского, в полуподвале, квартира же – в новостройках.	Козы	1
2	козы	Были у Козы стальные руки, нежная душа и бешеный нрав правдолюбца.	Козы	1
3	козы	Одолжила у Козы хозяйственную сумку и поступила, как ее мастер: нагрузила сумку арбатским породистым товаром – чай индийский, пирожные, печенье.	Козы	1
4	козы	Она сидела у Козы и сухо излагала близнецовую историю, которая произошла совершенно случайно и совершенно напрасно...	Козы	1
5	козы	Среди подруг Вики-Козы постоянно обсуждались прикладные гинекологические проблемы, связанные с контрацепцией, абортами и их обезболиванием.	Козы	1
6	козы	Получив их с рук на руки от знакомого директора комиссионного магазина, она взяла такси, поехала на наемную дачу, где маялся с двумя оставшимися тетушками и родной бабушкой, матерью Козы, ее сын Миша, забрала ребенка и, переплатив чуть не вдвое, купила билеты на юг.	Козы	1
7	козы	Таня, забежав на минуту к Козе, прихватила дорожную сумку, коснулась скользящим поцелуем Мишкиной макушки и Викиной щеки и исчезла из поля зрения Козы на всю оставшуюся жизнь.	Козы	1
8	козы	Климов прополз среди развалин по ему одному ведомым тропинкам, но на месте, где находилась землянка, советский ночной бомбардировщик положил тяжелую бомбу – не стало ни бабушки, ни внучки, ни козы, ни климовских рубахи и подштанников.	козы	1
9	козы	"Кроме торфа, кроме сбора старых пеньков, вывороченных трактором на болоте, кроме брусники, намачиваемой на зиму в четвертях (""Поточи зубки, Игнатич "", – угощала меня), кроме копки картошки, кроме беготни по пенсионному делу, она должна была еще где-то раздобывать сенца для единственной своей грязно-белой козы."	козы	1
10	козы	Мне молока и от козы хватит.	козы	1
11	козы	— Да не за кем, а от козы.	козы	1
12	козы	Маленький смерч для начала, крошечный, как хвостик козы, – затем будем говорить.	козы	1
13	козы	Ни зайца у нас жареного, ни козы паленой, ничего нынче на обед не было, а одними «пупками Кощея» сыт не будешь, да и «пупков» всего ничего осталось.	козы	1
14	козы	Много ломал голову Котофей Котофеич с Чучелом-чумичелом: жалко им было беленькую Зайку, не было у Зайки ни кошельков бисерных, ни зайца жареного, ни козы паленой, ни «пупков Кощея», и личико у Зайки стало такое грустненькое, глазки заплаканы.	козы	1
15	козы	Он нужен был для нее, как нужны были шут Кульковский, барская барыня, родины козы, дурацкая свадьба и пр.	козы	1
16	козы	150 уток и гусей, 2 козы, а куриц столько – просто не вспомнить.	козы	1
17	козы	То, что мы обычно называем хвостом, у борзой — правило, у гончей — гон, у волка — полено, у лисицы — труба, у зайца — цветок, у козы — салфетка, у лошади — махальце, а у самого охотника…	козы	1
18	козы	Прогонял смелые идеи об организации артели трудолюбивых вьетнамцев по пошиву пеленок, о поставках детского питания из Сингапура, о поселении карликовой дойной козы на балконе.	козы	1
19	козы	Позже, водя кистью по деревянным подоконникам, услышал меканье пробегающей мимо козы – животное вопило так истово, словно предчувствовало что-то страшное.	козы	1
20	козы	Присев, разглядывал, как мину морскую, вымя у чьей-то дойной козы.	козы	1
21	козы	Ах ты маленький Славик!» – увидел он вдруг перед собой не одну, не две, а целых три сверлящие козы!	козы	1
22	козы	Почему у козы другие зрачки?	козы	1
23	козы	Другие», – вытянутые в горизонтальном направлении зрачки здорово увеличивают угол обзора козы.	козы	1
24	козы	У коровы сосок во какой: короткий и скользкий, а у козы во какой: длинный, сухой и ухватистый.	козы	1
25	козы	Почему люди придумали, что есть год лошади, собаки, кота, козы, даже серой мышки.	козы	1
26	козы	Рядом с коровой выросла остроносая морда козы с белыми торчками рожек и смешной бородехой.	козы	1
27	козы	У козы огромное колышущееся вымя, аккуратно упакованное в некое подобие бюстгалтера.	козы	1
28	козы	А бабушка с Генкой жили от огорода, курочек, леса и козы.	козы	1
29	козы	Кур съели, огород зарос, от козы сохранилась только веревка в сарае.	козы	1
30	козы	Сделает петлю из веревки от козы в сарае.	козы	1
31	козы	От этого резкого громкого писка пугается ребёнок козы.	козы	1
32	козы	Маленькие человечки пришли в этот мир изо рта мертвой козы, и они плетут Воздушный кокон – таков очередной мир Мураками.	козы	1
33	козы	Думаю я также, что ты, Ивашка, отставной козы барабанщик!	козы	1
34	козы	Но кроме удачной завивки (тоже вот сошлось, повезло; а ведь иной раз получались мелкие, как у барашка, колечки, а то вислые, как у козы, пасмы), румяных щек и большого красного рта ничего не обнаруживала.	козы	1
35	козы	Какой-то мужчина в белом костюме и при галстуке и женщина в светлом летнем платье рвали траву, растущую, то есть теперь уже росшую возле дома Обидионов, отбирая эту траву у Обидионовой козы.	козы	1
36	козы	И всё равно от неё несло, как от козы, – какой-то эндокринный выверт, ну детальки в организме встали не так, что ж тут поделаешь.	козы	1
37	козы	Колина мать держала хозяйство — невесте все показали еще в первый ее приезд: в просторном сарае жила черная в белых пятнах Милка, в соседнем закутке мекали две козы, за следующей загородкой помещалась свинья с черными поросятами, за отдельной дверью — куры.	козы	1
38	козы	Старушка, не обращая внимания на фурор, который произвела своим видом и эскортом в виде козы, поправила на голове платок и пригладила скрюченными пальцами волосы на подбородке.	козы	1
39	козы	Там по-прежнему жевали сухую траву две чёрные козы, а из-за тутовника, едва различимый в пятнах тени и света, наблюдал за ними (и, наверное, за Олегом) прислонившийся к дувалу пастух.	козы	1
40	козы	Именно им вырезаны ажурные кружева на подоле юбки изображенной на рисунке козы – символе 2003 года.	козы	1
41	козы	Так вот, в тот раз козы не было, и обезьяны тоже, зато был один маленький пудель и один огромный зверь до потолка и с зубами.	козы	1
42	козы	Безо всяких этих глупых взрослых бесчувственных «ути-пути» и ненавистной, тошнотворной «козы рогатой», а как-то пристрастно-нежно и в то же время – отрешённо-отстранённо.	козы	1
43	козы	Ужасы рогатой козы	козы	1
44	козы	Меня охватывал вселенский ужас, сопоставимый по силе лишь с ужасом взрослого, разумного, психически уравновешенного непьющего человека, вдруг увидавшего перед своим носом говорящую толстую волосатую руку «козы».	козы	1
45	козы	Если у коровы, овцы или козы родится детеныш, он должен семь дней оставаться при матери, а на восьмой день и позже он может быть принесен в жертву как дар, угодный Господу.	козы	1
46	козы	Но первенец коровы, овцы или козы выкупу не подлежит – это святыня.	козы	1
47	козы	Как в предыдущие разы, Желаю всяческой тревоги, Грозы, заразы и слезы, Бузы, Насильственной лозы, Гюрзы, и бешеной козы, И несчастливой полосы, И слишком жирной колбасы Избегнуть на своей дороге!	козы	1
48	козы	С этим совмещалось скотоводство – разведение мелкого рогатого скота, козы и, вероятно, овцы.	козы	1
49	козы	Моя сама сыр делает, у нас четыре козы, ими спасаемся.	козы	1
50	козы	Из козы что-то вылезло.	козы	1
51	козы	Что-то было в ней от шальной козы, что-то... он пробовал определить и не мог.	козы	1
52	козы	В конце концов Зильбермана освободили не только от хлопот по продаже козы, но и от работы.	козы	1
53	козы	В Средние века славились округлые безоары малоазиатской дикой козы.	козы	1
54	козы	Вот моего мужа в его грудном возрасте выпаивали козьим молоком от старой подранной деревенской козы, которое, как оказывается, таким детям вообще нельзя.	козы	1
55	козы	Даже по отдельности таких персонажей у Ивана Андреевича Крылова вроде бы нету – ни козы, ни беса.	козы	1
56	козы	Подходит, значит, к ней и решает сделать так, чтобы у козы детишки появились.	козы	1
57	козы	Он – после козы.	козы	1
58	козы	Исследователи модифицировали геном козы, используя ген человека, отвечающий за производство бутирилхолинэстеразы.	козы	1
59	козы	А то рождается какой-то принц Чарлик с ушами, как у свиньи, и лицом, как у козы, а ему тут же миллионы и почести.	козы	1
60	козы	Там, где с розой на груди в двухбашенной испарине Паутины каменеет шаль, Жаль, что карусель воздушно-благодарная Оборачивается, городом дыша, - Наклони свою шею, безбожница С золотыми глазами козы, И кривыми картавыми ножницами Купы скаредных роз раздразни.	козы	1
61	козы	И почему у козы-безбожницы глаза золотые.	козы	1
62	козы	Это значит, что вопрос о золотых глазах безбожницы козы (вероятно, наклоняющей свою худощавую шею под топором самостоятельного bourreau в кожаном переднике), вопрос о том, почему именно “кривая” июльская улица, бурля, смывала французских королей, может решаться только грядущими поколениями свободных, праздных и праздничных словознатцев.	козы	1
63	козы	Отец прислал бабушке денег на покупку козы.	козы	1
64	козы	Надо сказать, что Ваня никогда в своей жизни не видел живого козла или козы, – а также коровы, овцы, лошади и всех прочих животных, которых не принято было держать в больнице, – разве только на картинках, а неожиданное соседство живности с музыкальным инструментом совсем сбило его с толку, и он не сразу признал домашнее животное.	козы	1
65	козы	Этот же поступил для Вани вовсе неожиданно: он поймал «козу» за рога, потянул и свалил обладателя «козы» на себя, по младенческой глупости совсем не беспокоясь, что Ваня его может придавить.	козы	1
66	козы	Как остроумно заметил один отечественный философ, выявить социальное – значит понять, что отличает Робинзона и Пятницу от прирученной ими козы.	козы	1
67	козы	В славянской традиции Чернобога звали еще и Седуничем по имени матери козы Седунь.	козы	1
68	козы	И для козы.	козы	1
69	козы	Название «caprifol» переводится с латинского языка как «лист для козы»	козы	1
70	козы	От козы слышу.	козы	1
71	козы	Даже песня, сопровождающая танец козы и медведя, – не настоящая песня, а нескладуха, смесь детской потешки с небылицей:	козы	1
72	козы	Для изготовления традиционной куклы «Коза» нам нужны деревянные палочки, лыко или солома, нитки, платье для козы и различные украшения: колокольчики, бусы, ленты, деревянные кольца-обереги.	козы	1
73	козы	Платье для козы традиционно делается из одного согнутого по линии плеча куска ткани и не сшивается по боковым швам (рис. 5).	козы	1
74	козы	Назвав присутствующих отставной козы политиками, он продолжил:	козы	1
75	козы	Были у нас раньше три козы – Верка, Зойка и Звёздочка, которые летом паслись на Рудничной горе, а на зиму им приходилось запасать сено.	козы	1
76	козы	Папа за ужином пытается объяснить мне загадку про мужика, лодку, волка, козу и кочан капусты, про все эти переезды от берега к берегу, а я вижу только глаза козы и живо представляю себе самого волка, и капусту, и речку, и разозлившегося на меня мужика, которого дома, наверно, давно заждались жена и детишки.	козы	1
77	козы	От античного осла и классической козы до свиней и собак – можно составить список зоопарка.	козы	1
78	козы	Первая половина года Козы, как бы ее торс, богаче на события и потребует больше адреналина.	Козы	1
79	козы	Год Козы благоприятен для рождения и воспитания ребенка; для любовных приключений, финансовых спекуляций и азартных игр.	Козы	1
80	козы	Стартуя достойным образом в год Козы, вы имеете все шансы нарастить успех в следующие 12 лет.	Козы	1
