Index	Homograph	Context	TargetWord	Label
1	сироты	Одним словом, звери оказались очень хорошими воспитателями для мальчика-сироты.	сироты	1
2	сироты	Я слушаю рассказы о карах, обрушившихся на евреев, – знакомую, жену юрисконсульта, избили до потери сознания за покупку утиного яйца для ребенка; мальчику, сыну провизора Сироты, прострелили плечо, когда он пробовал пролезть под проволокой и достать закатившийся мяч.	Сироты	1
3	сироты	Старшая сестра ее, колхозница, однажды прислала из деревни посылку для сироты-племянника – коржи из черной с отрубями муки, мутного с воском меду.	сироты	1
4	сироты	С другой стороны в бельэтаже жил какой-то важный чиновник, а вверху над ними проживала две девицы-сироты, уже на возрасте.	сироты	1
5	сироты	И моя причуда – чтобы вы послушали историю сироты-нелегала, за которую он заплатил двумя годами жизни.	сироты	1
6	сироты	Теперь цивилизованно избавиться от сироты не осталось совсем никакой возможности.	сироты	1
7	сироты	Нечистый на руку обалдуй втихую пользует выпивку и непременно из этой вот сироты-бутыли?!	сироты	1
8	сироты	Две сироты, всегда найдут, о чём помолчать.	сироты	1
9	сироты	Хозяйка квартиры № 6 Оксана ШЕРШНЕВА купила жильё у сироты, когда переезжала в Боровичи из Пестова.	сироты	1
10	сироты	Тяжелая, невеселая, бестолковая жизнь сироты-детдомовца.	сироты	1
11	сироты	Да просто у него типичная для сироты судьба.	сироты	1
12	сироты	Очередная экранизация бессмертного романа Шарлотты Бронте – истории любви девочки-сироты Джейн Эйр (Миа Васиковска) к мистеру Рочестеру (Майкл Фассбендер), владельцу поместья, в котором она работает гувернанткой.	сироты	1
13	сироты	Цепляло; из тараканьих лапок драм-машины, голоса испорченной сироты и слов, похожих на ладно упакованные презервативы, вдруг распускался у меня внутри дичок древнерусской тоски в миксе с верой и пониманием бренности сущего…	сироты	1
14	сироты	Оно не случайно поставлено вторым – ведь в первом «сироте грядёт отмена сироты», а «схождение двух» ведёт к замене тебя, прежнего, на новое существо.	сироты	1
15	сироты	Не попирай прав переселенца и сироты, не бери в залог одежду вдовы.	сироты	1
16	сироты	“Кто попирает права переселенца, сироты и вдовы, да будет проклят!”	сироты	1
17	сироты	Художник изображает «переход от жизни к смерти»: в группе умирающей невесты и её жениха, в образе девочки-сироты и её брата.	сироты	1
18	сироты	Как и Жолковский – который методично выбивает своих «звезд» из облюбованных ими ниш, «вымученных обликов»: «честняги», «ахматовского сироты», филолога-денди, кумира интеллигенции, старичка-академика.	сироты	1
19	сироты	Штейн похмыкал, спросил о пьесе – я сказал, что это детская книга без обложки о приключениях сироты и друга его циркача – во времена восстания гезов в Голландии против испанского владычества.	сироты	1
20	сироты	Для христиан из крепости Симабара она обернулась кипящими источниками и крестами, а для этого сироты – запахом высохшей тины и гулким эхом под сводами моста, похожего на очки.	сироты	1
21	сироты	Рассказ сироты, который после войны пробирается из Сибири в Ленинград – мир калек, нищих, железнодорожных кондукторов и милиционеров.	сироты	1
22	сироты	Откуда у мальчика-сироты (отец погиб на фронте, мать умерла, когда он был школьником), выросшего в доме-развалюхе на московской окраине, за Черкизовом, в одном из Зборовских переулков, в доме, где и книг, похоже, не было (а ведь человека подталкивает к его призванию прежде всего домашняя библиотека), такой страстный интерес к литературе?	сироты	1
23	сироты	И я затрудняюсь здесь сказать – расцвет сейчас русской литературы или она живет в положении сироты.	сироты	1
24	сироты	Под видом потерявшего своих родителей сироты он ходил с котомкой за плечами по деревням и хуторам, собирая милостыню, прислушивался к разговорам, присматривался к тому, что где происходит.	сироты	1
25	сироты	Борис – единственный опекун своей несовершеннолетней сестры, сироты.	сироты	1
26	сироты	Он приписал пролетариату, крестьянству, всему человечеству мироощущение нищего, сироты, бродяги	сироты	1
27	сироты	Да, первая книга «Таня Гроттер и магический контрабас» задумывалась именно как книга-пародия, потому что образ английского мальчика-сироты со счетом в банке сам по себе пародиен для русского восприятия.	сироты	1
28	сироты	Например, несчастный Бруно Гуей из Бенина рассказывает, как его отца, богатого фермера из Кот-д'Ивуара, убили в сентябре 2002 года в ходе военного конфликта, а у сироты возникла проблема: надо вывести из страны $21 миллион.	сироты	1
29	сироты	В частности, документы, подтверждающие статус ребенка-сироты или оставшегося без попечения родителей (свидетельство о смерти родителя (родителей), копия решения суда о лишении родителей родительских прав, признании родителя недееспособным, акт о подкидывании ребенка и т.д.). например, если мать ребенка лишена родительских прав, а отец находится в местах лишения свободы, то такого ребенка передать на усыновление до выхода отца из заключения невозможно (если, конечно, отец не даст письменное согласие на усыновление).	сироты	1
30	сироты	Боль и холод разливались по всему его телу, как тяжелая, густая ледяная вода, сама плоть становилась холодом и болью; сиротство всего сущего на Земле было невыносимо, и не было в ту ночь на Петроградской стороне более горького сироты, чем шестидесятилетний Борисоглебский.	сироты	1
31	сироты	Не может быть, чтобы вид бедной сироты не тронул их сердец...	сироты	1
32	сироты	И когда случайно такой человек становится собеседником другого человека, вечного сироты, никогда не знавшего полноты внимания и не подозревавшего о причине своего вечного сиротства, происходит чудо, как с фруктовыми деревьями.	сироты	1
33	сироты	Поиски хорошего человека для сироты – не фраза, про это раньше писатели романов написали тьму.	сироты	1
34	сироты	Кроме того, рейтинг Геннадия Звягина продолжал расти, тогда как Юрий Присекин получил звание «политического и финансового сироты».	сироты	1
35	сироты	А тогда они с бабушкой решили, что, честно пробыв три года молодой вдовой (мама даже траур носила), она должна устроить свою жизнь, потому что у ребенка (это у сироты Вовки) должен быть отец, а у женщины (это у вдовы-мамы) – нормальная семья.	сироты	1
36	сироты	Кстати, сердце сироты и его многострадальный живот были на всякий случай защищены чугунной сковородой, спрятанной под вонючей кофтой: а что если агент православия откроет стрельбу?	сироты	1
37	сироты	Двери в другие помещения квартиры сироты были закрыты на ключ и даже по-военному заколочены досками, словно он и не жил в них, а ютился прямо здесь, в прихожей, где и ценностей-то никаких, кроме шести пар галош различной сохранности и телогрейки, не наблюдалось.	сироты	1
38	сироты	Он молниеносно перевёл рублёвую стоимость батона в долларовую, приплюсовал её к семи тысячам, и на сердце у сироты стало чуть-чуть спокойней, будто тёплый лучик упал на его истерзанную душу.	сироты	1
39	сироты	Никогда не угадаешь, сколько звериного в кошёлке сироты.	сироты	1
40	сироты	И мы продолжаем наше странное сосуществование – сорокатрехлетней старухи и двадцатипятилетнего сироты.	сироты	1
41	сироты	Теперь она только и думает, что бы еще сделать такого для несчастного сироты.	сироты	1
42	сироты	В 1957 году в ЦДРИ состоялась сенсационная выставка работ этого никому доселе не известного ленинградского сироты, женатого на внучке Бенуа, изгоя академии, по слухам, спавшего в Москве в ванне вдовы Яхонтова.	сироты	1
43	сироты	"Немного отмок Кязим в тазике Сурикиной любви, немного помягчел в мыльной пене его уважения, когда вместе с ним и всем кварталом одурачил ""Вечерний Звон"" в пользу любимого пасынка Банной улицы, сталинского сироты Салам-Каламчика..."	сироты	1
44	сироты	Вначале воспитанием сироты думал заняться дедушка – император Август, но юный Клавдий постоянно болел и настолько ослабел умом и телом, что не мог уразуметь императорской науки...	сироты	1
45	сироты	Образ девушки-сироты, бросившейся спасать своего сводного брата, был очень важным, ключевым для фильма.	сироты	1
46	сироты	Из паршивого сироты он превратился в довольно пригожего отрока, почти жениха, румянец которого, на появившихся щеках, вызывающе алел на фоне всеобщей голодной бледности.	сироты	1
47	сироты	Старик Иелохим тоже умер, но умер хорошо – легко, и свое огромное состояние оставил какой-то разбитной девице, забыв об Однухе, благодаря которому, говорят, его и составил – никто лучше мальчика сироты не ловил розовые круги.	сироты	1
48	сироты	И что самое неприятное, у сироты на этом свете был один-единственный близкий родственник – дядя Игорь.	сироты	1
49	сироты	С ее стороны это материнское, богородичное действие, которое одно для круглого сироты Толстого есть уже готовое чудо.	сироты	1
50	сироты	В этом я убедился, разбираясь с делом об убийстве сироты ее опекунами.	сироты	1
51	сироты	Но предвидение сбылось: это действительно игра по фильму, изданная компанией Psygnosis и напоминающая о странном мире девочки-сироты по имени Миет.	сироты	1
52	сироты	Конечно, трудно было представить себе более подходящего супруга: кроме мужской стати и привлекательности Берсир обладал наследственной властью конунга над хотя и малочисленным, но свободным народом, и для нее, сироты да еще славянки, открывался путь к таким высотам, какие могут только присниться в очень счастливом девичьем сне.	сироты	1
53	сироты	Галковским были предъявлены претензии не только литературе, а жизни; он сразу выбрал амплуа сироты, изгоя.	сироты	1
54	сироты	Неужели этим гордецам-софистам мало одной катастрофы и не жаль сироты-родины?	сироты	1
55	сироты	«Зверское убийство сироты под сенью опадающих каштанов!»	сироты	1
56	сироты	Хотя после изуверского убийства подростка-сироты город охватила волна протеста и ужаса, эта волна скорее была показушной, нежели истинным накатом народного страха.	сироты	1
