Index	Homograph	Context	TargetWord	Label
1	слуги	Государство из слуги превратилось в угрюмого самодержца.	слуги	1
2	слуги	Медлительная римская полиция начала расследование уже после смерти слуги и, конечно, ничего не установила.	слуги	1
3	слуги	Он всегда требовал у слуги свечу, ставил ее перед собой и, прежде чем выпить вино, долго рассматривал его на свет.	слуги	1
4	слуги	И Дуль-Дуль кинулся на грудь своего верного слуги, обнимая его шею, целуя его слепые глаза.	слуги	1
5	слуги	Перфишка подошел к нему к ручке, но Чертопханов не обратил внимания на усердие своего слуги.	слуги	1
6	слуги	Должен я также засвидетельствовать, что все лица, бывшие в нем главными деятелями (кроме историка, вашего покорного слуги), уже давно померли, и потому могу говорить о них свободно.	слуги	1
7	слуги	Папа всегда посылает его вместо слуги.	слуги	1
8	слуги	Дворянин, когда захочет, и слуги высечь не волен; да на что ж дан нам указ-от о вольности дворянства?	слуги	1
9	слуги	Наличие у раввина слуги-голема считалось знаком мудрости и святости.	слуги	1
10	слуги	Разговор зашел об истории камергера Резанова, в котором расчет слуги государева (успел создать Русско-американскую компанию для продвижения интересов России) ужился с подлинностью страсти к пятнадцатилетней (младше его на двадцать семь лет!) дочке коменданта крепости Кончите Аргуэльо.	слуги	1
11	слуги	У меня – часы, У моего слуги – семейные реликвии из серебра.	слуги	1
12	слуги	Между прочим, первая его републикация на родине – это дело рук вашего покорнейшего слуги в 1989 году, в журнале «Театральная жизнь».	слуги	1
13	слуги	Вспомните хоть руки Пусио, вашего слуги.	слуги	1
14	слуги	Бесстрашие, верность Республике, а сами убивают из-за угла, ради денег, чтобы потом принести мне чью-то вонючую голову, то ли слуги, то ли господина, а он перед всеми, не дрогнув, и кого – собственного брата!	слуги	1
15	слуги	Лимонов с самого начала был противоречивой фигурой – не только из-за того, как и что он писал, но и из-за своего публичного образа: сначала – провинциального поэта-хулигана и представителя московского андеграунда, затем нью-йоркского эмигранта-велферовца, слуги американского миллиардера и парижского литератора, а с девяностых – балканского воина и скандального российского политика.	слуги	1
16	слуги	Наконец-то, – сказала она, как только узрела на пороге своего дома силуэт слуги Текста – Бегичева, – я знала, что ты идешь ко мне по этому адресу, и я не могла три дня убежать из квартиры…	слуги	1
17	слуги	В «Истории его слуги» Стивен все же миллионер, но стоит ли обращать внимание на мелочи?	слуги	1
