Index	Homograph	Context	TargetWord	Label
1	города	Мы любим остановиться где-нибудь в тени, на возвышенности, пить гранатовый сок и слушать звуки ночного города.	города	1
2	города	Пробки – это беда большого города.	города	1
3	города	На прогулках по интересным местам города в роли экскурсовода выступала классный руководитель, которая много рассказывала детям о Москве.	города	1
4	города	Так, в одной только школе города Шарьи в 2003 г. в вузы поступили 60 % выпускников, а еще часть была намерена повторить попытки в следующем году.	города	1
5	города	Владимир Сушков дал поручение главам районов контролировать ситуацию и регулярно предоставлять в администрацию города информацию о работе общественного транспорта, так как они лучше информированы о транспортных проблемах в микрорайонах столицы республики.	города	1
6	города	"Будь то брошенный младенец в ""Малыше "", слепая красавица или миллионер-самоубийца в ""Огнях большого города ""."	города	1
7	города	38-летний водитель врезался в другой автомобиль недалеко от города Лоерах на юге Германии, после чего быстро уехал.	города	1
8	города	"Впрочем, наличие в Петербурге группы ""ПОСЛУШАЙТЕ! "" никак не отнимает у нашего города права называться ""культурной столицей России ""."	города	1
9	города	1500 погибших для многомилионного города, из которых большая часть – защитники БД – не самый худший исход.	города	1
10	города	На встрече присутствовали специалисты муниципальных образовательных учреждений, представители комитета по делам молодежи, руководители учреждений дошкольного образования, заместители директоров школ, психологи и медработники образовательных учреждений города.	города	1
11	города	Возможно, к российским поисковикам присоединятся их коллеги из города Петропавловска (Казахстан).	города	1
12	города	Модель театра с фирменным фестивалем хороша и для города и для театра.	города	1
13	города	Если работа нравится, человек легко с ней справляется, добивается хороших результатов, тогда и люди вокруг кажутся добрыми и милыми, переработки не напрягают, а необходимость ездить на другой конец города не кажется страшным испытанием.	города	1
14	города	В настоящее время павильон является одним из интереснейших выставочных залов Москвы, подлинным центром духовного и профессионального общения творческих людей, любимым местом отдыха москвичей и гостей города.	города	1
15	города	На высоком холме у берега Вислы расположена старая часть города.	города	1
16	города	Нами проведено выборочное обследование домашних хозяйств жителей города Екатеринбурга, а также находящихся на территории Свердловской области городов Первоуральска и Каменск-Уральского.	города	1
17	города	Трудовые мигранты участвуют в межрегиональной миграции, направление которой достаточно типично: например, из малого города (Вязники) – в столичный город (Москву).	города	1
18	города	Специалисты двух компаний переслали около 840 Гбайт с компьютера в американском Сан-Хосе на другой, находящийся в университете города Лулео (Швеция), менее чем за 27 мин.	города	1
19	города	"Однажды в Новый год (1989) я спускалась по ступенькам любимого города Дивногорска, увешанного сияющими гирляндами, когда вдруг закружились вокруг меня яркие шали, румяные щеки, зазвенели голоса и повели за собой: ""Коляда, Коляда, накануне Рождества ты к нам пришла и добра принесла..."	города	1
20	города	Тело школьницы обнаружили только через сутки; еще несколько дней у оперативников отдела милиции города Электроугли ушло на то, чтобы установить личность убитой.	города	1
21	города	Раменский район расположен на юго-востоке от города Москвы.	города	1
22	города	Вы уже второй срок депутат Горсовета города Электросталь.	города	1
23	города	Может, и недалек тот час, когда в XXI веке жители большого города (хоть и не столицы) будут пользоваться душем, а не носиться с кастрюльками, тазиками и ковшиками, как в веках давно минувших.	города	1
24	города	Даже счастливая семья, о которой речь, переживала неприятные минуты, поскольку очень отличалась от остальных семей этого города.	города	1
25	города	Ниже старого города, ближе к морю, новый район – бульвары, светлых тонов виллы.	города	1
26	города	Скоро средний класс жителей центра города вынужден будет ездить за покупками на окраины.	города	1
