Index	Homograph	Context	TargetWord	Label
1	дома	Сбежав из дома после развода родителей, не став делать выбор с кем из них остаться проживать, парнишка в поисках средств к существованию подделывает удостоверения, дипломы, устраиваясь на весьма престижные работы, параллельно проводя махинации с чековыми книжками.	дома	1
2	дома	А вот те, кому еще до дома надо ехать часа два, в радостях жизни почти не могут участвовать.	дома	1
3	дома	Более того, все воры в Москве не работали в то время, наслаждаясь этим фильмом дома вместе с остальными зрителями.	дома	1
4	дома	Добраться до Дома оказалось нелегко.	Дома	1
5	дома	Вот, например, вышли вы из дома на работу... с портфелем или не обязательно с портфелем, а с чем-то в руках.	дома	1
6	дома	Хоть какой-то стимул идти быстрее, а то иначе до дома до ночи не доберешься.	дома	1
7	дома	Вопрос: Чего Вы ждете от визита в Ригу Юрия Лужкова и начала работы Дома Москвы?	Дома	1
8	дома	Однако сейчас отправитель, имеющий счет в одном из банков США или Канады, уже может отправить перевод в любой пункт системы, не выходя из дома (через компьютер в режиме online) (26).	дома	1
9	дома	"убрала в сумку и ""поехала "" до дома.."	дома	1
10	дома	Добротный деревянный дом, рядом с крыльцом – береза, а от дома дорога ведет к Богоявленской церкви.	дома	1
11	дома	И делая для своего дома салфетки и накидки, ковровые дорожки и панно на стены, одеяла и покрывала, одежду, в которой ходим каждый день дома, мы создаем в своем жилище особенную атмосферу, славянскую духовность.	дома	1
12	дома	Отходила от дома на расстояние и кое-что меняла в своем гардеробе.	дома	1
13	дома	Он говорит, что квартиру надо менять, поэтому не стоит тратить время на ремонт и обустройство дома.	дома	1
14	дома	"У дома невесты дорогу во двор преграждали веревкой и требовали выкуп "" (Омутинский р-н, д. Шабанова)."	дома	1
15	дома	"В первой половине апреля на сцене ""Балтийского дома "" состоялся 6-й международный фестиваль русских театров СНГ и Балтии ""Встречи в России "", собравший в Петербурге спектакли из Белоруссии и Украины, Эстонии, Латвии и Армении."	дома	1
16	дома	Общался кот и с другими посетителями гостеприимного дома Бабаевых.	дома	1
17	дома	Ночью раздается крик животного, и женщина понимает, что на террасу дома перебралась рысь, спасающаяся от наводнения.	дома	1
18	дома	Во вторник сразу после переговоров с Джорджем Бушем, прошедших в Овальном кабинете Белого дома, президент Латвии Вайра Вике-Фрейберга объявила, что «в ближайшие недели следует ожидать событий в Ираке».	дома	1
19	дома	Во сколько раз высота одного дома больше высоты другого дома, если время падения сосулек с их крыш отличается в два раза?	дома	1
