Index	Homograph	Context	TargetWord	Label
1	острова	Но позднее не стало ни Завражья, ни острова посреди Волги, реку расширили, отчего появилась реальная угроза затопления прибрежной части Юрьевца.	острова	1
2	острова	Власти Дубая и острова Мэн прилагают определенные усилия для привлечения офшорных компаний.	острова	1
3	острова	Скоро в этом месте океана не осталось ни одного необитаемого острова, на всех по официанту или по два.	острова	1
4	острова	"Автор ""Острова сокровищ "" умер в том году, когда Иванов родился."	Острова	1
5	острова	"Тут же извлекается из памяти классический набор русских народных песен: ""Из-за острова на стрежень """" Степь да степь кругом """" По Дону гуляет... "" и т. д."	острова	1
6	острова	Но моим самым памятным местом в Питере остается Стрелка Васильевского острова.	острова	1
7	острова	"А запел народ совсем другую песню – ""Из-за острова на стрежень "", созданную на тот же самый сюжет Д. Н. Садовниковым (1847-1883), русским фольклористом, этнографом и поэтом, автором стихотворных циклов ""Из волжских преданий о Стеньке Разине "" и ""Песни о Стеньке Разине ""."	острова	1
8	острова	Ученые утверждают, что все это можно объяснить теорией образования острова Суматра 6-12 тысяч лет назад.	острова	1
9	острова	Пока же в Средиземном море близ острова Форментера, строится подводная ферма, на которой будут разводить асцидий.	острова	1
10	острова	"Коллеги с Острова свободы рассказали: провожая команду в Астану, Фидель Кастро высказал пожелание ""видеть главный трофей турнира на нашей Родине ""."	Острова	1
11	острова	Среди вещей, проданных на аукционе, около 400 реликвий с острова Святой Елены: пригоршня земли, часть паркета, на котором располагалось смертное ложе императора, прядь волос и кусочки ткани с его кровью.	острова	1
12	острова	Кин же превратился в главную мишень для карикатуристов газет Зеленого острова.	острова	1
13	острова	Это с острова Куба.	острова	1
14	острова	"Формально Мон-Сен-Мишель расположен на территории соседней провинции Нормандии, но уже в ""двух шагах "" от острова-монастыря начинается Бретань."	острова	1
15	острова	Согласно легенде он изгнал с острова всех змей, которых в Ирландии действительно нет.	острова	1
16	острова	"Эта мысль не была слишком пронзительной и проходила скорее фоном, не была ни на чем основана, и Колюня вряд ли ее сильно переживал, скорее отдавая вежливую дань переходному возрасту; он необыкновенно много в ту пору читал, сочинял римейк под названием "" Остров дружбы ""– имея в виду на сей раз лихую повесть детского писателя Вильяма Козлова "" Президент каменного острова ""и перенеся действие на скалистый оток в Белом море, где поселил свое пионерское звено."	острова	1
17	острова	Одолев метров тридцать осыпающихся ступеней, оказались на песчаном берегу, совершенно безлюдном и трогательно-унылом, как берег необитаемого острова.	острова	1
