Index	Homograph	Context	TargetWord	Label
1	поезда	Задача поездного диспетчера – спланировать прохождение поезда по определенному участку (длиной от 100 до 500 км), а при возникновении проблем – скорректировать график движения и отдать соответствующие указания.	поезда	1
2	поезда	После этого девушки вновь заплетали невесте косу, с которой она оставалась до приезда свадебного поезда.	поезда	1
3	поезда	Как сообщает информационное агентство Yonhap со ссылкой на данные анонимного источника в Пекине, этот взрыв был намного более мощным, чем взрыв поезда в Северной Корее в апреле с. г., в результате которого погибли 170 человек.	поезда	1
4	поезда	Вагон поезда, движущегося со скоростью 36 км/ ч, был пробит пулей, летевшей перпендикулярно к направлению движения вагона.	поезда	1
5	поезда	Сойдя с поезда, Юрий прогулялся по вокзалу, а затем двинул в автоматическую камеру хранения.	поезда	1
6	поезда	До отхода поезда оставались считанные минуты.	поезда	1
7	поезда	А мы-то, когда гости спрашивали, почему не летим самолетом, расписывали прелести нашего знаменитого поезда!	поезда	1
8	поезда	Прибыв на вокзал в Адлер часа за три до отправления поезда и зайдя в помещение билетных касс, были приятно удивлены малочисленными очередями: работали три кассы, к каждой из которых стояло примерно 10-12 человек.	поезда	1
9	поезда	Призывника должны были снять с поезда и отправить в дисбат, но поскольку он еще не принял присягу, его отослали обратно для проверки в психоневрологическом диспансере.	поезда	1
10	поезда	Она всегда гнездилась, даже если оказывалась в купе поезда, – раскладывала чашечки, салфеточки, наводила уют.	поезда	1
11	поезда	"Поэтому совершенствовать русский в живой беседе у нас было немного возможностей, одна из них – самая приятная – в коридоре поезда ""Красная стрела "" из Москвы в Ленинград, туда КГБ просто иногда не успевал."	поезда	1
12	поезда	Воздух обхватила судорога ожидания, как в последний миг отправления поезда.	поезда	1
13	поезда	Место разреза должно находиться за ЛЭП по ходу движения поезда на расстоянии не менее 100 м; в зоне влияния ЛЭП укладывают шлейф длиною 70-100 м и проводят его кодирование сигнальными токами.	поезда	1
14	поезда	Выдвигаемся в сторону поезда, разбираем велики.	поезда	1
15	поезда	Выключателем B 10 отсоединяют батарею при отстоях поезда.	поезда	1
16	поезда	Не то чтобы много и богато, но на первый случай хватило бы барахлишка, да глухой ночью загрохотало под колесами поезда, качнуло вагон, и вместе со всеми на нарах спящими вояками Данила обрушился вниз, больно обо что-то ударился.	поезда	1
