Index	Homograph	Context	TargetWord	Label
1	страны	Разве этого мало для объяснения смены страны проживания?	страны	1
2	страны	Мужчина, который однажды вырвавшись из нашей убогой страны — стал человеком с большой буквы.	страны	1
3	страны	Через считанные дни сериал станет самым запоминающимся памятником всем разведчикам СССР, непревзойденным шедевром советского кинематографа, гранитным пластом культуры огромной страны.	страны	1
4	страны	"Ответы на самые острые вопросы, которые больше всего волнуют наших читателей в преддверии осеннего призыва, главный военный законник страны дал ""МК "" в эксклюзивном порядке."	страны	1
5	страны	На пути к ITSM-изации всей страны	страны	1
6	страны	Закон о свободе совести в отличие от Европейской конвенции прав человека допускает ограничение свободы совести в интересах обороны страны и безопасности государства.	страны	1
7	страны	Решение об избрании России Председателем Контртеррористического комитета СБ ООН мы воспринимаем как еще одно свидетельство признания авторитета и опыта нашей страны в решении ключевых проблем обеспечения международной безопасности, высокой оценки ее реального вклада в укрепление соответствующих механизмов ООН, включая и деятельность Контртеррористического комитета.	страны	1
8	страны	За последние пол года в Свердловской области были проведены два семинара для специалистов финансовых управлений из разных регионов страны.	страны	1
9	страны	Регион достаточно сложный, и мы с большим вниманием следим за ситуацией не только в регионе, но и внутри вашей страны, уважаемый господин Президент, и с удовлетворением отмечаем, что Вам удается сохранять известную стабильность.	страны	1
10	страны	Россия и государства – члены Организации Исламская конференция также едины в том, что касается необходимости скорейшего восстановления суверенитета Ирака, создания условий для демократического развития, сохранения единства и территориальной целостности этой страны.	страны	1
11	страны	До недавних пор они касались страны, ослабленной внутренним кризисом и пугающей своей непредсказуемостью.	страны	1
12	страны	Я думаю, мы должны поблагодарить Президента страны И. А. Каримова за приглашение господину Х. Карзаю посетить форум Шанхайской организации.	страны	1
13	страны	Укреплением ее суверенитета на международной арене и международного авторитета вашей страны.	страны	1
14	страны	Отрабатываемые в Совете эффективные механизмы оказания гуманитарной помощи при масштабных стихийных бедствиях и иных чрезвычайных ситуациях позволяли нам получать от ООН ценную помощь при ликвидации последствий техногенных и природных катастроф на территории нашей страны, а также для обеспечения гуманитарных нужд пострадавшего населения.	страны	1
15	страны	С одной стороны, в полученных данных немало положительных моментов для страны в целом.	страны	1
16	страны	Глава российского государства отметил, что обе страны никогда не забудут историю, однако современное поколение в России и Германии не несет ответственности за то, что происходило раньше, и не может быть поражено в правах.	страны	1
17	страны	Характерно, что одна-две страны получают более 50 % от всех переводов того или иного региона.	страны	1
18	страны	Россия из страны непуганых идиотов в одночасье превратилась в страну пуганных идиотов.	страны	1
19	страны	И взяла на себя смелость воссоединения страны большой кровью.	страны	1
20	страны	Эта позиция руководства страны проявилась после событий 11 сентября 2001 г., когда Дамаск осудил эти террористические акты, однако, подтвердив при этом свое намерение продолжать предоставление политического убежища представителям радикальных палестинских организаций.	страны	1
21	страны	Однако значение и роль ЛПХ в жизнедеятельности населения и для экономики страны столь велики, что проблемы ведения личных подсобных хозяйств и их перспектив заслуживают дальнейшего обсуждения и анализа.	страны	1
22	страны	Мы переехали год назад на другой конец страны, так он продолжает со старыми друзьями общаться, да плюс лагерные друзья по всей стране.	страны	1
23	страны	В деятельности руководства страны наметилась тенденция к приданию американской внешней политике, при сохранении неизменным ее основного содержания, более привлекательного облика.	страны	1
24	страны	Платежный баланс является основным понятием и инструментом международной экономики, поскольку он систематизирует и позволяет провести анализ взаимоотношений страны с внешним миром.	страны	1
25	страны	"Многие выставки павильона – заметное событие не только на ВВЦ, но и в жизни всей страны, в частности, выставка ""Русское чудо "", ставшая традиционной по благословению Патриарха Московского и всея Руси Алексия II, впервые почтившего своим присутствием Всероссийский выставочный центр и открытие знаменательной экспозиции."	страны	1
26	страны	Столица Польши – самый крупный город страны.	страны	1
27	страны	С похожими проблемами сталкиваются практически все детские фестивали страны.	страны	1
28	страны	Северокорейские власти пока никак не комментируют сообщения о взрыве неподалеку от границы этой страны с Китаем.	страны	1
29	страны	Несбалансированность потребности в рабочей силе регионального рынка труда преодолевается с помощью мигрантов из других районов страны, если в этих районах имеется избыток рабочей силы и рабочая сила имеет определенный миграционный потенциал.	страны	1
30	страны	Раньше таких людей брали в закрытые КБ, где они трудились на благо страны.	страны	1
