Index	Homograph	Context	TargetWord	Label
1	облака	"Южнокорейские СМИ приводят мнение жителей близлежащих китайских городов и деревень, которые не слышали никакого взрыва и не видели никакого ""грибовидного облака ""."	облака	1
2	облака	При исследовании облака установили, что средний объем капельки воды в нем равен 0, 000004 мм 3.	облака	1
3	облака	Десятки рабов собрались вокруг облака, которое на глазах темнело, и внутри его зарождалось что-то фиолетово-сине-черное.	облака	1
4	облака	Саутгейт поместил в тостер несколько шаблонов с вырезанными на них изображениями солнца, облака и тучи с капельками дождя.	облака	1
5	облака	Проклятое воображение угодливо подсовывало мне ее всю – от кончиков пальцев на ногах до облака душистых волос, – нагую, любящую и покорную.	облака	1
6	облака	Как тень от облака пробегает по полю, так это темное пространство стало сдвигаться, и я увидела сначала часть стены в полосатых обоях, а потом и всю дедову комнату в серой предрассветной мгле.	облака	1
7	облака	В этот момент открылась дверь бани, из парного облака выглянул Петро.	облака	1
8	облака	Прямо над ними плыло три облака.	облака	1
9	облака	И схватил лапой синюю льдышку облака.	облака	1
10	облака	Из черного облака неправдоподобно медленно поднимались рваные лоскутья обшивки и столь же медленно падали.	облака	1
11	облака	Подумать только, что за все время я не видел здесь ни одного серьезного облака.	облака	1
12	облака	Они молча выпустили три дымовых облака, потом один, обладатель кресала, проговорил:	облака	1
13	облака	Эти исследования приблизили нас к пониманию процесса постепенного формирования планет из некоторого первоначального газопылевого облака, окружавшего Солнце, которое уже тогда было довольно похоже на современное.	облака	1
14	облака	Однако гипотеза Шмидта не смогла дать достаточно обоснованного ответа на главный вопрос о происхождении первоначального газопылевого облака.	облака	1
15	облака	Из облака морозного пара вышли двое военных.	облака	1
16	облака	Два вражеских самолета, задрав носы, начали набирать высоту, а третий держался поодаль впереди, у изогнутого края плотного длинного облака.	облака	1
17	облака	Людей тянуло туда, к круглой конусовидной горе, где им мерещились сине-зеленые призраки горных духов, плясавшие вокруг зеленоватого светящегося облака.	облака	1
18	облака	Над прозрачной гладью воды проплыла тень низкого облака.	облака	1
19	облака	Ни дуновения ветерка, ни шевеления облака и ни живой души.	облака	1
20	облака	Только голос из облака отвечал:	облака	1
21	облака	Ему выпал жребий вдруг из светлого облака правды и любви, которыми он жил и в которые так верил, вдруг всеми глазами взглянуть во все ужасы жизненной бездны – и, мало того, стать по роковому вызову судьбы, которому он не может еще верить, стать борцом со злом, судьей, мстителем – и главной искупительной жертвой!	облака	1
22	облака	Инвестиции в облачный мониторинг были сосредоточены вокруг собирания метрик публичного облака с помощью программного интерфейса приложения (Application Programming Interface, API), синтетического тестирования для приложений SaaS и опций виртуального развертывания, которые облегчают работу с изменением паттернов потоков данных, вызванного миграцией в облако.	облака	1
23	облака	Руководством была признана необходимость сквозного решения для мониторинга облака, сети и экосистемы приложений.	облака	1
24	облака	Внедрение SDN и инфраструктуры публичного облака изменит привычные нам способы, которые мы применяем для конфигурирования и использования бизнес-сервисов, и эти кардинальные изменения мы только начинаем осознавать.	облака	1
25	облака	Это значительно упрощает ИТ-операции, поскольку для них не нужно определять сразу несколько разных процессов: одни — для локальных конфигураций и аспектов работы, а другие — для публичного облака, такого как AWS.	облака	1
26	облака	Виртуальный программный инструментарий NetScout vSTREAM позволит вам «осветить» всю инфраструктуру: собственного, частного и публичного облака.	облака	1
27	облака	Поскольку каждое действие и транзакция инкапсулированы в проводные данные, которые полностью охватывают все среды гибридного облака и мультиоблака, это обеспечивает лучшую точку обзора для получения сквозной видимости.	облака	1
28	облака	С легкого, как перышко, облака, появился Хазарцев.	облака	1
29	облака	Опустив со лба очки и зажмурившись, она слегка брызнула из баллончика на волосы и дождевик, и некоторое время так и шла с закрытыми глазами, чтоб выйти из отравленного облака.	облака	1
30	облака	Увидеть друга помешало выглянувшее из-за облака солнце.	облака	1
31	облака	Бах бросился было за детьми, но не увидел на дороге уже ни их самих, ни даже поднятого их ногами облака пыли.	облака	1
32	облака	И после, стоило подняться пыли, словно присыпавшей в воздухе какой-то тонкий отпечаток, или солнцу выйти из облака под необычным углом, как башня делалась видна; видели ее и в густой снегопад, словно мывший с мылом фиолетовую тень.	облака	1
33	облака	На небе не видно ни облака – и всё же оно не ясное, не голубое.	облака	1
34	облака	С точки зрения скалы или океана вспышка человеческой жизни настолько скоротечна, что это не жизнь даже, а – искра костра, тень облака.	облака	1
35	облака	В алтаре невиданная вещь – скульптура облака, с которого, как девочка на шаре, спускается Богоматерь с младенцем, успевая при этом попирать змею.	облака	1
36	облака	С самого утра дует такой сильный и порывистый ветер, что из соседней деревни, через два оврага, три холма и ручей принесло два облака невообразимо чихучей желтой пыли,	облака	1
37	облака	три облака белого дыма от горящей травы, колокольный звон из церкви Покрова Пресвятой Богородицы, песню жаворонка, запах шашлыка, крик Лариска поймаю убью зараза, запах навоза, собачий лай, кудахтанье, еще одну песню жаворонка и без остановки несет дальше, по направлению к райцентру.	облака	1
38	облака	она – белочка, грызущая орешки с золотой скорлупкой. если это не любовь, то что тогда любовь? ее взгляд выжимает влагу из облака, округляет углы домов, удлиняет шаги, убыстряет сердечный пульс, умывает росою ревности. леночка, зубки твои – как овечье стадо на склоне холма, подбородок янтарный. любовь – барашек, который лежит на земле связанный, а над барашком стоит колыбель с младенцем, над колыбелью склонилась мать, но черты ее размыты, и ребенок корявенький, ножками подрыгивает. лишь барашек прекрасен, готовый к закланию.	облака	1
39	облака	С другой стороны, особенности этих моделей практически скрыты от потребителя внутри «облака», а на его поверхности главными становятся маркетинговые действия провайдера «облачной» услуги и его представление об адекватных ценах на нее.	облака	1
40	облака	Из снежного облака выступает большая темная фигура в малахае.	облака	1
41	облака	Из растревоженного, колышущегося илистого облака – к далекой светлой ряби.	облака	1
42	облака	Мокрой тряпкой висело на флагштоке знамя, а кусок особо огромного облака напрочь закрывал окошко, из которого по сюжету сказки приходилось ежедневно выглядывать Принцессе.	облака	1
43	облака	Возвращаясь наконец к исходной теме, то есть к исследованиям изотопного состава воды различных типов и видов комет, обитающих в Солнечной системе, уточним, что после не слишком радостных данных по комете Галлея исследователи обратили свои страждущие взоры на предположительных представителей другого класса – долгопериодические кометы, обитателей облака Оорта.	облака	1
44	облака	Из облака чёрного дыма, окружающего тело монстра, проступали очертания человеческого скелета.	облака	1
45	облака	Едва успели уплыть из кровавого облака, как появились первые окулы.	облака	1
46	облака	У Саши только иллюзия была некоей власти над данными отдела, там все в «облаке» сохранялось, а сервера «облака», к счастью, не у вас находились.	облака	1
47	облака	Один раз только за четыре года катания по нашему ЖК меня обсигналила дама с волосами цвета облака	облака	1
48	облака	Такси доставило их к ослепительно зеркальному бизнес-центру, разложившему на четыре плоскости отражение облака, похожего на белого медведя.	облака	1
49	облака	Но сразу же солнце выпрастывалось из-за облака, зажигало крыши, троллейбусные рога, верхушки матерых будыльев, словно размечая место, которое сейчас займет, – и занимало, пропитывая все, ослепляя Ведерникова, меняя суть вещей.	облака	1
50	облака	Кефир, пачка беломора, молодые и словно из облака возникшие весенние друзья, после зябкой ночи на балконе, где нас заперли с длинноногой и длинноносой Косицыной с двумя метёлками хвостов в длиннополой рубашке с испуганным и пузатеньким лицом.	облака	1
51	облака	Восприятие динамически изменчивого образа облака частиц во многом соответствует естественному представлению наблюдателя о неустойчивом состоянии или неопределенном пространственном положении.	облака	1
52	облака	И теперь, когда Мушенбрук изобрел для тигра клетку – лейденскую банку – можно попробовать наполнить ее электрической жидкостью прямо из грозового облака.	облака	1
53	облака	Солнце тут же выглянуло из-за облака, бросило много лучей вниз – и стало казаться, что по двору уходила, злобно полоскалась одна только стильная черная рубашка с коротким рукавом: и руки, и ноги, и голова из нее – исчезли!	облака	1
54	облака	Анализ изображений позволил выявить слабый отблеск пылевого облака именно в том месте, где его ожидали увидеть ученые.	облака	1
55	облака	Когда уставали глаза от яркого света, я ложился в тень и думал о разных вещах, не очень сложных, но необходимых в моих поисках – о цвете мха, форме облака над головой, плеске воды о камни.	облака	1
56	облака	Выплыв из очередного облака дыма, обнаружил себя прикованным наручниками к стойке этого тряского сооружения.	облака	1
