Index	Homograph	Context	TargetWord	Label
2	письма	Грузинская и абхазская стороны рассмотрели проект письма о намерениях в отношении возвращения к местам прежнего постоянного проживания в Гальском районе его жителей.	письма	1
3	письма	Что надо писать в содержании самого письма (Игнат) по английскому?	письма	1
4	письма	Сегодня, по словам авторов письма, только на Дальнем Востоке в зимнем штормовом море, не ведя промысел из-за отсутствия квот, находятся 260 судов.	письма	1
5	письма	А вот строка из письма Гиппиус, по которой видно ее отношение к Георгию Владимировичу как человеку:	письма	1
6	письма	Однако основная дискуссия развернулась не вокруг доклада, а вокруг открытого письма в адрес пленума от члена фракции КПРФ Сергея Глазьева.	письма	1
7	письма	Обычно все начинается с реального или электронного письма с предложением о сотрудничестве.	письма	1
8	письма	"Вот выдержка из письма, переданного мне одной из партийных организаций. ""Коммунисту во власти быть очень выгодно: должность – это власть, почет, внимание, трибуна, вхождение на более высокую служебную лестницу, высокая пенсия, да, наконец, высокая зарплата без больших энергетических усилий и риска для жизни и семьи."	письма	1
9	письма	Тем не менее Минюст вполне может вынести на основании письма предупреждение Грызлову.	письма	1
11	письма	При работе с юрлицами компании по аренде машин индивидуально подходят к такому вопросу, как передача залога, чаще всего удовлетворяясь наличием гарантийного письма.	письма	1
12	письма	Портрет Мольера Шарля Лебрена – настоящая историческая реликвия и отличного, тонкого письма картина.	письма	1
13	письма	Ирина подняла глаза от письма.	письма	1
14	письма	"Уникальная самобытная ""небесная "" роспись с изображением архангелов, евангелистов, пророков и херувимов – образец очень русского северного письма, близкого каждому нормальному патриоту с художественным чутьем."	письма	1
15	письма	"Его же приписка красным карандашом: ""Текст письма составлен в ЦК, угрожали жизнью ""."	письма	1
16	письма	Именно Шикотан триумфально ввел в отечественное искусство новый самобытный и яркий талант, обладающий неповторимой темой, образным видением, стилистикой, манерой письма, колористическим строем.	письма	1
17	письма	По его словам, содержание этого письма на пленуме не обсуждалось, хотя желающие могли ознакомиться с ним в общем отделе ЦК.	письма	1
18	письма	Жду с нетерпением письма и от тебя.	письма	1
19	письма	С молотка уйдут 23 письма и поздравительных открытки, собственноручно написанных принцессой Дианой.	письма	1
20	письма	В проекте, составленном в форме письма президенту, депутат живописует мучения при проезде президентского кортежа из Внукова в Москву в один из дней июня: «Поток машин, и так идущих бампер к бамперу, направлялся в многокилометровый объезд по старому однорядному Боровскому шоссе.	письма	1
21	письма	Но в советское время по понятным причинам, когда тотально господствовал гегельянско-марксистский диалект, традиция философского письма была оборвана.	письма	1
22	письма	И тут я нахально, назло откусил первый кусочек письма.	письма	1
23	письма	Письма было мало.	Письма	1
24	письма	По сути дела все это началось задолго до того дня и даже задолго до письма, которое так подействовало на моего отца...	письма	1
25	письма	Адресанты письма предложили новую нивелирующую противоречия редакцию статьи.	письма	1
26	письма	В этих письменностях действительно в наиболее употребительном варианте письма записываются именно согласные (что и находится в определенной связи с особенностями структуры семитских языков, ср. ниже сноску 10), хотя все же наряду с некоторой частью гласных.	письма	1
27	письма	Еще в юности запал в него текст письма вавилонского жреца и врача Бероса, в котором тот объяснял своему ученику, что вот уже тридцать лет, как звезда Тишла вошла в созвездие Сиппару, и мальчики с тех пор рождаются более крупными, более агрессивными, и ручки их как будто держат копье...	письма	1
28	письма	"Влюбляешься в Рим очень медленно, понемногу – и уж на всю жизнь "" (из письма Н. В. Гоголя А. С. Данилевскому, 1837 г.)."	письма	1
29	письма	Кстати, кроме старославянского у нас есть и другие предметы: история мировых цивилизаций, введение в лингвистику, фонетика, практикум по библиографии, история и теория письма, информатика и программирование, а также введение в современную математику, да, и это еще не все, я учу немецкий язык.	письма	1
31	письма	В эти выразительные слова мы смотрим как в зеркало сознания человека пушкинской эпохи, кем Хомяков оставался и в год написания письма, уже за ее историческими пределами.	письма	1
33	письма	Мы получили четыре письма, адресованные мэру.	письма	1
34	письма	Так же много – иногда по три письма в день – Виктор Владимирович писал жене из Вятки, рассказывая о своей жизни в ссылке, делясь творческими планами, обращаясь с просьбами о присылке книг или интересуясь судьбой своих научных публикаций.	письма	1
35	письма	Анна Федоровна сварила себе кофе, раскрыла литературоведческую книжку своего знаменитого пациента, приготовила лист бумаги для письма и поставила рядом с собой синюю вазочку с конфетами, которых себе обыкновенно не позволяла.	письма	1
36	письма	Замечательный журналист Арт Бухвальд написал фельетон в виде открытого письма президенту США Джонсону.	письма	1
37	письма	Узнал я об этом уже дома, из письма ко мне.	письма	1
38	письма	И ни письма, ни весточки.	письма	1
39	письма	Из письма вылетела цветная фотография самой Адели, превратившейся в седую, круто-кудрявую улыбающуюся женщину, присевшую на краешек плетеного стула посреди зеленой, коротко стриженной лужайки.	письма	1
40	письма	Он там будет два с половиной дня, но пол дня он считает за целый день, так что я получу три письма, которые буду хранить в розовой папке, в которой храню и тебя, дневничок, и фотографию Гонзы, на которой он играет в волейбол в Нератовице, где они выиграли кубок.	письма	1
41	письма	Прямо посреди текста письма появлялись великолепные акварельки какого-нибудь зоопарка с индийскими носорогами, неподалеку от которых на стульях сидят посетители.	письма	1
42	письма	Несколько дней жадно ждала письма от Валюна.	письма	1
43	письма	"О ней известно, что она также была из деревни Масловка, крестьянка, и ""трудилась на своем поле, и ходила по наймам, если это было нужно "" (цитата из письма Раисы Савенко-Зыбиной)."	письма	1
44	письма	Она жила дома и ожидала письма или телеграммы от Федора, боясь, что почтальон унесет письмо обратно, если не застанет никого дома.	письма	1
45	письма	Узнав из перехваченного письма, что муж давно уже живет с Дашей, устроила скандал до небес.	письма	1
46	письма	Жалкие попытки самому смоделировать сновидение напоминают тошнотворные усилия письма...	письма	1
47	письма	Каждым своим жестом и словом мама заглаживала тот просчет, которого могло и не быть, если бы она не поспешила, если бы дождалась нашего письма и узнала о кресте на холмике под неохватным, израненным дубом.	письма	1
48	письма	Ну как же? – мягко упрекнул его светлоглазый, светловолосый лейтенант Смотряев. – Если начнется оперразработка, то моментально будет установлена личность автора письма.	письма	1
50	письма	Кажется, автор этого письма сейчас уже покончила с юношескими приключениями и благополучно причалила к берегу в пределах Солнечной системы.	письма	1
51	письма	Направляю Вам копию своего письма председателю Государственного комитета по делам издательств, полиграфии и книжной торговли Совета Министров СССР.	письма	1
52	письма	Это была его манера писания вместе с женой, даже письма знакомым, например мне, из Воронежа.	письма	1
53	письма	Во первых строках моего письма сообщаю, что мы живы-здоровы, чего и вам желаем.	письма	1
54	письма	Ее подруги уже сумели раздобыться иконами, а Лариса, которая в общем-то малоинтеллигентна, не читала ученых книг, просто ограбила своих деревенских родственников и привезла целую коллекцию – шесть досок, среди которых была одна безусловно старинная, северного письма.	письма	1
55	письма	Хотя мы успели окинуть друг друга только одним быстрым взглядом, как-то сразу в одно мгновение было решено, что неудобно теперь, через два года, узнать друг друга и поздороваться, тем более что между нами уже пролегла тайна письма.	письма	1
57	письма	Письма-то все нет, Спиридон Данилыч? – откликнулся Нержин.	Письма	1
58	письма	Как-то узнаю стороной, что жена его опять родила дочку, и я решил напомнить о себе под видом поздравительного письма.	письма	1
59	письма	Не будь этого письма, мы все равно бы заехали к ней.	письма	1
60	письма	И проверить – письма не несет ли, чтоб через вольного толкануть?	письма	1
61	письма	Шли дни, шли недели, письма от Толи не было.	письма	1
62	письма	А мертвецу не стал нужен хлеб и оружие, он не хотел письма от верной жены.	письма	1
63	письма	"""Он честно рассказал партийному собранию содержание письма Ивана """	письма	1
64	письма	Вот и с Иваном – три десятилетия Иван скитался по тюрьмам и лагерям, и Николай Андреевич, всегда гордившийся тем, что не отрекся от Ивана ни разу за эти десятилетия не написал ему письма.	письма	1
65	письма	"Вскоре после отсылки письма, в один из ""заявительных "" тюремных дней, Савельева вызвали в коридор и дали ему расписаться в извещении."	письма	1
66	письма	Сударь, – сказал отец, глядя на офицера, – если бы вы только знали, как я все эти годы ждал этого письма.	письма	1
67	письма	В том, что ни адреса, ни письма я вам все-таки не дам.	письма	1
68	письма	"Я хорошо знал историю автора этого письма – редактора пронацистской газетки ""Факел "", выходившей в нашем городе в дни оккупации."	письма	1
69	письма	Издателю так понравилось это письмо, что, ловко изъяв из письма все личные обращения к нему, он тотчас же тиснул его у себя в «Новостях» под сентиментальным заглавием: «Тяжкое положение провинциальных работников печати».	письма	1
70	письма	"Очень хотелось бы повидаться с Вами и просто ""поболтать "" о том, что никак не умещается на страницах письма."	письма	1
71	письма	Иван Васильевич, подбодряя выходивших на сцену и плохо зная в лицо новых, поступивших в этом году в подсобляющий состав, вовлек в сочинение воздушного письма юного вихрастого бутафора, мыкавшегося с краю сцены.	письма	1
72	письма	Из одного его письма к Е. Н. Званцевой (от 8 ноября 1891 года) мы знаем, что однажды, еще в восьмидесятых годах, он написал было воспоминания о своем детстве и отрочестве, но потом та же беспримерная скромность заставила его уничтожить написанное.	письма	1
73	письма	В портфеле ничего не было: ни Степиного письма, ни контракта, ни иностранцева паспорта, ни денег, ни контрамарки.	письма	1
74	письма	Не буду писать о нем тебе, а то заплачу и не кончу и второго письма.	письма	1
75	письма	Цитату из этого письма уже приводил в своей речи тов. Молотов, но он привел не всю цитату.	письма	1
76	письма	Та Маруся, которая упоминается в начале письма, умерла в 920-м году от голодного тифа и ее схоронили в Москве на Донском кладбище, – ее, Марусю Лобачеву, мою Лодку.	письма	1
77	письма	Прошло три года, не было от нее ни письма, ни слуха о ней; ее брат тоже уехал, мать умерла.	письма	1
79	письма	Дорогая, я опустил тебе два письма.	письма	1
81	письма	Авторами этого письма оказались два товарища Коли, Петя Власов и Сережа Баукин.	письма	1
82	письма	"Из письма его к С. А. Никитенко в 1868 году из Киссингена оказывается, что он, засев за ""Обрыв "" после разных колебании, написал в две недели своим убористым и мелким почерком 62 листа кругом, что должно составить от 12 до 14 печатных листов."	письма	1
83	письма	"Мы привели пространные выписки из письма одного из самых видных иерархов православной церкви, чтобы читатель сам мог оценить, что именно в "" Вехах ""наиболее ценно в глазах просвещенного архипастыря воинствующего клира и близких ему по духу кругов общества."	письма	1
84	письма	И, не сгоняя с лица грустной тени и все тем же печально-недоумевающим тоном, каким он говорил о суде, Л. Н. начал передавать содержание полученного письма.	письма	1
85	письма	Впрочем, произносимые Л. Н. слова могли относиться и к только что законченной им философской работе в виде письма к брату Н. Я. Грота, задумавшему создать гротовский сборник.	письма	1
86	письма	Как стали бы вы жить, если бы я не приходил к вам каждый день и если бы в деревне вы не ждали каждый день моего письма?	письма	1
87	письма	Из письма господина NNN.	письма	1
88	письма	Голова совершенно высохшая, одноцветная, бронзовая – ни дать ни взять икона старинного письма; нос узкий, как лезвие ножа; губ почти не видать – только зубы белеют и глаза, да из-под платка выбиваются на лоб жидкие пряди желтых волос.	письма	1
89	письма	Было у меня много писем и записок от Пушкина и два письма от Жуковского, но я имел глупость раздарить их.	письма	1
90	письма	В конце письма он изъявлял сожаление о том, что наше знакомство так скоро прекратилось, желал мне счастья, дружески жал мне руку и умолял меня не стараться их отыскивать.	письма	1
91	письма	Я все еще надеялся, почтенный и любезный Иван Иванович, лично благодарить вас за ваше ко мне благорасположение, за два письма, за романы и пугачевщину, но неудача меня преследует.	письма	1
92	письма	Вы были свидетелем наводнения, разрушившего город: в вашей воле описать его в форме письма или в форме простого рассказа.	письма	1
93	письма	Сколько не переменялось директоров и всяких начальников, его видели все на одном и том же месте, в том же положении, в той же самой должности, тем же чиновником для письма, так что потом уверились, что он, видно, так и родился на свет уже совершенно готовым, в вицмундире и с лысиной на голове.	письма	1
94	письма	Но мне надобно оставить перо до следующего письма, в котором доскажу, что случилось со мною в замке Грипсгольме.	письма	1
95	письма	Я писала к тебе, Фидель; верно, Полкан не принес письма моего!	письма	1
97	письма	Но он, узнав в Варшаве 25 числа о смерти императора, уже 26 числа написал два письма (к императрице Марии Феодоровне и к нынешнему императору), в которых решительно подтвердил свое отречение.	письма	1
