Index	Homograph	Context	TargetWord	Label
1	поля	В случае низкочастотного поля, когда его частота меньше частоты столкновений электронов, достичь условий кулоновского взрыва металла возможно, если длительность импульса поля меньше времени релаксации энергии электронов при упругих столкновениях, а температура электронов намного превышает энергию Ферми и работу выхода.	поля	1
2	поля	При наличии сильного магнитного поля (~ 10 12 Гс) вещество из внутренних частей аккреционного диска направляется магнитным полем на полюса нейтронной звезды, сталкивается с ее поверхностью и разогревается до температуры в десятки и сотни миллионов градусов, образуя на поверхности звезды горячие пятна.	поля	1
3	поля	Влияние импульсного магнитного поля на нелинейную динамику вихреподобных доменных стенок в магнитных пленках	поля	1
4	поля	Исследована зависимость этого времени от частоты внешнего магнитного поля, изменяющегося по гармоническому закону.	поля	1
5	поля	Может стоит упомянуть, что о вредном воздействии электромагнитного поля мобильных телефонов на мозг и органы.	поля	1
6	поля	Проанализирован характер распределения полей, потоков энергий и зависимость глубины проникновения электромагнитного поля от частоты.	поля	1
7	поля	На компонентном уровне модель теста представляет собой агрегат компонентов-вопросов, каждый из которых, в свою очередь, представляет собой агрегат визуальных компонентов: пассивных ПК, для которых определена только интерфейсная операция визуализации B, и активных АК, выполняющих также первичный контроль K элемента ответа (например, синтаксическую правильность заполнения числового поля).	поля	1
8	поля	Продемонстрирована периодичность изменения полидисперсности частиц наноалмазов в водной среде при наложении поля ультразвука и найдены условия, позволяющие поддерживать оптимальную дисперсность в течение длительного времени.	поля	1
9	поля	В 1976-1985 гг. Ю. А. Соколов с сотрудниками и студентами УГГГА провел детальное минералого-петрографическое исследование центральной части рудного поля, в результате которого были обнаружены и тщательно изучены ссайбелиит (Соколов, Лузин, 1981), пектолит и ряд минералов из группы цеолитов.	поля	1
10	поля	Мы даже подумали, что она вообще оказалась вне поля зрения комитета.	поля	1
11	поля	Построить строгую теорию единого поля не удается.	поля	1
12	поля	Найдите напряженность электрического поля в точке, расположенной на расстоянии 5 см от каждого из зарядов.	поля	1
13	поля	"В экспериментальном исследовании механизмов целостного восприятия установлена взаимозависимость творческих способностей индивида и его тенденции к ""гештальтированию "" воспринимаемого поля."	поля	1
14	поля	Эффект усиливается за счет яркости поля: по умолчанию она такова, что освещение мощностью в 200 Вт не оставляет заметных следов на двухметровом экране.	поля	1
15	поля	"В политике качество, структура ""игрового поля "" не просто намного больше влияет на конечный результат – оно влияет на него активно."	поля	1
