Index	Homograph	Context	TargetWord	Label
1	слова	Они тоже люди, некоторые, не побоюсь этого слова, рыцари своей державы.	слова	1
2	слова	"Название ""жиро "" происходит от греческого слова ""guros "" -- круг, кругооборот."	слова	1
3	слова	Они напряженно глядели туда, где стоял сантехник-телепузик, так, словно старались не пропустить ни одного слова.	слова	1
4	слова	Попытаемся не только ответить на эти вопросы, но и выразить свое понимание широко применяемого, хотя и далеко не всегда к месту, слова «информация».	слова	1
5	слова	В лучшем смысле слова -- элита общества.	слова	1
6	слова	На наших глазах происходит коллапс мира печатного слова.	слова	1
7	слова	Значение слова неизвестно.	слова	1
8	слова	Вот смеху-то будет, если за всей игрой стоит Рома, и прокурорские в который раз за него потеют, а думают, что за Родину (в хорошем смысле этого слова).	слова	1
9	слова	Скорее всего для самой известной японки на свете у них не найдется ни единого теплого слова: так велика сила убеждения, только окрепшего со временем, что именно эта женщина стала причиной развала лучшей группы всех времен и народов.	слова	1
10	слова	"Часть проектов направлены на совершенствование внутринаучной психологической культуры, на приращение специальных знаний, на приложение знаний, методов, разработок не к практике в обычном значении слова, а к науке (смежным ее областям, специализациям, т. е. к ""научной практике "")."	слова	1
11	слова	А по небу прокатите нас, облака, -- аккуратно так, почти про себя, спел Волк, но не успел вымолвить последнего слова, как камень, на котором он сидел, вдруг выдернулся из земли -- и поплыл ввысь.	слова	1
12	слова	"Началось с названия POP: оно создавалось как подражание звуку вылетающей пробки, и в то же время это начало слова "" популярность ""."	слова	1
13	слова	Комиссия признала их сырыми, кроме того, не сказала своего слова экологическая экспертиза.	слова	1
14	слова	Ни слова об ответственности и обязанностях.	слова	1
15	слова	Основное отличие амфиболии от рассмотренных приемов двойного истолкования состоит в том, что строятся аналогии между двумя значениями одного и того же слова.	слова	1
16	слова	"Отсюда напрашивается вывод: Интернет, отменив цензуру государственную и ""рыночную "", сам стал своеобразной формой глушения свободного слова."	слова	1
17	слова	Про соответствие федеральным законам там не говорится ни слова.	слова	1
18	слова	В это время происходят серьезные изменения в его фонетике (палатализация согласных, устранение некоторых дифтонгов, изменения в сочетаниях согласных, отпадения согласных в конце слова), эволюционирует грамматический строй.	слова	1
19	слова	Данный стандарт должен определить формат представления данных, независимый от архитектуры, операционной системы или разрядности машинного слова.	слова	1
20	слова	Знаете, когда мы недавно поехали отдыхать, то перед путешествием дали себе твердое слово: во время поездки ни слова о работе -- ни о музыке, ни о медицине.	слова	1
21	слова	Первый номер газеты, который вышел в далеком 1923-м, в подлинном смысле слова был светом для народа, в массе своей неграмотного.	слова	1
22	слова	Процесс над ореховской братвой формально длится, считай, уже полтора года с 6 февраля 2002-го, а киллеры за все это время и слова в суде не промолвили.	слова	1
23	слова	Говорят еще, что Пчельников может в любого зверя оборотиться, что ночью не хуже кошки видит или может невидимым для каждого, кто волшебного слова не знает, стать.	слова	1
