Index	Homograph	Context	TargetWord	Label
1	атлас	"А тем, кто еще не выбрал место отдыха, стоит заглянуть в ""Туристический атлас мира Кирилла и Мефодия "" – история, кухня, достопримечательности, климат, местные обычаи и масса полезных советов."	атлас	1
2	атлас	Она была в мягком кожаном переплете, загибавшемся по краям, чтобы карманом не повредить страниц: текст ее был напечатан петитом и нонпарелью на тончайшей бумаге, и, кроме собственно книг Ветхого и Нового завета с тематическими перессылками на полях, в тот же томик входил и сборник «В помощь изучению Библии»: археологические иллюстрации, образцы рукописей на древнееврейском, греческом, латинском и староанглийском языках, минералогия, зоология, ботаника, монеты, пророчества, чудеса в Библии, краткое изложение библейских книг, исторические очерки событий, упоминаемых в Библии, два конкорданса, симфония четырех евангелий, имена и эпитеты Бога, предметный и именной индекс и атлас.	атлас	1
3	атлас	Да, еще одна вещь была в комнате – на стуле, около кровати, лежал раскрытый атлас птиц и на нем карандаш – дядя, очевидно, листал его перед сном.	атлас	1
4	атлас	Наконец зевнул, отложил в сторону атлас и решил ложиться.	атлас	1
5	атлас	Электронный атлас для школьника	атлас	1
6	атлас	С этой целью ею был создан сайт «Исторический атлас христианства в России».	атлас	1
7	атлас	Перед лицом Крылова, на запудренном пылью Печеном асфальте, валялся атлас города, превратившийся в грязную тряпку.	атлас	1
8	атлас	С печалью он видел, как истрепался этот атлас у него в кармане, как плохо держатся на корешке тряпичные странички.	атлас	1
9	атлас	В столе или в пиджачном кармане обычно болтался атлас города с заранее проставленными точками.	атлас	1
10	атлас	А потом помимо статьи о причинах появления этих ледяных сталактитов издали ещё и «Атлас сосулек».	Атлас	1
11	атлас	Полистал атлас и установил, что на моем поле взошли Taraxacum и Sonchus, о которых в атласе говорилось, что это злостны сорняки.	атлас	1
12	атлас	Например, «Атлас новых профессий», составленный специалистами Московской школы управления «Сколково» и Агентства стратегических инициатив, прогнозирует и представляет следующие новые профессии:	Атлас	1
13	атлас	Подробный атлас европейских автодорог стоит купить заранее.	атлас	1
14	атлас	Детальный атлас Парижа в виде книжечки, где каждому округу отведена отдельная страница, издается с незапамятных времен, называется «Paris par arrondissement» и продается в книжных магазинах и газетных киосках за €14.	атлас	1
15	атлас	У отца был толстенный атлас, так и назывался: «Деревья Европы».	атлас	1
16	атлас	Мигом задрал китель, сунул книжечку за пояс, для отвода глаз взял толстенный картографический атлас и просидел с ним в читальном зале минут десять.	атлас	1
17	атлас	В Буэнос-Айресе купил географический атлас.	атлас	1
18	атлас	И тогда Никита Ильич задумал сделать этнолингвистический атлас Полесья, попробовать применить лингвистические методы к материалу традиционной культуры – обычаям, обрядам, верованиям, фольклору.	атлас	1
19	атлас	Подробный атлас европейских автодорог стоит купить заранее.	атлас	1
20	атлас	На шлюпах «Восток» и «Мирный» они обогнули ледяной континент и составили его первый атлас.	атлас	1
21	атлас	А Роза у нас была настолько беспородистой, что ни один атлас не нашел бы в ней и малейшего сходства с собачьими дамами благородных кровей.	атлас	1
22	атлас	Атлас стереотипов и предрассудков.	Атлас	1
23	атлас	Без сохранения изученных штаммов систематика этих микроорганизмов была бы подобна попытке составить атлас звездного неба по разобщенным наблюдениям мерцаний отдельных далеких светил.	атлас	1
24	атлас	Она достала атлас дорог:	атлас	1
25	атлас	И то сказать: кому из коренных устюжан вдруг надобен атлас Саратовской области?	атлас	1
26	атлас	Эти результаты вошли составной частью в «Международный геолого-геофизический атлас Тихого океана».	атлас	1
27	атлас	Первый атлас Сибири	атлас	1
28	атлас	Хотя рукописный атлас изначально предназначался для поднесения царю Петру I, по каким-то обстоятельствам вручен не был и хранился в семье Ремезовых в Тобольске.	атлас	1
29	атлас	В 1958 г. коллекционер издал и сам атлас в черно-белом варианте.	атлас	1
30	атлас	Атлас содержит сведения не только о речной системе, населенных пунктах и дорожной сети, но и о господствующих ландшафтах, этнографии, истории, хозяйственной деятельности.	Атлас	1
31	атлас	Характерно, что «Атлас Российской империи» (1745 г.), изданием которого был подведен итог работе петровских геодезистов, содержал грубые ошибки.	Атлас	1
32	атлас	В результате эти экзерсисы могут составить своеобразный анатомический атлас пластики женских ню.	атлас	1
33	атлас	Она внимательно изучала анатомический атлас человека, а потом ходила за нами по пятам, пребольно тыкала под ребра и говорила – вот тут у вас находится печень, ясно?	атлас	1
34	атлас	Можете посмотреть «Сия карта разграничения земель вечного мира между Российским и Швецким государствы от рождества христова 1723 года» из атласа Кириллова «Атлас Всероссийской империи....	Атлас	1
35	атлас	Это и планировавшаяся им вторая книга рассказов (настоящее издание), это и атлас геолого-геофизических материалов по кимберлитовым трубкам Якутии, это и сохранение дополнительных коллекций кимберлитов, которые находятся в запасниках и на складе.	атлас	1
36	атлас	А в 1745 г. Петербургская АН издала атлас, где впервые были правдоподобно отображены очертания Кольского полуострова, схематично показано местоположение его крупнейших рек, озер, поморских селений и т. д.	атлас	1
37	атлас	В его «активе» – сведения о приливах и морских течениях, точные координаты ряда пунктов, вошедшие в атлас Белого моря и Лапландского берега (1831 г.), затем в двухтомное «Гидрографическое описание северного берега России» (1843 и 1850 гг.).	атлас	1
38	атлас	Когда-то я купила там атлас гистологии Елисеева, за семь рублей сорок копеек.	атлас	1
39	атлас	И атлас по истории медицины – жёлтенький, с изображениями древнеиндийских хирургических инструментов.	атлас	1
40	атлас	Гийом Делиль, издавший всемирный атлас, проводил восточную границу Европы по Оби, а его современник естествоиспытатель, известный путешественник Иоганн Георг Гмелин (член Петербургской АН с 1727 г.) обосновывал ее по Енисею.	атлас	1
41	атлас	Оставалось найти на карте (атлас был, правда, 1927 года и на немецком языке) остров Колгуев в Баренцевом море.	атлас	1
42	атлас	Российский атлас, состоящий из 19 карт, был выполнен на высоком картографическом уровне того времени, и, неслучайно, одним из его составителей Л. Эйлером был признан «уступающим по качеству лишь картам Франции».	атлас	1
43	атлас	Уже в XVIII веке на атлас был большой спрос, и при непосредственном участии Ломоносова в 1761 году было выпущено дополнительное издание, несмотря на то что ученый занимался в это время подготовкой нового атласа страны.	атлас	1
44	атлас	Ему уже пришлось познать, как книги становятся историей: он с растерянностью брался за свой атлас мира.	атлас	1
45	атлас	Иногда даже Тимофей открывал атлас и подолгу разглядывал незнакомые страны, стараясь применить свою находку к их пространствам.	атлас	1
46	атлас	Тем временем орнитологический атлас и монография Освальда Эванса «Ключевые орнитологические территории Среднего и Ближнего Востока» лежали у меня в рюкзаке без дела.	атлас	1
47	атлас	Заметив направление моего взгляда, дядя захлопнул иллюстрированный “Атлас современного стрелкового оружия” и продемонстрировал мне свои практические знания и навыки.	Атлас	1
48	атлас	Учёные объединённой Европы создали генетический атлас, который ответит на этот и многие другие вопросы нового этапа геномных исследований.	атлас	1
49	атлас	Атлас генома рака поможет нанести новую территорию на карту местности болезней человека.	Атлас	1
50	атлас	Не помешают атлас по бабочкам, справочник...	атлас	1
51	атлас	А Леня, не заглядывая в атлас, подробно описывает этот путь.	атлас	1
52	атлас	А перед тобой на цинковом столе разложены кости черепа, и подруга читает атлас, с умным видом тыкая ручкой наугад.	атлас	1
53	атлас	Атлас для детей приводит искаженную картину мира	Атлас	1
54	атлас	У Андрея долго не получалось так красиво и так надежно, и думалось, так никогда не получится, приходил домой и смотрел, смотрел атлас венозной системы, но так не получалось.	атлас	1
55	атлас	Мы листаем поэзию как атлас, намечаем маршрут, прикидываем, куда можно будет поехать отдохнуть в следующий раз.	атлас	1
56	атлас	Убожество своих обстоятельств я преодолевал, по-детски легко переходя на иной уровень реальности: снимал с полки атлас, заложенный на карте Канады – чем-то она полюбилась мне больше других, – и поезд мой катился уже не от батареи к дивану и обратно, а из Ванкувера в Галифакс с остановками по всем обозначенным пунктам для смены локомотивов и переформирования состава: в Калгари ждали цистерну «Шелл» и контейнеры, из Виннипега в Оттаву отправляли фирменные двухосники «Мартини» и «Чинзано».	атлас	1
57	атлас	Атлас Венеры был издан Главным управлением геодезии и картографии при Совете Министров СССР, которое издавало в том числе и карты для автомобильного туризма, которыми я с успехом пользовался.	Атлас	1
58	атлас	Изучая атлас Венеры, я обнаружил кратер знаменитой русской женщины – скульптора Голубкиной – родной тетушки моей жены.	атлас	1
59	атлас	Во-первых, потому, что Краснов привез Фиделю подарки – собственноручно написанную песню о Че, а также атлас Кубы 1967 года, изданный тогда всего в 15 экземплярах.	атлас	1
60	атлас	Так, показав на отдельных картах все известные диалектные явления, вы составите диалектологический атлас вашей области.	атлас	1
61	атлас	Сарычев опубликовал впоследствии подробный и интересный отчет об этой важной экспедиции, приложив к нему большой атлас карт и рисунков.	атлас	1
62	атлас	Я покосился на письменный стол и вдруг увидел раскрытый на первом листе атлас чертежей мотора «Д-24».	атлас	1
63	атлас	И насколько помню себя, помню «Зоологию» Поля Бэра и прекрасный зоологический атлас для детей, который я рассматривал каждый день до семилетнего возраста; показывать зверей – тоже не возбранялось; возбранялась – нумерация:	атлас	1
64	атлас	Совпадение – до смехоты; только: вместо Зоологического сада я уходил в свой зоологический атлас.	атлас	1
65	атлас	На полу был разложен анатомический атлас, взятый из учительской.	атлас	1
66	атлас	От папашеньки был самый лучший подарочек, – «скачки», с тяжелыми лошадками, и цветочный атлас, с раскрашенными цветочками, – сам придумал.	атлас	1
67	атлас	Ходил в отдел архитектуры, где М.И. Александровский показал мне замечательный атлас Московской губернии, ее уездов, рисованный в 1800 г. от руки с акварельными видами Кремля и некоторых уездных городов Московской губернии; меня очень заинтересовал вид Борисова, Можайского уезда, с несуществующею теперь церковью, типа церкви Вознесения в селе Коломенском, и крепости; все это было сломано по распоряжению Павла.	атлас	1
68	атлас	Был он глубоко бездарен, единственным его известным трудом являлась работа справочного характера – учебный атлас по русской истории.	атлас	1
69	атлас	Мацнев в библиотеке достал большой атлас, и офицеры разглядывали в нем карту Японии, Кореи и Квантунского полуострова.	атлас	1
70	атлас	Оставшись одна, Зоя достала небольшой ученический атлас, развернула карту Российской империи и, сморщив белый лоб и нахмурив брови, углубилась в воспоминания институтской географии.	атлас	1
71	атлас	Атлас рисунков с этих препаратов долгое время составлял драгоценное приобретение каждого медицинского учреждения, имевшего собственную библиотеку.	Атлас	1
72	атлас	Отыскала наш чудесный старый атлас цветов, растений, птиц, животных, растений, камней, гадов, насекомых.	атлас	1
73	атлас	Письма, вот этот атлас, рисунки, записные книжки.	атлас	1
74	атлас	После долгого разговора выяснилось, что в основу работы можно положить атлас Замысловского.	атлас	1
75	атлас	Он нес под мышкой большущий альбом или атлас.	атлас	1
76	атлас	Интереснее прочего серия альбомов XVIII в. с раскрашенными гравюрами птиц, каталог аукциона знаменитой коллекции раковин Франсуа Буше, печатанный красками небольшого формата анатомический атлас начала XIX в.	атлас	1
77	атлас	Он достал зоологический атлас и стал его перелистывать.	атлас	1
78	атлас	Володя поспешно закрыл атлас и крикнул:	атлас	1
79	атлас	Этот первый большой атлас России был, несомненно, изданием, выдающимся для своего времени, построенный на основе 62 астрономически определенных пунктов, он соединял с возможной точностью и внешнее изящество; каждая карта была украшена, по тогдашней моде, по углам виньетками, отчасти мифологического содержания, отчасти соответствующими по содержанию особенностям и быту населения изображенных областей.	атлас	1
80	атлас	Тем не менее, изданный атлас заключал в себе, как оказалось, и недостатки.	атлас	1
81	атласа	Определите с помощью карт атласа и дополнительных источников информации:	атласа	1
82	атласа	Тогда и были куплены два одинаковых атласа города, с тем же Оперным театром на обложке, освещенным в четыре яруса мелкими белыми огнями, с последними сведениями касательно городского транспорта и с напоминающей сложную органическую молекулу схемой метро.	атласа	1
