Index	Homograph	Context	TargetWord	Label
1	хлопок	Ткани можно использовать разные, но в основе всегда лежит хлопок, он держит, создает некое защитное поле.	хлопок	1
2	хлопок	Небольшие концентрации препарата в рабочем растворе (80-150 г/ л) при относительно невысокой стоимости (1, 0-2, 2 тыс. $/ т) обеспечивают экономичность огнезащитной отделки тканей для спецодежды (хлопок, лен, смеси с полиэфиром), текстильных декоративных материалов (полиэфир, лен и др.), нетканых материалов, а также строительных отделочных материалов (древесина, обои, линолеум, кровельные материалы).	хлопок	1
3	хлопок	Зерно сыпалось в закрома страны, узбеки собирали хлопок, и он тоже сыпался, как вата.	хлопок	1
4	хлопок	В этом сезоне на волне моды от Max Mara популярны естественный хлопок и его сочетания с шифоном, кожей и трикотажем.	хлопок	1
5	хлопок	Художники используют как традиционные (лен, хлопок, шерсть, шелк), так и необычные материалы, такие, как рыбья кожа, распущенное волокно кактуса агавы, конский волос, плексиглас.	хлопок	1
6	хлопок	Самое время собирать хлопок.	хлопок	1
7	хлопок	Южные республики можно не принимать в расчет, там хлопок и цитрусовые заняли все поля.	хлопок	1
8	хлопок	"Весь этот внезапно остывший угол можно было бы весьма удобно сравнить поэту с разоренным гнездом ""домовитой "" ласточки: все разбито и истерзано бурею, убиты птенчики с матерью, и развеяна кругом их теплая постелька из пуха, перышек, хлопок..."	хлопок	1
9	хлопок	Падчерица прядет, ветер уносит хлопок, она приходит за ним в пещеру старухи.	хлопок	1
10	хлопок	Бамбук, лён, хлопок...	хлопок	1
11	хлопок	Как тощий пересохший хлопок, навстречу шли искривлённые фонари с кусками ваты вместо света.	хлопок	1
12	хлопок	Жизнь матерей становится проще, но всё равно представляет собой бесконечную стирку, потому что хлопок, конечно, впитывает влагу, но далеко не всю.	хлопок	1
13	хлопок	Экономические кризисы приводят к росту цен на хлопок.	хлопок	1
14	хлопок	Во время войны хлопок становится ещё дороже: он используется для медицинских нужд,	хлопок	1
15	хлопок	Та рвет вещи, истрепывает хлопок, шелк.	хлопок	1
16	хлопок	Еще одна важная составляющая продукта для детей – это качество используемых материалов, в основном натуральных: хлопок, шелк, вискоза.	хлопок	1
17	хлопок	Есть комплекты бязевые, есть хлопок.	хлопок	1
