Index	Homograph	Context	TargetWord	Label
1	берег	Да угодил прямо к сосновому бору на песчаный берег речки Мологи.	берег	бе+рег
2	берег	Под каким углом β к поверхности пруда должен расположить плоское зеркало мальчик, находящийся на южном берегу пруда, чтобы изменить направление лучей на горизонтальное к своему товарищу на северный берег пруда?	берег	бе+рег
3	берег	Увитый с ног до головы толстыми коричневыми водорослями, вышел на берег, который-увы! -не обрадовал взор.	берег	бе+рег
4	берег	Поэтому в дождь водомерки со всех ног бегут на берег, пережидая здесь, когда в их исконном царстве – их биотопе – вновь воцарится тишь да гладь.	берег	бе+рег
5	берег	Когда видишь берег, до которого стремишься доплыть, нельзя понять сразу, – доплывешь ли.	берег	бе+рег
6	берег	Море изрядно побило ее о камни, в кровь расцарапало спину и выбросило на берег.	берег	бе+рег
7	берег	По скрипучему трапу на берег сошли восемнадцать моряков.	берег	бе+рег
8	берег	А Франклин протянет ей руку и вытащит на берег.	берег	бе+рег
9	берег	Лазурный берег – это сотня миров, живущих вместе, независимых, различных, но не мешающих друг другу.	берег	бе+рег
10	берег	Было заметно в сумраке, как Костя зябко передернул плечами, но пошел, – сначала берегом, потом влез в хвойную чащу, так как берег тут кончился.	берег	бе+рег
11	берег	"Миллионы лет волны омывали скалы на севере Бретани, вылизав их до белизны, а первые лучи солнца окрашивают их в нежно-розовый цвет (отчего это место получило название ""Берег розового гранита "")."	Берег	бе+рег
12	берег	Смерть Людвига была столь же странной и загадочной, как и жизнь: однажды он отправился с личным врачом на берег озера – и вскоре тела обоих были найдены на пустынном берегу.	берег	бе+рег
13	берег	На берег ручья вышел лось.	берег	бе+рег
14	берег	Сегодня новые приливы интеллектуальной моды выносят на российский берег другие имена – американца Р. Рорти, словенца С. Жижека, немца П. Слотердайка, итальянца	берег	бе+рег
15	берег	На берег гулкий.	берег	бе+рег
16	берег	Как известно, раз в тысячелетие рождается Прекрасная Елена, и в ту ночь, когда она должна была выйти из морской пены на берег...	берег	бе+рег
17	берег	"Добрую славу также завоевали пансионаты ""Черноморец "", ""Лазурный берег "", ""Сосновая роща ""."	берег	бе+рег
18	берег	Командующий армией, прижатой к кромке берега Волги, убирал все лишнее с клочка избитой, кровью пропитанной земли и, принимая переплавившиеся под огнем пополнения, на обратном транспорте отправлял на другой берег подразделения с бумагами, сейфами, типографиями, газетками и боевыми листками, важных персон из финансовых и секретных отделов, все время кого-то выслеживающих и стреляющих.	берег	бе+рег
19	берег	Однажды у Колюни сорвался некрупный карп – сорвался по неопытности удильщика: задохнувшийся от восторга мальчик уже подвел его к ногам, но вместо того, чтобы отступить на берег и осторожно выводить карпа по воде, дрожа от нетерпения, Колюня принялся вытаскивать его прямо там, где стоял.	берег	бе+рег
20	берег	В четвертой или пятой более или менее приветливая провизорша посоветовала съездить на другой берег, в Белые Курочки.	берег	бе+рег
21	берег	Напротив, сложное слово Ярослав (имя) построено в полном соответствии с принципами древнерусского словообразования (но яр-здесь не от яр ' крутой берег, круча, обрыв ', а от прилагательного ярый).	берег	бе+рег
22	берег	Где-то вдали мерещился другой берег, но это могло быть и оптическим обманом, так зыбко и неверно темнела зубчатая полоса, напоминающая не то прильнувшие к земле тяжелые облака, не то далекие горы, не то более близкие леса...	берег	бе+рег
23	берег	Витя все метал и метал на берег рыбину за рыбиной, взбудораженно ругался на нас и категорически отказался выпить.	берег	бе+рег
24	берег	И пока хищницы расправляются с жертвой, в стороне от этого места все стадо благополучно переправляется на другой берег Дикие звери оказались не менее сообразительными, чем люди.	берег	бе+рег
25	берег	"Рыболовы облепили берег, уставясь на неподвижные поплавки, потом накатила волна от пароходика, и в полусонной тиши Людмила Мишина продолжала клеймить неисправимого бабника Сергея Гастева, который улыбался, дивясь неустранимой подлости идущей рядом молодой и привлекательной женщины, драконившей за распутство того, кто девственником проучился все семестры, уйдя в армию добровольцем, а не занимался ""развратом "", за что ему делался втык, а однажды, бессовестно и храбро солгала Мишина, Гастеву даже влепили выговорешник!.."	берег	бе+рег
26	берег	Они вытащат на берег все, что удалось найти водолазам, и река вздохнет свободнее.	берег	бе+рег
27	берег	Собирают выброшенную прибоем на берег ламинарию с июля по октябрь или добывают в море, наматывая слоевища на специальные шесты.	берег	бе+рег
