Index	Homograph	Context	TargetWord	Label
1	вести	"А вот вторые по размеру суммы достались далеко не самым тиражным газетам, зато имеющим в учредителях правительство области: по 500 тысяч рублей получат ""Саратовские вести "" и ""Саратов – СП ""."	вести	ве+сти
2	вести	"Даешь ""вести с полей """	вести	ве+сти
3	вести	"Так вот, телеканал ""Хороших новостей "" будет передавать ""Вести с полей "" и сообщения о прочих трудовых подвигах."	Вести	ве+сти
4	вести	Провокаторы Георгий Гапон и Роман Малиновский дождались литературной вести о себе, хотя и после смерти, в романе своего современника Максима Горького «Жизнь Клима Самгина», в его «Несвоевременных мыслях» и рассказе «Карамора», которым восторгался Николай Бухарин.	вести	ве+сти
5	вести	Вчера же была отложена презентация новой официальной газеты Чечни «Вести республики».	Вести	ве+сти
6	вести	Однако проходила долгая московская зима, наступала весна, а из такой невыносимо далекой страны, что не только день и ночь, но даже времена года в ней были противоположны московским сезонам, доносились вести про новые расстрелы и аресты, тайную полицию DINA, убийство в Америке политэмигранта Орландо Летельера, про пытки английской медсестры Шейлы Кессиди, отозвавшиеся кровожадному диктатору много лет спустя позором на родине несчастной женщины, про подпольные съезды левых партий и споры о тактике борьбы с тиранией.	вести	ве+сти
7	вести	"Худые вести о рязанском уроде шли со всех концов страны и достигли редакций многих газет; одна из них, ""Комсомолка "", вспомнила о картофелеуборочном комбайне Ланкина, отвергнутом когда-то, но от этого не ставшем хуже."	вести	ве+сти
8	вести	Их куда больше беспокоили вести из Союза.	вести	ве+сти
9	вести	Задержанные войной, прорывались вести уже не свежие, но такие же невероятные: об аресте и гибели Н.	вести	ве+сти
10	вести	Однако минуло уже четыре дня, потом шесть, а Федор не присылал никакой вести, кроме первой телеграммы.	вести	ве+сти
11	вести	А с воли просачивались вести одна отрадней другой.	вести	ве+сти
12	вести	"Вернувшись, он принес вести о петроградских писателях, так называемых "" Серапионовых братьях "", о которых мы слышали, но мало их знали."	вести	ве+сти
13	вести	Тогда двое из них, забыв, не заметив, пройдя мимо страшной вести о грядущих страданиях Христа, подошли к Нему, помня только о Его победе, и стали Его просить, чтобы, когда Он воцарится, им было дано сесть по правую и по левую руку Его.	вести	ве+сти
14	вести	Добрые вести от Чуйкова?	вести	ве+сти
15	вести	Но все такие и подобные известия обычно не проходили мимо адъютантов – Москва не вызывала командующего, а вести от Чуйкова не были веселыми.	вести	ве+сти
16	вести	Он нетерпеливо скакал из Москвы в Тверь на перекладных, чтобы сообщить последние вести о баталиях и выслушать чтение высокопарных стихов и шум страстных споров.	вести	ве+сти
17	вести	Ты не ждешь этой вести.	вести	ве+сти
18	вести	Донская армия откатывалась, и депутаты северных округов, собиравшиеся на Круг, который должен был открыться 1 февраля, приносили тяжелые вести о том полном развале, который охватил Северный фронт.	вести	ве+сти
19	вести	В будни он серьезен и зол даже: будни – работа, но сегодня, когда даже турурок гнезда не вьет и курица нестись не смеет, – день благой вести, в ожидании которой мы умышленно праздны; и отчего же мне не дать ему воли вспоминать?	вести	ве+сти
20	вести	Значит, нет благой вести?	вести	ве+сти
21	вести	Народ с радостью выслушал благие вести и с громкими криками восторга кинулся во дворец приветствовать своего короля.	вести	ве+сти
22	вести	Минул год... целый год: никакой вести о Пантелее Еремеиче не доходило.	вести	ве+сти
23	вести	Письмо получите из дальней дороги, вести, вот видите ли, дорога?.. постойте... вот тут как будто болезнь, но небольшая, так, простуда какая-нибудь легонькая... но вообще все очень, очень хорошо; интерес, большой интерес от трефового короля получите...	вести	ве+сти
24	вести	Впрочем, до нашего брата вести поздно доходят.	вести	ве+сти
25	вести	Я бродил из залы в залу, слушал вести и ни одной не верил.	вести	ве+сти
26	вести	"Что ж касается до генерала, который только что взъехал тогда на двор, возвратившись из обыкновенных своих всякий день путешествиев, и расположившись в сей день обедать дома, хотел было только скидывать с себя кавалерию и раздеваться; то он побледнев и помертвев от сей неожидаемой вести, только что кричал: ""Карету!"	вести	ве+сти
27	вести	Дядюшка ее, господин Стародум, поехал в Сибирь; а как несколько уже лет не было о нем ни слуху, ни вести, то мы и считаем его покойником.	вести	ве+сти
28	вести	А потом с воли стали приходить плохие вести.	вести	ве+сти
29	вести	Таким образом, принятие и отвержение «слов благой вести», «слов благодати” равным образом входят в Божий план спасения.	вести	ве+сти
30	вести	Их присутствие на страницах Евангелия и книги Деяний обусловлено отвержением иудеями Евангельской вести.	вести	ве+сти
31	вести	Это «Вести недели» (руки доброжелательно распахнуты зрителям навстречу).	Вести	ве+сти
32	вести	26 октября 2016 г. (через день после обнародования официальной информации о возбуждении уголовного дела) в вечернем выпуске программы «Вести Оренбуржья» сообщалось, что губернатор подписал указ о временном отстранении от должности министра физической культуры, спорта и туризма области О. Пивунова.	Вести	ве+сти
33	вести	А 30 октября 2016 г. в итоговой информационно-аналитической программе «Вести Оренбуржья.	Вести	ве+сти
34	вести	Здесь скоренько необходимо внедрить в эту без руля и ветрил повадившуюся вести и – посмотрите-ка на нее, прямо вся из себя! – быть выспренней помимо себя текстуальность, – непромедлительно вживить сюда неумолимую во всех отношеньях поправку: вместо записных этих скоропалительно и весомо весьма титулованных призраков, которые есть в данном месте не более чем чистая, невесть что возомнившая о себе самонадеянно фикция, смело, прямо, с откровенностью, в бытовом применении практически уже невозможной, в нуль безмозглый извядшей, читайте: признак!	вести	ве+сти
35	вести	На самом деле, он был бы рад этой вести, и, кажется, отец это почувствовал.	вести	ве+сти
36	вести	Действительно, если рассматривать «Декларацию прав» как своего рода этический постулат, то никаких новых моральных горизонтов, по сравнению хотя бы с Евангелием, она нам не открывает, однако, благая весть о свободе и достоинстве человека, подтвержденная жизнью, смертью и воскресением Богочеловека существенно отличается от той же вести, декларированной Мирабо и Робеспьером в соседстве гильотины.	вести	ве+сти
37	вести	К этому Вознесенский добавит однажды: «Судьба постоянно шлет нам вести, нужно только уметь их слышать».	вести	ве+сти
38	вести	Приоткрытая дверь в ванную глотала доносившиеся вести со всего земного шара.	вести	ве+сти
39	вести	Французы панически боялись Платова и его казаков, при одной вести об их появлении они спешили сняться с биваков и скрыться.	вести	ве+сти
40	вести	Полгода прошло, я получала высшее и уже не надеялась ни на какие вести из клуба.	вести	ве+сти
41	вести	Когда кончались вести с полей и начиналась международная информация и спорт, люди подсаживались к телевизору.	вести	ве+сти
42	вести	Но получив панические вести, Что приносил разведчиков отряд, Они топтались попусту на месте, И норовили повернуть назад.	вести	ве+сти
43	вести	Не иначе так; отчего же еще нужно нести эти вести некромантиссе?	вести	ве+сти
44	вести	Только мимолетные лебеди по осени приносят от нее вести и уносят весной ответы подруги.	вести	ве+сти
45	вести	В начале весны голуби доставляют вести от Кодора и от Анжевины.	вести	ве+сти
46	вести	Никто понятия не имел, никто не видел, никто не получал никакой вести.	вести	ве+сти
47	вести	Этот мир сквозной и прозрачный для снов, писем и Вести.	Вести	ве+сти
48	вести	Но одной вести мало, надо еще что-то сделать, чтобы она реализовалась.	вести	ве+сти
49	вести	В Лондоне вести, принесенные Чанселлором, были встречены с воодушевлением, и «Общество купцов-предпринимателей» («Московская компания») стало первым в Англии, да и в Европе, начавшим торговлю с нашим государством, ранее практически пребывавшим в изоляции.	вести	ве+сти
50	вести	Свои оценки такой критик «выдает совершенно в отрыве от народности, подлинности и правдивости литературы», утверждая в качестве «новой «благой вести» «гаденькие тексты Вл. Сорокина и Э. Лимонова».	вести	ве+сти
51	вести	Люди понимали, что собака, вернувшаяся из тайги без хозяина, никогда не принесет доброй вести.	вести	ве+сти
