Index	Homograph	Context	TargetWord	Label
1	дорогой	Взяв (как начальную) точку О на ободе колеса, соприкасающуюся с дорогой, начертите примерную траекторию ее движения относительно дороги.	дорогой	доро+гой
2	дорогой	А бизнес-элита понимает, что это эпизод, и мы по-прежнему идем верной дорогой?	дорогой	доро+гой
3	дорогой	Поэтому при их эксплуатации надо учитывать, что полный привод можно включать только в условиях бездорожья, когда колеса имеют относительно малое сцепление с дорогой, а скорость движения невелика.	дорогой	доро+гой
4	дорогой	"Страшный сон телевизионного психоаналитика: по всем каналам Максим Галкин, который говорит разными голосами, а в качестве игроков и зрителей сидят клоны, мечтающие как один стать миллионерами и свалить из этой сказочной страны, где из всех возможных дорог ""умное "" и демократичное телевидение предлагает идти дорогой алчности."	дорогой	доро+гой
5	дорогой	Бричка нас катит дорогой крутой,	дорогой	доро+гой
6	дорогой	Как указано в записке, сейчас на территории, обслуживаемой Куйбышевской железной дорогой, стоит более 30 тыс. контейнеров, не являющихся собственностью КЖД, а принадлежащих другим коммерческим структурам.	дорогой	доро+гой
7	дорогой	Самой дорогой из выбранных нами оказалась Autotuch немецкой фирмы Vileda.	дорогой	доро+гой
8	дорогой	В те далекие тридцатые-сороковые годы не было шоссейной, ни тем более железной дороги, и поэтому до города приходилось добираться проселочной дорогой.	дорогой	доро+гой
9	дорогой	Вчера (в субботу) вечером возвращался домой с работы и несмотря на усталость прошелся даже длинной дорогой, так благостно было на улице.	дорогой	доро+гой
10	дорогой	Голубчик, ты идешь прямой дорогой на зону, что ты делаешь? – жалобно скулил начмед.	дорогой	доро+гой
11	дорогой	Однопутный участок Челябинск – Каменск-Уральский является одним из стыковых с соседней Свердловской дорогой.	дорогой	доро+гой
12	дорогой	Рядом с дорогой полно ровных площадок, есть родники и ручьи.	дорогой	доро+гой
13	дорогой	На пологих холмах, впахиваясь в берег и перемахивая через речку, открывались желтые поля хлебов, овса, загоны с картофелем и даже обширный загон ячменя для производства пива, дальше за оградой, выветренной до черноты, за дорогой, изъезженной до глинистой грязи, виднелись фермы, загоны для скота.	дорогой	доро+гой
14	дорогой	Потом Колюня вспоминал дорогу, жаркую, пыльную, они идут по ней с мамой, над дорогой плавится, течет воздух, и в его дымке дрожит далеко за кромкой поля лес.	дорогой	доро+гой
15	дорогой	Бронзовая и золотая листва кружилась над дорогой, вихрилась за пролетевшим грузовиком.	дорогой	доро+гой
16	дорогой	Музыканты играли как будто немного вразнобой, ударник стоял на месте, пианист то уходил вперед, то призадерживался, а саксофон шел своей отдельной дорогой, и они иногда как будто случайно встречались, переговариваясь в точке встречи, и возникал вопросно-ответный диалог, непонятно о чем, но о важном...	дорогой	доро+гой
17	дорогой	За-ради гостьи твоей дорогой прости...	дорогой	доро+гой
18	дорогой	Да, именно этой дорогой подвозили мазут, и цистерна с ним где-то рядом, скорее всего – нефтевоз.	дорогой	доро+гой
19	дорогой	Можно пойти обходной дорогой, где он давно не бывал и по которой когда-то бегал в университет.	дорогой	доро+гой
20	дорогой	Такой дикий образ жизни дает ей возможность регулярно пользоваться одним из самых замечательных видов сообщений – Октябрьской ордена Ленина железной дорогой.	дорогой	доро+гой
21	дорогой	Дорога к хутору была уже дорогой к новому, к завтрашнему, дню, когда он уйдет в Алешкин, в тамошнюю школу, к Галине Федоровне.	дорогой	доро+гой
22	дорогой	Поскольку все почти ученики после совместного труда двинулись провожать своих наставниц – а жили они в снятых для них хатах, – я тоже увязался за Соней и Тамарой и дорогой скупо поведал им о себе.	дорогой	доро+гой
23	дорогой	Перед дорогой надо было хорошо поесть.	дорогой	доро+гой
24	дорогой	"Он шел свободной дорогой и ""жил один ""."	дорогой	доро+гой
25	дорогой	Сначала они стали расти реже, между ними появились просветы, а потом вдруг открылось поле с пересекающей его дорогой.	дорогой	доро+гой
26	дорогой	Ты возвращаешься знакомой дорогой.	дорогой	доро+гой
27	дорогой	Так что и под гору я спустился лесной дорогой.	дорогой	доро+гой
28	дорогой	Иначе пойду неверной дорогой...	дорогой	доро+гой
29	дорогой	Пошутил и пошел своей дорогой.	дорогой	доро+гой
30	дорогой	Как только отец ушел в сад, Теймраз попросил у мачехи чистое белье, сказал, что хочет вымыться перед большой дорогой.	дорогой	доро+гой
31	дорогой	Ну куда же, – отмахнулся Зыбин. – Ведь опять его растрясет дорогой, пусть уж спит.	дорогой	доро+гой
32	дорогой	Шуткую, дорогой.	дорогой	доро+гой
33	дорогой	Хиппи шли дорогой контрабандистов, но в обратном направлении, к маковым полям, через Марокко и Ближний Восток в Пакистан, Индию, Бангладеш, Непал...	дорогой	доро+гой
34	дорогой	"""За проселочной дорогой, где затих тележный грохот, над прудом, покрытым ряской, Дидель сети разложил."	дорогой	доро+гой
35	дорогой	Давать отпор было некому, банды были уже ликвидированы, и мы шлепали с Олесей проселочной дорогой, по осенней грязи, босиком, перекинув через плечо сапоги, связанные за ушки; у Олеси их всего одна пара, и у меня, хотя я и сын сапожника, и внук сапожника, и сам сапожник, тоже одна пара, и мне случалось давать свои сапоги ребятам, у которых их вовсе не было.	дорогой	доро+гой
36	дорогой	И говорил дорогой:	дорогой	доро+гой
