Index	Homograph	Context	TargetWord	Label
1	знаком	В последнее время имя Ди Каприо в титрах стало для меня своеобразным знаком качества, несмотря на неприязнь к нему в 90-х из-за участия в совершенно дурацком «Ромео + Джульетта» и, как ни странно, слащавой роли в «Титанике».	знаком	зна+ком
2	знаком	"На ней жирным шрифтом значилось слово ""ПОСЛУШАЙТЕ "" с огромным восклицательным знаком на конце."	знаком	зна+ком
3	знаком	И все это с мелочным занудством, усиленным знаком Девы.	знаком	зна+ком
4	знаком	Сервер в этом случае выделяет правую T R и левую T L части тождества, разделенные знаком равенства, и выполняет заключительную проверку доказательства subs (T R-T L).	знаком	зна+ком
5	знаком	Эти задачи отмечены специальным знаком ☤.	знаком	зна+ком
6	знаком	"В протоколе об административном правонарушении написал, что ""водитель Ч. управляя выше указанной а/м, съезжая с Белорусского путепровода в сторону центра повернула направо на пл. Тверской заставы на которой повернув налево, выехала на сторону проезжей части дороги, предназначенной для встречного движения, запрещается ПДД знаком 3. 1 (въезд запрещен) "" (орфография оригинала)."	знаком	зна+ком
7	знаком	Пристальный взгляд у обезьян считается не знаком доверительности, а неприкрытой угрозой.	знаком	зна+ком
8	знаком	Весь послеолимпийский год для российского спорта прошел под знаком допинговых разбирательств.	знаком	зна+ком
9	знаком	А мой сын, который сейчас учится в первом классе, уже вовсю озадачен знаком внимания для своей пассии-однокласницы.	знаком	зна+ком
10	знаком	"Как нетрудно было догадаться, церемония прошла под знаком нового любимого фильма юношей и девушек в возрасте ""двадцать плюс-минус пять "" про Амели с Монмартра."	знаком	зна+ком
11	знаком	Не был знаком ни с кем выше помощника начальника станции.	знаком	зна+ком
12	знаком	Впрочем, ляпы в обороне на старте чемпионата стали фирменным знаком ведущих сборных.	знаком	зна+ком
13	знаком	Или под каким знаком Зодиака.	знаком	зна+ком
14	знаком	Ненависть – фатальное чувство, такое же, как любовь, но со знаком минус.	знаком	зна+ком
15	знаком	"Нынешний театральный уик-энд пройдет под знаком Гришковца – он снова в Москве и играет свои спектакли в театре ""Школа современной пьесы "": ""Одновременно "" в пятницу и ""Как я съел собаку "" в воскресенье."	знаком	зна+ком
