Index	Homograph	Context	TargetWord	Label
1	подать	Вообрази: несколько сот нищих, реестр — каков летами, какое качество, какова еженедельная подать...	подать	по+дать
2	подать	Каждый год ругяне-как мужи, так и жены-приносили в храм подать по пенязю; кумир был огромной величины, сделан из дерева, о четырех лицах наподобие фонаря, и со всех сторон образ его видеть было можно; не имел бороды и был с завитыми кудрями, по обыкновению славян ругянских, в длинной одежде даже до ног, держал в правой руке рог из металла.	подать	по+дать
3	подать	Но все реформы Петр I проводил очень жестоко, путем крайнего напряжения всех российских материальных и людских сил, усилил угнетение народа (ввел подушную подать и другие меры), что вызвало восстания (Стрелецкое 1698 г., Астраханское 1705—1706 гг., Булавинское 1707—1709 гг. и др.,) беспощадно подавленные его правительством.	подать	по+дать
4	подать	Подушная подать ложилась на плечи самых неимущих слоев населения — крестьянства, городских низов и так далее.	подать	по+дать
5	подать	Как ни странно, волнения не смутили Павла, 10 декабря 1796 года была отменена обременительная для крестьян хлебная подать, 16 декабря крестьянам и мещанам прощены недоимки в подушном сборе, а 10 февраля следующего года последовал указ о запрещении продавать крепостных без земли.	подать	по+дать
6	подать	Они платили подушную подать, но были свободны от помещика над собой, от барщины, от выплаты ссуд и процентов — от всего того, что породило закрепощение.	подать	по+дать
7	подать	Но положенную подать, «тягло» не платил и по этому поводу повздорил с соседями.	подать	по+дать
8	подать	Тогда царь позвал их начальника Иехояду и спросил его: «Почему ты не потребуешь от левитов, чтобы они собрали с Иудеи и Иерусалима подать на содержание Шатра Завета, которую установили Моисей, раб Господень, и все израильтяне?	подать	по+дать
9	подать	По Иудее и Иерусалиму было объявлено, что жители должны приносить Господу подать, которую Моисей, раб Божий, наложил на израильтян в пустыне.	подать	по+дать
10	подать	Третьи говорили: «Чтобы уплатить подать царю, мы занимаем деньги под залог своих полей и виноградников.	подать	по+дать
11	подать	Скажи, разрешается нам платить подать цезарю или нет?	подать	по+дать
12	подать	Скажи, позволительно платить подать цезарю или нет?	подать	по+дать
13	подать	Скажи нам, как по-Твоему: позволительно платить подать цезарю или нет?	подать	по+дать
14	подать	Покажите монету, которой платится подать.	подать	по+дать
15	подать	Он отменил удушающую крестьян хлебную подать — снова мертвая тишина.	подать	по+дать
16	подать	Наши спутники, эти высокие странствующие смерчи, корабельные часы, идущие по земле, и торжественные ливни чудесного состава, со- тканные из пыли и насекомых, преследовавших наши народы в песках, как подушная подать.	подать	по+дать
17	подать	У него читаем: «Начали обвинять его, говоря: мы нашли, что он развращает народ наш и запрещает давать подать кесарю, — то есть налоги платить, — называя себя Христом-царем».	подать	по+дать
18	подать	В 1725 году подушная подать была понижена на 5 процентов (4 копейки), на 1740 год — на 24 процента (17 копеек), на 1742—1743 годы — на 14 процентов (10 копеек).	подать	по+дать
19	подать	Крестьяне должны были выполнять ряд обязательств — в частности, платить подушную подать и отбывать рекрутскую повинность.	подать	по+дать
20	подать	Кто-то откровенно брал подать от обеспеченных родителей, торгуя оценками.	подать	по+дать
21	подать	Правда, Н.X. Бунге (министр финансов в 1881-1886 годах) уничтожил подушную подать, крайне несправедливый налог — его платили крестьяне, мещане и купцы, но от него освобождались дворяне, чиновничество и духовенство.	подать	по+дать
22	подать	Это было большое КБ, тоже рукой подать от Тихвинского, напротив помпезного Театра Советской армии; такое распределение считалось престижным.	подать	по+дать
23	подать	Одни полагают, что его истоки находятся в греческом названии числа 40 — «тессаконта», другие утверждают, что оно появилось, когда Русь платила дань «сороковинами» (ежегодная ордынская подать, равная сороковой части наличного имущества).	подать	по+дать
24	подать	Например, на Алтае есть отдельная подать на сбор папоротника-орляка.	подать	по+дать
25	подать	Многие авиаперевозчики (следуя примеру российских автовладельцев) воспринимают страхование как подать, которой надо всячески избегать, а уж если не избегать, то ограничиваться минимальным обязательным уровнем.	подать	по+дать
26	подать	Крестьяне должны были выполнять ряд обязательств, в частности, платить подушную подать и отбывать рекрутскую повинность.	подать	по+дать
27	подать	Как до либеральной налоговой революции, так и после нее подать казне платится известным образом.	подать	по+дать
28	подать	При таком уровне регрессии уместнее говорить не о подоходном, но скорее о подушном налоге, когда государство не заглядывает в карманы подданных, а всего лишь требует что от богача, что от бедняка некоторую фиксированную подать — не просто либерализм, но ультралиберализм, и странно, что это достижение еще не сделалось предметом рекламы.	подать	по+дать
29	подать	Если вы пойдете пешком, то вообще не заплатите ни монетки, разве что въездную подать...	подать	по+дать
30	подать	И действительно: междуусобные войны — от городских; барщина, оброк, порка, бесчестье для дочерей — это тоже от городских; и подушная подать, реквизиции, продразверстка, двадцатипятитысячники, колхозы, раскулачивание — опять же от городских.	подать	по+дать
31	подать	Крестьяне, успевшие обосноваться в посаде, должны были вернуться к своим помещикам, или, оставаясь в городе и платя обычную для горожан подать, платить оброк и нести повинности так же и этим помещикам.	подать	по+дать
32	подать	На всех своих подданных, не исключая самых бедных, он наложил подать».	подать	по+дать
33	подать	Прислали ему ябеду, что соликамцы нарыли новых ям, набили трубы, качают рассол, а соляную подать не платят.	подать	по+дать
34	подать	Спартанцы правили и воевали, периэки ковали оружие и платили подать, илоты пахали и собирали жатву.	подать	по+дать
35	подать	Впрочем, Дариева подать была не слишком велика.	подать	по+дать
36	подать	Народ удвоил подать с союзников.	подать	по+дать
37	подать	При нем была отменена подушная подать и сокращены выкупные платежи.	подать	по+дать
38	подать	Он командует полком, сформированным из соплеменников, держит под наблюдением дорогу Джелалабад — Торхам, собирает подать с проезжих, имеет звание полковника и рассчитывает на генеральский чин.	подать	по+дать
39	подать	Народ царю платит подать и отдает сынов для войска.	подать	по+дать
40	подать	Христос это сказал, когда Его спросили, надо ли платить подать кесарю.	подать	по+дать
41	подать	Вы помните, как Том обхитрил своих друзей: они выкрасили вместо него забор да еще уплатили подать.	подать	по+дать
42	подать	Аким строго и отстраненно вынул из целлофанового пакета документы, разложил их на столе: красный диплом отличника, красный же военный билет, паспорт в кожаной обложке прибалтийского производства, нарядный беленький билет члена Всесоюзного общества охраны природы, трудовую книжку, пачку квитанций на денежные переводы в Новосибирск — алиментная подать.	подать	по+дать
43	подать	Но у рабочего класса и тем более у крестьянства эта подать минимальна, особенно после упразднения ежегодных вымученных займов (душевредных и мучительных именно своей ложной добровольностью, деньги-то можно было отбирать в любой форме), осталось — редкое голосование на общем собрании, где не так уж тщательно проверяют отсутствующих.	подать	по+дать
44	подать	Черепки говорили по-арамейски: они оказались бухгалтерскими квитанциями, деловыми расписками; их когда-то выдавали чернобородые важные «марубары», счетоводы царских винниц, в обмен на сданную подать: «По расписке этой, из виноградника податного, который КШШИ называется, сосудов 6, да из местности ХПТК сосуд вина молодого 1, взнос на 140-й год доставлены».	подать	по+дать
45	подать	Не знаю, чем они жили, питаясь зиму, — ведь хлеба не хватило, да еще нужно было плотить государственную подать с трех наделов около 4-х рублей.	подать	по+дать
46	подать	Но и эту нетрудную подать справлять уже было некому, так как остров к этому времени и вовсе обезлюдел.	подать	по+дать
47	подать	Собирая имперскую подать, мытари обычно наживались за счет населения.	подать	по+дать
48	подать	Известны уложение царя Алексея Михайловича «О посадских людях», разрешающее иметь соляные варницы только тяглым (платившим государственную подать — тягло) людям, указ о наказании за разглашение о недостатке в казне соли, о поимке таких разглашателей и перекупщиков соли, указ о наградах открывателям соли, тайно провозимой с киргизских земель, указ об открытии с 1812 года вольной продажи соли.	подать	по+дать
49	подать	Старшие же, малодоступные для всенародного обозрения, нередко отличаются даже чрезмерным благообразием, квартируют в нарядных хоромах, откуда и взимают подать с православных: жирную еду, рекрутов для сражений, девок для баловства, кормилиц для питания не окрепших пока чертеняток.	подать	по+дать
50	подать	Иноземцы службу не несут, подать у них другая, теперь вот поди разберись.	подать	по+дать
51	подать	Старшие же — малодоступные для всенародного обозрения — нередко отличаются даже чрезмерным благообразием, квартируют в нарядных хоромах, откуда и взимают подать с православных: жирную еду, рекрутов для сражений, девок для баловства, кормилиц для питания не окрепших пока чертеняток.	подать	по+дать
52	подать	Каждый год эта подать ребенком взималась, и ребенок по предписанию живым бросался в пруд.	подать	по+дать
53	подать	А уйдет управитель землевладельца, приходят римские мытари требовать подать, не успел расплатиться с ними, сборщики от храма являются: давай десятую часть всего, что есть в закромах, в подвале, в стаде — только успевай поворачиваться!	подать	по+дать
54	подать	Несколько фарисеев, пытая его, спросили, нужно ли платить подать цезарю.	подать	по+дать
55	подать	Дела в приказе Большого дворца было много, и дела путаные: ведали царскую казну, кладовые, золотую и серебряную посуду, собирали таможенные и казацкие деньги и стрелецкую подать, ямские деньги и оброк с дворцовых сел и городов.	подать	по+дать
56	подать	Наложить бы еще какую подать на посады и слободы...	подать	по+дать
57	подать	И далее — Петр велел приготовить особую подать на постройку канала Волга — Дон и рыть тот канал не мешкая.	подать	по+дать
58	подать	Определен новый денежный налог: на каждого служащего в приказах наложена подать соразмерно должности, которую он исправляет...	подать	по+дать
59	подать	Все было в порядке: человек вольный, по собственному паспорту, из мещан московских, по рыбному делу, подать уплочена, все чисто.	подать	по+дать
60	подать	Словарь Дюканжа — scot, scottum означает деньги, подать, побор (англо-саксонское наречие).	подать	по+дать
61	подать	С виду, впрочем, был он не очень дряхлый, еще держался за привычное ремесло, наверно, кормился со старухою нищим доходом от своего меринка, выплачивал окладную подать наравне с прочими нэпманами и на стоянку по утрам выезжал с надеждой, что авось разгулявшаяся волна моря житейского не затронет его, помилует, любовно охлестнет сторонкой.	подать	по+дать
62	подать	Городовой схватил подать.	подать	по+дать
63	подать	Была подать, был урядник, ну кто платил — тому ничего, кто не платил, известно, хорошего мало.	подать	по+дать
64	подать	Как будто между нами смертная казнь — не общепринятое действие, не подать, постоянно уплачиваемая» (стр. 168—169).	подать	по+дать
65	подать	Чудово, превращенной в грязнейшую клоаку, и, чтобы получить право взять билет в Новгород, я должен был заплатить рублевую подать в местный совдеп.	подать	по+дать
66	подать	Русские ведомости», критикуя новые «декреты» о земле, приходят к заключению, что «таким образом, полное уничтожение частновладельческого хозяйства, обострение продовольственного кризиса, обезземеливание значительной части крестьянства, лишение заработка деревенских рабочих и огромная подушная подать в пользу комитетчиков — вот краткий перечень результатов большевицких декретов о земле, если бы кто-нибудь принял их всерьез».	подать	по+дать
67	подать	Напомним, что и для Радищева крестьянский вопрос сводился в первую очередь к личному освобождению, а затем к утверждению крестьянской собственности на землю, за которую они уплачивали подушную подать.	подать	по+дать
68	подать	Вы знаете, что кабинету бывшего государя принадлежала так называемая ясачная подать в Сибири, т.е. сбор натурою, мехами, с сибирских инородцев.	подать	по+дать
69	подать	Эта подать натурою сокращалась.	подать	по+дать
70	подать	Поэтому, кабинет перед созывом I Думы задумал капитализировать ясачную подать.	подать	по+дать
71	подать	Когда это попало в бюджетную комиссию, и от нас потребовали пропуска законопроекта, то мы спросили: собственно, почему ясачная подать, т.е. доходность государства, принадлежат кабинету, почему этот публично-правового характера налог вдруг сделался частной собственностью государя?	подать	по+дать
72	подать	А завершилось тем, что в Цору опять явились послы из Экрона и поставили странное требование: так как даниты, не имея своих ковачей, приносят железные заступы для починки в филистимские кузницы, то саран требует, чтобы ему за это все селения Дана платили ежегодную подать.	подать	по+дать
73	подать	Оттого и подать должна быть чем дальше, тем больше.	подать	по+дать
74	подать	Туземцы в долине Иордана были не те, что в Ханаане: там у них были свои села и свои князья, и они метко стреляли из лука; но когда не вовремя поступала от них подать, к ним на усмирение посылали Мерава, и это они его прозвали Хаш-Баз: спорый грабитель.	подать	по+дать
75	подать	Вы твердо решили послать в Экрон кузнецкую подать? — спросил Самсон у старейшин.	подать	по+дать
76	подать	В вашей земле нет порядка: мы вам послали подать, а ваши разбойники смотрите, что натворили, — стражу нашу искалечили, а добро увезли неведомо куда.	подать	по+дать
77	подать	Ладно, — сказал саран, — в будущем году мы примем вашу подать на границе.	подать	по+дать
78	подать	С тех пор, по преданию, перестали филистимляне требовать кузнецкую подать от Дана.	подать	по+дать
79	подать	Прямая подать с граждан (так называемых eisphorА) взымалась только в исключительных случаях; зато существовала последовательная и постоянная система так называемых литургий (leiturgia от leiton «народное» и ergon «дело»), касающихся исключительно богатых граждан.	подать	по+дать
80	подать	Предполагалось образовать комиссию «из знатного шляхетства и из посредственных персон всех чинов — рассмотреть состояние всех городов и земель и по рассмотрении наложить такую подать, чтобы было всем равно».	подать	по+дать
81	подать	В настоящее время после реформ императоров Александра II и Николая II, уничтоживших и подушную подать, и телесное наказание, почетное гражданство, не имеющее притом никакого корпоративного устройства, потеряло всякий смысл своего существования.	подать	по+дать
82	подать	Из менее крупных прямых налогов можно указать сохранившуюся в некоторых местах Сибири подушную подать с различных разрядов крестьян и инородцев,	подать	по+дать
83	подать	Из менее крупных прямых налогов можно у Сибири подушную подать с различных разрядов крестьян и инородцев, подушную подать с евреев-земледельцев, подать со скота у киргизов и калмыков.	подать	по+дать
84	подать	подать со скота у киргизов и калмыков.	подать	по+дать
85	подать	Осуществление права разработки совершается при соблюдении определенных законом условий, причем горнопромышленник платит за пользование землей особую горную подать.	подать	по+дать
86	подать	Этим указом права крестьян и мещан уравнивались с правами остальных сословий; отменена была подушная подать и круговая порука в уплате сборов; предоставлено было крестьянам, обладающим установленным цензом помимо надельной земли, участвовать во вторых земских избирательных съездах независимо от участия их в выборах от сельских обществ уезда, отменено было правило об утверждении губернатором земских гласных от сельских обществ; установлено, что уездные съезды могут отменять приговоры по представлениям земских начальников только в тех случаях, когда эти приговоры составлены несогласно с законом, а никак не по существу, и пр.	подать	по+дать
87	подать	Причину того бунта не помню, только — отказались наши мужики подать платить и землю пахать, в их числе дядя мой и отец тоже.	подать	по+дать
88	подать	Поймите, что выходит: все, значит, плати подать,	подать	по+дать
89	подать	а некоторым начальство будет подать эту давать в долг, и эти некоторые на наши-то грошики скупят землю да и обратят всех нас, маломочных, в батраков себе.	подать	по+дать
90	подать	В худшем случае, в самом невероятном, если человек этот, не платя податей, не признавая границ государств, отказываясь от исполнения судейских и военных обязанностях, останется одиноким, будет то, что подать будет взята с него насилием, что на него наложены будут наказания за неисполнение правительственных требований вообще.	подать	по+дать
91	подать	Это показывает опыт, и летние ставки — уже два года бьются и ничего не добиваются, а если и добьются, то вода наверх не пойдет, нужно ставить машины, нужно взять на себя вечную подать, чтобы содержать эти машины.	подать	по+дать
92	подать	И потому не тяжела ныне Бальджуану тигровая подать.	подать	по+дать
93	подать	Антон Павлович любил их слушать, и «подать» всегда была приготовлена.	подать	по+дать
94	подать	Общество делилось на классы по роду услуг, какие оказывали лица удельному князю: одни служили ему ратную службу и назывались боярами и слугами вольными; другие служили по дворцовому хозяйству князя, были его дворовыми людьми и назывались слугами дверными; наконец, третьи снимали у князя его земли, городские или сельские, за что платили ему подать, тягло, и носили название людей тяглых, земских или черных.	подать	по+дать
95	подать	В других случаях оброк означал общую подать, которою складывались все жители известного округа взамен разных других податей и повинностей.	подать	по+дать
96	подать	Эта подать собиралась с посадских людей и с крестьян также по сошному письму и поступала в особое центральное учреждение, в Ямской приказ, который заведовал ямщиками, получавшими жалованье и прогоны за езду, для чего они обязаны были содержать лошадей на ямах.	подать	по+дать
97	подать	Полоняничные деньги — подворная, а не посошная подать, назначенная на выкуп пленных у татар и турок.	подать	по+дать
98	подать	Эту подать собирал заведовавший выкупом полоняников Посольский приказ.	подать	по+дать
99	подать	Стрелецкая подать назначена была на содержание стрельцов, постоянной пехоты, заведенной в XVI в. при великом князе Василии.	подать	по+дать
100	подать	Сначала это был незначительный налог хлебом; в XVII в. стрелецкая подать собиралась и хлебом и деньгами и по мере увеличения численности стрелецкого войска сильно возрастала, так что сделалась, наконец, важнейшим прямым налогом.	подать	по+дать
101	подать	Так составились окладные описи особого типа, переписные книги, которые тем отличались от прежних писцовых, что в последних описывались преимущественно земли, угодья, промыслы — хозяйственные средства, по которым население облагалось податью, а в переписных — рабочие силы, которые платили подать, тяглые дворы и их обыватели.	подать	по+дать
102	подать	Объединенную прямую подать приходилось распределять между обоими разрядами плательщиков пропорционально их неодинаковой казенной налогоспособности.	подать	по+дать
103	подать	Из прямых налогов, ставших постоянными в XVII в., особенно быстро росла подать на содержание все возраставшего стрелецкого корпуса, стрелецкие деньги: с 1630 по 1663 г. она увеличилась почти в 9 раз.	подать	по+дать
104	подать	По тому же указу 1679 г. полоняничные и ямские деньги также слиты были в одну подать.	подать	по+дать
105	подать	Эти два объединенных налога и были распределены между двумя разрядами тяглых людей: на тяглое посадское население всех городов и на черных крестьян северных и северо-восточных уездов взамен всех прежних прямых налогов положена была одна стрелецкая подать, разбитая на 10 подворных окладов от 2 рублей до 80 копеек по платежной способности податных округов или разрядов,	подать	по+дать
106	подать	а владельческие крестьяне остальных уездов, где они были, ввиду обременения их господскими повинностями обложены были ямскими и полоняничными деньгами, соединенными в одну подать, по 10 копеек с двора церковных крестьян, а с крестьян дворцовых и светских землевладельцев по 5 копеек, в 8 или 16 раз меньше наименьшего оклада стрелецкой подати.	подать	по+дать
107	подать	В 1637 — 1638 гг. для обороны от крымцев, удвоив стрелецкую подать, правительство выпросило у земского собора набор даточных с дворцовых и владельческих крестьян и усиленный денежный сбор с торговых людей — с двора около 20 рублей на наши деньги, а с черных крестьян в половину; в 1639 г. чрезвычайный денежными сбор повторился.	подать	по+дать
