Index	Homograph	Context	TargetWord	Label
1	потом	От этих людей пахло потом и нестиранными носками.	потом	по+том
2	потом	К тому же против нас и играют все с удвоенной энергией и, даже при общем превосходстве, победы даются потом и кровью.	потом	по+том
3	потом	Он столько до этого прошагал, что, стоя без движения, истек потом и мог простудиться, застывая на морозе.	потом	по+том
4	потом	Близко не было вокзала, вокзальной площади – лишь тюремные стены камер хранения, запертые безлюдные склады, бетонные туши тягловых электровозных депо, пропахших горючим потом соляры.	потом	по+том
5	потом	"Сказала презрительно: ""Не потом надо бахвалиться, а умом, что к поту приложен... "" Отец возражал: ""За ним – власть, власть земли, вековой опыт земледельца ""."	потом	по+том
6	потом	Только-только начали мы оба-два разболокаться, чтобы и амуницию, пропахшую потом и назьмом, замочить в корыте, как видим: из-за клуба вывернули и явно к нам спускаются люди военного вида.	потом	по+том
7	потом	Бенкендорфа обметало крупным, как градины, потом.	потом	по+том
8	потом	Милия Алексеевича едва потом не прошибло.	потом	по+том
9	потом	Даже потом прошибло.	потом	по+том
10	потом	Он обливался потом.	потом	по+том
11	потом	"Администратор оглянулся, недоуменно пожал плечами – он ведь ничего не видел, – пощупал лоб, покрытый холодным потом, и снова сказал: ""Ну, пожалуйста..."	потом	по+том
12	потом	Джон вскрыл банку, и, глядя, как они с Флексом, обливаясь потом, пили пиво и рассказывали анекдоты, я подумал, что это великий народ.	потом	по+том
13	потом	Она была еще жива: кольца вздрагивали, сокращаясь, по ним пробегала длинная дрожь, чешуя блестела мельчайшими чернильными капельками, словно исходила предсмертным потом.	потом	по+том
14	потом	Я смотрю: он потом весь покрылся, мелкими каплями.	потом	по+том
15	потом	И пыль смешивается с потом.	потом	по+том
16	потом	"""Бип-бип-бип... "" Кусок земного металла, жаркий слиток земных надежд, продукция мозга и мышц, смешанная с нашим потом и с кровью тех, которые этого уже не услышат."	потом	по+том
17	потом	Каримов встал, лицо его покрылось жемчужным потом, и он проговорил:	потом	по+том
18	потом	Он пришел в себя, боль ослабела, грудь, лицо, ладони покрылись потом.	потом	по+том
19	потом	Почему он так возмущается, горит, сочиняя письма Сталину, холодеет, покрывается потом?	потом	по+том
20	потом	Зачем мы обливаемся потом и падаем на каждом шагу от усталости?	потом	по+том
21	потом	Вся одежда была сброшена, и сотня голых тел, пышущих тяжелым влажным жаром, ворочалась, истекая потом, на полу – на нарах было слишком жарко.	потом	по+том
22	потом	Этот воздух был непохож на спертый, пахнущий карболкой и человеческим потом воздух тюремной камеры, ставшей ненавистной за много месяцев следствия.	потом	по+том
23	потом	На Андреева пахнуло запахом грязного тела, лежалых вещей, кислым человеческим потом.	потом	по+том
24	потом	До боли стиснув зубы, напрягая силы и покрываясь потом, я все тер и тер.	потом	по+том
25	потом	Обливаясь холодным потом, несмотря на то, что было очень жарко, я попятился ползком за скалу и бросился в чащу леса.	потом	по+том
26	потом	К нам подошел с бокалом в руке, бледный от хмеля, с крупным потом на лбу, на который свисал клок его белорусских волос, Качалов, поднял бокал и, с деланной мрачной жадностью глядя на нее, сказал своим низким актерским голосом:	потом	по+том
27	потом	"Оплывая потом, официанты несли над головами запотевшие кружки с пивом, хрипло и с ненавистью кричали: ""Виноват, гражданин!"	потом	по+том
28	потом	Тут я облился прохладным потом и тоскливо поглядел на зеркальные сияющие шкафики.	потом	по+том
29	потом	Тогда, как собаку, потянуло меня к какой-то траве, и я ел ее; так я спасся, но изошел потом и спал.	потом	по+том
30	потом	Мозоль я себе натер, буцы новые выдали, вот и натер обратно», – это из-под лавки и на лесенке, по которой взбираются на верхнюю полку, повесили новые портянки, со свежими казенными ярлыками и все же пропахнувшие уже потом.	потом	по+том
31	потом	Океан с гулом ходил за стеной черными горами, вьюга крепко свистала в отяжелевших снастях, пароход весь дрожал, одолевая и ее, и эти горы, – точно плугом разваливая на стороны их зыбкие, то и дело вскипавшие и высоко взвивавшиеся пенистыми хвостами громады, – в смертной тоске стенала удушаемая туманом сирена, мерзли от стужи и шалели от непосильного напряжения внимания вахтенные на своей вышке, мрачным и знойным недрам преисподней, ее последнему, девятому кругу была подобна подводная утроба парохода, – та, где глухо гоготали исполинские топки, пожиравшие своими раскаленными зевами груды каменного угля, с грохотом ввергаемого в них облитыми едким, грязным потом и по пояс голыми людьми, багровыми от пламени; а тут, в баре, беззаботно закидывали ноги на ручки кресел, цедили коньяк и ликеры, плавали в волнах пряного дыма, в танцевальной зале все сияло и изливало свет, тепло и радость, пары то крутились в вальсах, то изгибались в танго – и музыка настойчиво, в сладостно-бесстыдной печали молила все об одном, все о том же...	потом	по+том
32	потом	Ободренный знаками всеобщего удовольствия, рядчик совсем завихрился, и уж такие начал отделывать завитушки, так защелкал и забарабанил языком, так неистово заиграл горлом, что, когда, наконец, утомленный, бледный и облитый горячим потом, он пустил, перекинувшись назад всем телом, последний замирающий возглас, – общий, слитный крик ответил ему неистовым взрывом.	потом	по+том
33	потом	В салоне полно народу и пахнет жарким потом и все теми же «Эсти Лаудер».	потом	по+том
34	потом	Серега, глядя на меня, пышущего яростью и молчаливого, немного присмирел, хмель из него понемногу выходил, он страдальчески морщился, тер виски и исходил нездоровым потом.	потом	по+том
35	потом	Под нашими ногами оказывалось все больше крючков, и я, хрипя от усилий и обливаясь потом, с ужасом представлял, как отточенное жало вопьется в ногу и поволокет в холодную темную бездну.	потом	по+том
36	потом	С нежностью, как горячо любимую девушку, вспоминал Криш своего жигуленка, обливаясь потом на голгофной дороге и костеря про себя зловредную супружницу.	потом	по+том
37	потом	И почудилось, что вместе с потом из каждой его поры сочится кровь…	потом	по+том
38	потом	Я везде старался ходить пешком, транспортом пользовался в самых крайних случаях, и каждый раз, садясь в автобус или троллейбус, я начинал молиться, обливаясь холодным потом и до боли сжимая кулаки…	потом	по+том
39	потом	Через несколько минут я почувствовал тревогу и покрылся потом.	потом	по+том
40	потом	А было так: я снимал тапочки, старшая сестра (которую я называл про себя «доктор Менгеле») снимала бинты, сдирала прилипшую вату, и я тут же покрывался холодным потом – кисти своей я не узнавал, это была не моя кисть, это даже кистью не являлось – опухший желто-багровый шарик с пятью торчащими в разные стороны сосисками-пальцами, скальпельные надрезы, похожие на сонные азиатские глазки, а вместо белков и зрачков – человеческое мясо, один, два, три, четыре надреза на тыльной стороне кисти и один – на ладони, между большим и указательным пальцами, и из каждого надреза торчит хвостик жгута, по которому по идее должно за ночь выходить определенное количество гноя, засевшего под кожей.	потом	по+том
41	потом	Он возвышался над моей кроватью, высокий, некогда, наверное, очень сильный и ловкий, а теперь – изможденный и бледный, с бледно-серыми губами, острым костлявым носом и голодными глазами затравленной лисички, пахнущий потом и медикаментами, смотрел на меня сверху вниз и тоскливо улыбался, и руки, держащие стакан, болезненно подрагивали…	потом	по+том
42	потом	Он стал мастером, изваяв из словесного мрамора для нас и всех, кто будет после, свою эпоху, такую живую, дышащую медом и полынью, потом и кровью, пылью и солью…	потом	по+том
43	потом	За что? – покрывается Бурцев холодным потом.	потом	по+том
44	потом	Дочь спокойно, без боли рожала в спальне, а бедный муженёк в соседней комнате валялся пластом на полу, обливаясь потом и корчась от невыносимых болей.	потом	по+том
45	потом	Поначалу в душе не было ничего, кроме ужаса: мысль о том, что чужое семя, столь чудовищным образом занесенное в чрево любимой женщины, закрепилось и проросло в ней, живет, питается ее соками, набирается сил, – эта мысль заставляла дышать часто и громко, отзывалась липким потом на висках и ладонях.	потом	по+том
46	потом	Подбежав, хотел было сказать что-то, раскрыл рот, но только захлебнулся собственным весельем – рассмеялся счастливо, обнял крепко, хлопнул Баха по спине – пахнуло здоровым молодым потом, табаком, водкой, ржаным хлебом – и тут же помчался обратно, догонять своих.	потом	по+том
47	потом	Только поднявшись ввысь, можно что-то разглядеть: посмотреть на этот чудом сохранившийся в Гражданскую особняк с классическими колоннами, на комнату с эркером, на мебель, стыдливо прикрывающую фальшивую позолоту пыльными чехлами, на пропитанную потом кровать с резным изголовьем – и увидеть, что умирает среди этого дешевого великолепия вовсе не вождь.	потом	по+том
48	потом	Но Август от мысли о докладе продюсеру насчёт фиаско покрывался холодным потом, как коматозник.	потом	по+том
49	потом	Еще он лазил по тальникам с казавшимся тяжеленным топором, и рубил подпоры, и было нестерпимо жарко и вилась тучами мошка, залезая под рукава, в штаны, и в глаза, и он брал у деда мазь из дегтя с рыбьим жиром и мазал иэъеденное потом лицо.	потом	по+том
50	потом	У него был почти музейный желтый «буран» первого выпуска, с непоцарапанной краской, на котором он возил дрова из лесу, причем оставлял «буран» на дороге, а от поленницы они с женой, обливаясь потом, таскали дрова на нарточке.	потом	по+том
51	потом	Наверное, студентам доставались и какие-то овощи с хозяйского огородика, на который как раз выходил «учебный корпус» – нечто среднее между кузней, столярной мастерской и – в этом политическом цирке точно не было дефицита опилок, чтобы засыпать залитую ученическим потом арену, – лесопилкой (отсюда с годами налившиеся комичной двусмысленностью метафоры Вознесенского: «Ленин был из породы распиливающих»).	потом	по+том
52	потом	Однажды Иван, только-только достигший опустошения, с потом на бровях и с перебоями в груди, совершенно явственно услышал за фанерной стенкой, там, где вплотную стояла такая же узкая койка, знакомое ироничное похмыкивание.	потом	по+том
53	потом	По недостоверным свидетельствам, изредка на лице существа, похожем на обтянутый тканью кулак, все-таки разверзались стеклянные трещиноватые глазищи – и тогда зарвавшийся старатель, обливаясь потом и смертельным трепещущим светом, мгновенно превращался в золотую скорченную статую.	потом	по+том
54	потом	Когда-то на этом месте проходил старый, разбитый телегами и всем чем попало Белорецкий тракт, политый потом крепостных крестьян и заводских рабочих.	потом	по+том
55	потом	Ушла в прошлое старая дорога-труженица, обильно политая потом заводских работников, возивших по ней к железоделательным заводам железную руду и древесный уголь, изготовленный углежогами в специальных ямах.	потом	по+том
56	потом	Она вздрогнула, разом покрылась потом.	потом	по+том
57	потом	Но представив такую картину – мгновенно покрылась потом.	потом	по+том
58	потом	Он опрокинулся обратно на подушку, мгновенно покрывшись потом.	потом	по+том
59	потом	Детская, но уже испитая мордашка становилась пепельной, серой, покрывалась потом.	потом	по+том
60	потом	Михаил Янович тяжело дышал, сразу покрывшись потом.	потом	по+том
61	потом	Я обливалась потом, пыль покрывала меня с головы до ног.	потом	по+том
62	потом	Пахло мужским спортивным потом.	потом	по+том
63	потом	Сандугач пахнет здоровым потом, сеном, хлевом, молоком – домом.	потом	по+том
64	потом	Может, Кузнец заразился тифом и лежит сейчас на лазаретной койке – истекающий горячим потом, в беспамятстве?	потом	по+том
