Index	Homograph	Context	TargetWord	Label
1	пропасть	Без подготовки только в пропасть прыгать хорошо...	пропасть	про+пасть
2	пропасть	В защиту скажем лишь, что, увы, пропасть между красивой и могучей теорией и неприглядной практикой была, есть и будет, а кроме того, все равно вряд ли кто-то воспримет все это всерьез.	пропасть	про+пасть
3	пропасть	Вместе мы эту пропасть одолеем!	пропасть	про+пасть
4	пропасть	Опять образовалась финансовая пропасть	пропасть	про+пасть
5	пропасть	Пропасть, разделяющая Андре Агасси и остальных участников, становится все заметнее.	Пропасть	про+пасть
6	пропасть	В душе ее вздымались волны, ревел черный ураганный ветер, а там, где раньше было место Эле-Фантика, образовалась нестерпимая, как бездонная пропасть, пустота.	пропасть	про+пасть
7	пропасть	Да вот такую!!! – завопил Медвежонок и так стукнул лапой по траве, что... земля треснула, и половина всей Земли стала медленно отъезжать, и между Ежиком и Медвежонком образовалась... пропасть.	пропасть	про+пасть
8	пропасть	Я медленно в пропасть лечу	пропасть	про+пасть
9	пропасть	Вместе с тем налицо признание некоей исторической константы: во времена Мандельштама пропасть, отделяющая Поэта и Пророка от публичного поля, представлялась столь же широкой и труднопреодолимой, как девятнадцатью столетиями ранее, в новозаветные времена.	пропасть	про+пасть
10	пропасть	Автобусы, кстати, ходят в Далласе гораздо чаще, чем, например, на севере страны, в Миннесоте, что говорит о том, что бедного населения на юге больше, вернее, что больше пропасть между очень богатыми и бедными.	пропасть	про+пасть
11	пропасть	"""Спартак "" стал главным развлечением конца сезона: сиганув в пропасть и разбившись насмерть, он вновь зашевелился и пополз наверх."	пропасть	про+пасть
12	пропасть	До конца чемпионата семь гонок, но от ближайшего соперника – напарника Рубенса Баррикелло Михаэля Шумахера отделяет пропасть в 54 очка.	пропасть	про+пасть
13	пропасть	Встреча философии и православия, культуры и богословия, которую стремились осуществить С. Аверинцев, С. Хоружий, Н. Гаврюшин и многие другие достойные авторы, не произошла: напротив, все наведенные мосты рухнули в пропасть рыночного неоязычества, постмодернистского скепсиса и охранительного церковного обскурантизма.	пропасть	про+пасть
14	пропасть	Мне кажется, все катится в пропасть.	пропасть	про+пасть
15	пропасть	Червяка тут велось пропасть, Коротаев оживился, отпускал шуточки, руками разгребал благодатную почву, напревшую в крапиве и лопухах.	пропасть	про+пасть
16	пропасть	Когда об этом заходит разговор, академик Шумаков сжимает свои гениальные пальцы: – Если это случится, мы опять улетим в пропасть!..	пропасть	про+пасть
17	пропасть	Как только Андрей начинал вдумываться в смысл комиссии, походка его сразу менялась, шаг делался осторожным, ищущим, ему все казалось, что и в темноте, и при ясном свете дня перед ним неожиданно расступится земля и он полетит в яму, и тогда занесенная для шага нога застывала, Андрей всматривался в то место, какое сейчас закроется ногой, и временами ему хотелось лететь в яму, в пропасть, в расщелину, в траншею, вырытую когда-то под силос, или споткнуться и рухнуть в овраг.	пропасть	про+пасть
18	пропасть	Но вот дорогу преградила пропасть.	пропасть	про+пасть
19	пропасть	Переезжал хор на двух автобусах из города в город по горной дороге Америки, первый автобус сорвался в пропасть.	пропасть	про+пасть
20	пропасть	Но растет пропасть между технологией и целью, растут взаимное непонимание, обида и озлобление.	пропасть	про+пасть
21	пропасть	Не его собственное существование, а весь мир, представавший перед ним, рухнул в эту пропасть.	пропасть	про+пасть
22	пропасть	А рядом была настоящая пропасть.	пропасть	про+пасть
23	пропасть	Видишь эту пропасть?	пропасть	про+пасть
24	пропасть	С тихим скрипом начала открываться дверь на террасу, за которой в прозрачной черноте угадывалась пропасть, а на дне, в теснине, зеркально отсвечивала змейка-река.	пропасть	про+пасть
25	пропасть	Господь, как могущественный король, построил себе прекрасный дворец, т. е. царство небесное, а затем и темницу, т. е. этот мир, в нем же – гибельную пропасть, т. е. ад.	пропасть	про+пасть
26	пропасть	Переживши рядом с ключиком лучшую часть нашей жизни, я имел возможность не только наблюдать, но и участвовать в постоянных изменениях его гения, все время толкавшего его в пропасть.	пропасть	про+пасть
27	пропасть	Лестница закончилась, а внизу новая пропасть.	пропасть	про+пасть
28	пропасть	Ведь тангенс при девяноста градусах, взмыв к бесконечности, тут же и рушится в пропасть минус бесконечности.	пропасть	про+пасть
29	пропасть	В ту же пропасть, в тот же подземный мир, где томился в цепях надин муж, ушел внезапно и академик Баландин.	пропасть	про+пасть
30	пропасть	Тьфу ты, пропасть, взрыватель отказал! – крикнул Скворцов.	пропасть	про+пасть
31	пропасть	Что за пропасть!	пропасть	про+пасть
32	пропасть	Сбрасывать с какой-нибудь скалы в какую-нибудь пропасть.	пропасть	про+пасть
33	пропасть	Сейчас, если стену напустить или угол завалить – это пропасть, завтра на пол дня работы.	пропасть	про+пасть
34	пропасть	Не в болото вели они, как думал он раньше, а в пропасть!	пропасть	про+пасть
35	пропасть	Но чем больше становилась схожа поверхность русской жизни с жизнью Запада, чем более заводской грохот России, стук колес ее тарантасов и поездов, хлопанье ее корабельных парусов, хрустальный свет в окнах ее дворцов напоминали о западной жизни, тем больше росла тайная пропасть в самой сокровенной сути русской жизни и жизни Европы.	пропасть	про+пасть
36	пропасть	Никто не знал, откуда он добывает всю эту пропасть яиц, масла, птицы, соленых огурцов и квашеной капусты.	пропасть	про+пасть
37	пропасть	Ступит ногой как будто на твердое, а нога уходит и становится страшно: не совсем ли в пропасть уходит нога?	пропасть	про+пасть
38	пропасть	Но послушайте, зачем же такая пропасть собак? – удивился отец.	пропасть	про+пасть
39	пропасть	Ведь и падения-то бывают разные: один падает в пропасть, а другой просто в помойную яму.	пропасть	про+пасть
40	пропасть	Это были ликоспастовские глаза, но что-то в них появилось новое, отчужденное, легла какая-то пропасть между нами...	пропасть	про+пасть
41	пропасть	Далекий край этого пространства внезапно отделяется глубокой трещиной и бесшумно падает в пропасть, увлекая за собой все, что на нем находилось.	пропасть	про+пасть
42	пропасть	И опять он перестал ее слышать, поняв, что ее ребенок может крыться за любой из фамилий, известных ему по бумагам, и стоял у стола, и куда-то звонил, и что-то узнавал, и от соединения к соединению уходил все глубже и дальше в город и в ночь, пока перед ним не разверзлась пропасть последней и окончательно правильной информации.	пропасть	про+пасть
43	пропасть	Между петербургской светской девицей тех годов, когда Гончаров приехал в столицу и стал наблюдать, и Верой шестидесятых годов – целая пропасть.	пропасть	про+пасть
44	пропасть	Вообрази себе: узенькая площадка на скале, и под ногами у нас пропасть.	пропасть	про+пасть
45	пропасть	Серафима Петровна упрямо качнула головой и с видом человека, прыгающего в пропасть, сказала:	пропасть	про+пасть
46	пропасть	Достаточно сопоставить Новикова, Радищева и Чаадаева с Бакуниным и Чернышевским для того, чтобы понять, какая идейная пропасть отделяет светочей русского образованного класса от светочей русской интеллигенции.	пропасть	про+пасть
47	пропасть	Он всегда был озабочен, говорил всем, что у него пропасть дела, и даже уверял свое начальство, что он не спит, не ест, а все делает дело.	пропасть	про+пасть
48	пропасть	Да вот жалко, что вас не было; гостей было пропасть, человек тысяча, музыка, генералы, и я танцевал...	пропасть	про+пасть
49	пропасть	Таких оригиналов пропасть: куда ни погляди – оригинал; всякий живой человек оригинал, да я-то в их число не попал!	пропасть	про+пасть
50	пропасть	Подложили цепи под колеса вместо тормозов, чтоб они не раскатывались, взяли лошадей под уздцы и начали спускаться; направо был утес, налево пропасть такая, что целая деревушка осетин, живущих на дне ее, казалась гнездом ласточки; я содрогнулся, подумав, что часто здесь, в глухую ночь, по этой дороге, где две повозки не могут разъехаться, какой-нибудь курьер раз десять в год проезжает, не вылезая из своего тряского экипажа.	пропасть	про+пасть
51	пропасть	Всю эту пропасть читали при мне, а как законом не запрещено судье спать когда и где захочет, то я, сидя за судейским столом, предпочел лучше во сне увидеть бред, нежели наяву услышать вздор.	пропасть	про+пасть
52	пропасть	Приближившись к Силославу, приказала ему сойти с коня; потом, взяв его за руку, повела в подземную пропасть, которой отверстие закрыто было оным камнем, а за ними последовал и Крепостан.	пропасть	про+пасть
53	пропасть	Устраняет пропасть между обучением и реальными жизненными ситуациями.	пропасть	про+пасть
54	пропасть	Пусть в пропасть прошлого все глубже никнет взгляд	пропасть	про+пасть
55	пропасть	Он сидел, свесив босые ноги в пропасть и плакал.	пропасть	про+пасть
56	пропасть	В голову — вид будет не лучше, чем после падения в пропасть.	пропасть	про+пасть
57	пропасть	Подумала, лучше бы он молчал, тогда пропасть между ними не виделась бы настолько безнадежной и непреодолимой.	пропасть	про+пасть
58	пропасть	Григорий, таков: между праведниками и грешниками в загробном мире, а также между умершими праведниками и живыми людьми находится великая пропасть (приводится цитата из Лк 16:26), так что явление Самуила в принципе не представляется возможным.	пропасть	про+пасть
59	пропасть	Но главном было то, что между состоянием борьбы за существование, которое он испытывал в особенно тяжелые часы, когда нестерпимо давило за грудиной, ломило лопатку, отнималась рука и вся остальная жизнь с ее заботами отходила куда-то совсем далеко, и между этой самой жизнью, не было никакого зазора, никакой передышки, будто можно было или только падать в пропасть или карабкаться по жизни, по ее бесконечным и необходимым делам, потому что едва он приходил в чувство, сразу начинались дрова, вода, еще что-то, что вскоре понадобиться и о чем надо уже сейчас подумать, вроде животки, которую если с осени не поймаешь и не посадишь в ящик в озере, то не на что будет зимой ловит налимов, и прочее, и что если еще вчера ты почти навсегда распрощался со всем окружающим, то сегодня надо было возвращаться в него и как ни в чем не бывало двигаться дальше.	пропасть	про+пасть
60	пропасть	Эта страна катится в пропасть, и мы поможем ей докатиться своими убийствами и хаосом».	пропасть	про+пасть
61	пропасть	Но я понимаю, что между мной и двадцатилетними десять лет разницы, – и это пропасть.	пропасть	про+пасть
62	пропасть	Актуальное – это искусство, которое создается вчера, сегодня, будет создано завтра, нужное, но не в утилитарном смысле, а необходимое человеческой душе для спасения, иначе мы просто скатимся в пропасть.	пропасть	про+пасть
63	пропасть	Вот, полоща штанинами и сыпля монетами, в пропасть полетели чьи-то серые, сильно измятые брюки.	пропасть	про+пасть
64	пропасть	Я сидела и чувствовала огромную признательность и огромную пропасть, в которую наше общество летит, пока нас не начинают ловить эти люди, которые добиваются этих измнений.	пропасть	про+пасть
65	пропасть	Потому что прекрасно понимаю, какая социальная пропасть нас разделяет.	пропасть	про+пасть
66	пропасть	О том, какая пропасть в этом смысле лежит между двумя эпохами, можно судить по тому, как принимали, например, в 1996-м «Хоровод» Антона Уткина – и, например, в 2007-м – «Фавна на берегу Томи» Станислава Буркина.	пропасть	про+пасть
67	пропасть	Между «Учебником рисования» Кантора и «Негативом» Льва Тимофеева (а и то и другое – «высокая литература») пропасть гораздо большая, чем между «Негативом» и дивовским «Храбром».	пропасть	про+пасть
68	пропасть	С возрастом – Понизовский, кстати, выглядит сильно моложе своих сорока четырех; возможно, ему следовало бы инвестировать в приобретение накладной благообразной бороды, какие носят авторы газеты «Завтра», – мысль о том, как технически преодолеть пропасть между субъектом и «объектами», стала принимать более реалистичные формы: почему бы, например, не снять купе в поезде Москва – Владивосток и, раз уж железная дорога располагает русских к искренней коммуникации, почему бы не записывать услышанные от попутчиков истории?	пропасть	про+пасть
69	пропасть	Пропасть жизни – в два прыжка	Пропасть	про+пасть
70	пропасть	Теперь ты не сможешь перескочить через узкую пропасть между жизнью и смертью.	пропасть	про+пасть
71	пропасть	Совсем недавно на левобережном хребте, почти на самом водоразделе, туристы-спелеологи обнаружили пещеру Пропащая яма – карстовую пропасть глубиною более 80 метров.	пропасть	про+пасть
72	пропасть	Но первый шаг в пропасть не исключает возможности сделать второй! — зло прорычал Бочкин и снял руку с плеча Валентина Алексеевича.	пропасть	про+пасть
73	пропасть	Наглядевшись на Любу, зажмурившись, как сытый и довольный кот, понимая всю пропасть, лежавшую между ними, Игорь не знал, как заговорить с Любашей.	пропасть	про+пасть
74	пропасть	Но этот-то съехал с КамАЗом в пропасть.	пропасть	про+пасть
75	пропасть	Берег-оберег, побережье самим русским языком противопоставлены «пучине», которая по сути – та же бездна, пропасть	пропасть	про+пасть
76	пропасть	Грибов и сейчас здесь пропасть, но к царскому столу их не берут.	пропасть	про+пасть
77	пропасть	Грибов этой осенью пропасть.	пропасть	про+пасть
78	пропасть	Когда вы перестаёте рифмовать, вы падаете в пропасть.	пропасть	про+пасть
79	пропасть	Переход Леонида Андреева в лагерь реакции вырыл идейную пропасть между ним и Горьким…	пропасть	про+пасть
80	пропасть	Страна будет не та, люди – не те, между той страной и этой – пропасть, а между девочкой в хрустальном шаре и юным лейтенантом протянутся невидимые нити.	пропасть	про+пасть
81	пропасть	Все как есть видела: и как хватают они тебя под руки, и как швыряют на колесницу, и как везут в пропасть.	пропасть	про+пасть
82	пропасть	Как возвышенны были их падения под пулями врагов на грязный асфальт шоссе или в пропасть карьера!	пропасть	про+пасть
83	пропасть	Впрочем, сейчас, когда я и сам стал уже вполне пожилым, дедушкино предвидение кажется мне пророческим: он предчувствовал эту грозу, прозревал этот страшный, сатанинский ураган, он знал, что буря сметёт — и уже сметает — миллионы лучших сынов Отечества в бездонную пропасть, в бездну небытия, в пустоту, которая за гранью жизни и вне её.	пропасть	про+пасть
84	пропасть	Что-то как будто со всей силы ударило меня, и я начал падать в бездонную пропасть, откуда не слышны никакие в мире звуки, кроме одного единственного вопроса – «вот этот вот мой Тигран?».	пропасть	про+пасть
85	пропасть	Евдокия, как в пропасть вступила в пространство между двумя шеренгами солдат, прямо смотрящих ей в лицо, и медленно пошла, удивляясь, что не проваливается сквозь землю, а идет по ней для того, чтобы назначить: кого убить, а кого оставить живым.	пропасть	про+пасть
