Index	Homograph	Context	TargetWord	Label
1	сел	И после всего упомянутого первый раз я сел на велик лет в тридцать пять.	сел	сел
2	сел	Сел перед нами и... улыбнулся!	Сел	сел
3	сел	Потом чересчур близко к сердцу принял леворадикальные идеи и, отказавшись от престижной работы, сел писать никому не нужную филологическую диссертацию об Элиоте.	сел	сел
4	сел	Пока весной перед экзаменами в восьмом классе не сел на стул и не заявил, что в школу не пойдет.	сел	сел
5	сел	Впрочем, губернатор Приморья в Хабаровске все же сел, а вот губернаторы Коротков (Амурская область) и Логинов (Корякский АО) вчера утром так и не смогли вылететь в метрополию.	сел	сел
6	сел	Он сел на камень, свесил задние лапы и склонил голову набок.	сел	сел
7	сел	"Так, в заведомо коррупционном деле вокруг так называемого "" Городского благотворительного фонда поддержки здравоохранения ""на скамью подсудимых сел лишь депутат гордумы В. Кофтин, да и то вскоре был оправдан."	сел	сел
8	сел	Как это, например, случилось в Заречном, где два года назад в кресло главы города сел Юрий Олексин.	сел	сел
9	сел	Сел в гражданский джип и поехал к чеченцам, к Дудаеву, посмотреть, что на самом деле происходит.	Сел	сел
10	сел	"Распаленный вином, он сел на край шлюпки и, задумчиво поглядев на реку, вдруг воскрикнул: "" Волга славная!"	сел	сел
11	сел	Пастух обессиленно выкатился из-под ног остальных и обречено сел в стороне.	сел	сел
12	сел	"Потом сказал: ""Извините... "", накинул пиджак, вышел, сел в машину, приехал в Шереметьево, спросил: ""Куда пускают без визы?"	сел	сел
13	сел	Ну, я подошел к их машине, сел, дали они трубочку с пакетиком.	сел	сел
14	сел	В это время на душицу сел толстый темно-бурый Шмель, похожий на медвежонка.	сел	сел
15	сел	Он сел рядом, заговорил:	сел	сел
16	сел	Я подождала, пока он сел в одну дверь, и побежала к другой.	сел	сел
17	сел	Наши с ним визиты в этот раз совпали, и перед концертом я как гражданин своей страны сел смотреть в прямом эфире, что же скажет мой президент на всю Америку.	сел	сел
18	сел	Вначале Володя отправился в поездку с квартетом Бородина, который некоторое время был невыездным, чтобы поддержать их, сел на место первой скрипки.	сел	сел
19	сел	Потом сел разыгрываться в часовне за собором, где проходят концерты.	сел	сел
20	сел	Видели бы некоторые злопыхатели, упрекавшие Светланова в антисемитизме, как он покорно надел кипу, сел в первый ряд зрителей и прослушал весь концерт.	сел	сел
21	сел	Сел на поезд и добрался до Баку.	Сел	сел
22	сел	Кямал сел на троллейбус и поехал к школе.	сел	сел
23	сел	"Даже если талончик у вас уже куплен, не лишним будет узнать, чем, кроме фраз ""не битая, не гнилая, сел и поехал "", должно характеризоваться нормальное состояние автомобиля."	сел	сел
24	сел	Сел в автобус и думаю: что-то много я смеюсь.	Сел	сел
25	сел	"Никаких специальных знаний – ""сел и поехал ""."	сел	сел
26	сел	Первым на берегу поднялся с травы командир, – сел, стал разуваться, выливать из сапог болотную воду.	сел	сел
27	сел	Старшина медленно поднялся и сел на песке, сжимая рукой плечо.	сел	сел
28	сел	Он посмотрел на Толика еще немного, а потом сел на кровать.	сел	сел
29	сел	Он сел к моему компьютеру и стал пить свой виски.	сел	сел
30	сел	А я тебя помню, – сказал один из сидевших в иномарке, когда я сел к ним на заднее сидение.	сел	сел
31	сел	"Например: ""Один человек напился, сел за руль и врезался в чужую машину ""."	сел	сел
32	сел	Я сел на пол посреди комнаты и постарался, чтобы меня не стошнило.	сел	сел
33	сел	Сел однажды на поезд и уехал к родителям.	Сел	сел
