Index	Homograph	Context	TargetWord	Label
1	села	Ты села ко мне в машину, когда я предложил.	села	се+ла
2	села	Я села рядом, чувствуя себя по-глупому: стулья вокруг компьютера предназначались для мальчишек – Пашиных партнеров по игре.	села	се+ла
3	села	И тут они увидели, как в открытую дверь влетела большая звезда и села на елку.	села	се+ла
4	села	Ты, з-з-зачем на мой цветок села? – опускаясь на душицу, прожужжала она.	села	се+ла
5	села	В январе 2000 года я села отдохнуть на скамейке рядом с огороженной площадкой детского сада.	села	се+ла
6	села	Мама с первых дней создания оркестра работала в нем как пианистка и первая в Армении села за клавесин.	села	се+ла
7	села	Людка увидела и аж села.	села	се+ла
8	села	Пыталась проверять тетрадки, а потом села у телевизора.	села	се+ла
9	села	Когда закончили, она села в уголок и стала смотреть на меня.	села	се+ла
10	села	Марина села на подводу, и они с дядей Васей поехали к спуску на лед, чтоб по зимнику перебраться на другую сторону пруда.	села	се+ла
11	села	И села читать.	села	се+ла
12	села	Потом она села в машину.	села	се+ла
13	села	Елена села рядом и заплакала.	села	се+ла
14	села	К нам приехал, к нам приехал... – улыбаясь, пропела она, а потом подошла к гостю, села рядом.	села	се+ла
15	села	А села – и водрузила на колени не тощий зад, а чресла разбитной бабенки, о груди же и говорить нечего, такой грудью вскормлен не один младенец.	села	се+ла
16	села	"Костюмерша – а это была она – тягучим шагом дошла до кушетки, села, взяла пилочку и стала увлеченно полировать коготочки, не испытывая никакого интереса ни к разговору, ни к кому из мужчин, что никак не устраивало Гастева, и он, поглядывая на коготочки кровавого цвета, скакнул, развивая тему, в предреволюционные годы и пересказал объявления городских газет (отец обклеил ими кладовку) за декабрь 1912 года: камелии из Ниццы, печенья и пряники в кондитерской Жана, шампанские вина ""Дуаэн "" и ""Шарль Гейдсик "" из Реймса, американская овсянка ""Геркулес "", цейлонский чай ""Янхао "", шоколад ""Гала-Петэр "", колбасы И. Ф. Куклинского, названия фильмов, от которых нынешние девицы с ума посходили бы, – ""Жених запоздал – заменил другой "", ""Глупышкин – защитник невинности ""..."	села	се+ла
17	села	Фирма села на мель, а завод по недосмотру сгорел и затонул.	села	се+ла
18	села	Переполненная сверх меры разного рода эмоциональными впечатлениями, имея в запасе два диплома, я села в поезд, увозивший меня в Свердловск, в неизвестность.	села	се+ла
19	села	Барби села в свою розовую машину и помчалась на конечную остановку автобуса встречать дедушку Ивана.	села	се+ла
20	села	Ко мне в машину села и Лариса Алексеевна.	села	се+ла
21	села	Муха фукнула носом или ртом, развеяв перед собою пыль, выдвинула из-под стеллажа вделанную в него толстую доску и села на нее.	села	се+ла
22	села	Села молча вязать, вокруг было тихо; потом я стала слышать звяканье спиц, и этот звук как бы углубил чувство молчания вокруг меня.	Села	се+ла
23	села	Наконец зажгли каминное пламя, знаменитость села за пианино, дог растянулся на ковре, и теплая голубая слюна потекла из его страдальчески опустившегося рта.	села	се+ла
24	села	"Ноги плохо держат: села и покатилась, как говорят туристы ""на пятой точке ""."	села	се+ла
25	села	Брюнетка взяла лист допроса, села и стала его читать.	села	се+ла
26	села	"Она села, перевела дыхание, облизала губы, поправила с боков волосы и сказала: "" Тут у меня фляжка с холодной водой, дайте, пожалуйста ""."	села	се+ла
27	села	Она села.	села	се+ла
28	села	Секретарша подождала, пока дверь закрылась, потом отодвинула кресло и села. «Да, распустилась сучка! – подумал Зыбин. – Только она, конечно, не Неймана, а кого-то повыше.	села	се+ла
29	села	Она поднялась с дивана, подошла к зеркалу, потом взяла стул и села у стола рядом с ним.	села	се+ла
30	села	К нему подбежала собака, села задиком в лужу и подняла острое лицо.	села	се+ла
31	села	Он привалился плечами и затылком к дощатой стене – одна из его излюбленных сибаритских поз, что удостоверялось сальным следом головы на обоях, – а Соня села рядом, забравшись глубоко во впадину старой кушетки, прижавшись к нему, положив голову ему на грудь, и он обнимал ее левой рукой, а правой поглаживал бедро в шуршащем чулке.	села	се+ла
32	села	И когда пионеры скрылись в зарослях Сокольнического леса, мы поняли, что бессильны противостоять той злой таинственной силе, которая не хотела, чтобы мы навсегда принадлежали друг другу Она поправила щелкнувшую подвязку, надела шляпу, села.	села	се+ла
33	села	Во время сеанса мама вышла на кухню, вернулась, села, но не смогла принять прежнюю позу.	села	се+ла
34	села	Ничего, ничего не надо, – сказала я и села.	села	се+ла
35	села	И села на лавку.	села	се+ла
36	села	Из тайги вылетела к реке кедровка, села на сухую пихту и принялась кричать, надоедливо и грубо, как ворона.	села	се+ла
37	села	Но девушка – она шла следом – села прямо на Димкины колени.	села	се+ла
38	села	Нюра так и села.	села	се+ла
39	села	Поздно вечером Рита вдруг пришла в кабинет – в халате, нечесаная, с мятым, серым лицом, какое у нее бывало, когда мучила печень, – села на край дивана и смотрела на меня.	села	се+ла
40	села	Ежик прижался носом к окну, а одна Снежинка села ему на нос с той стороны стекла, привстала на тоненьких ножках и сказала:	села	се+ла
41	села	Мама села утром на мопед, повесила на руль бидончик и поехала на станцию за молоком и хлебом.	села	се+ла
42	села	Видать, оба бедолаги, – сказал старик и, сняв с головы войлочную шапку, ударил ею по руке, на которую села муха.	села	се+ла
43	села	Агния натянутой рукой быстро повлекла Антона дальше – к паперти главного входа, вышла из тени в поток заката и села на низкий каменный парапет, где обрывалась ограда и начинался просвет для ворот.	села	се+ла
44	села	Надя села, кисти рук свела в рукавах, отклонила голову набок, ушла щекой в свой лжекаракулевый воротник.	села	се+ла
45	села	Я села, а на стул слева от меня должен был сесть Лева после своего триумфа на сцене.	села	се+ла
46	села	Лида осторожно, чтобы не стукнуть, поставила чемодан на пол и села на кровать.	села	се+ла
47	села	Она меня усадила, кофе налила, ликеру подлила, бисквит положила, сама села напротив, все по-культурному.	села	се+ла
48	села	Представьте себе, вы по узенькой темной лесенке, как на колокольню, взбираетесь наверх, согнувшись, чуть не на животе протискиваетесь в узкую дыру, и сразу – желтоватый рассеянный свет, тишина, какие-то острые, хрупкие звуки – не то балка треснула, не то птица села на крышу, – запах земли и смолистых бревен.	села	се+ла
49	села	Она кивнула головой и села.	села	се+ла
50	села	Потом опять села.	села	се+ла
51	села	Я села в кресло.	села	се+ла
52	села	Она зажгла настольную лампу и села, взяв карандаш.	села	се+ла
53	села	Села за стол, чтобы подумать.	Села	се+ла
54	села	Галя прошла в глубь купе и села там у окна.	села	се+ла
55	села	Я села у окна за столик с залитой скатертью и мокрыми окурками на грязных тарелках.	села	се+ла
56	села	Евгения Николаевна села на кровать, посмотрела на часы.	села	се+ла
57	села	Отдав заполненный листок, она села на диван и положила паспорт в сумку.	села	се+ла
58	села	Выдали из дезкамеры вещи, и сосед Андреева Огнев вместо овчинных меховых чулок получил игрушечные – так села кожа.	села	се+ла
59	села	Она посмотрела на меня, как на дурака, села на диван и, подышав на замерзшие пальцы, начала поправлять бантик на своей косе.	села	се+ла
60	села	Села бы с нами, что ли, да рассказала чего-нибудь.	Села	се+ла
61	села	На животике своем мальчик связал эти полосы кушаком, и отцовская куртка села на нем, как пальто, до самой земли.	села	се+ла
62	села	Тогда я сказал ей довольно резко, что мне неудобно так смотреть на нее снизу вверх, она села, и я мог разглядеть ее как следует.	села	се+ла
63	села	Села на кирпичную кладку и пронзительно, отрывисто закричала.	Села	се+ла
