Index	Homograph	Context	TargetWord	Label
1	виски	Ее было так много, что нефтью заполнили все бочки из-под виски в округе.	виски	ви+ски
2	виски	Во время той прогулки он то и дело заходил в магазинчики в поисках фляжки для виски, как потом выяснилось, для любимой жены.	виски	ви+ски
3	виски	В отелях Дайана либо спала, либо выходила со своей неизменной фляжкой виски, опираясь на трость.	виски	ви+ски
4	виски	Я выглянула из-за чужих спин и увидела человека в майке, с полотенцем на шее, в ковбойских сапогах, с бокалом виски.	виски	ви+ски
5	виски	Он сел к моему компьютеру и стал пить свой виски.	виски	ви+ски
6	виски	Известно также, что он любит виски и хорошие сигары.	виски	ви+ски
7	виски	И вдруг до моего измученного мозга (по состоянию здоровья я в этих кошмарных гастролях практически не пил: так, немножечко виски, чуть больше пива) дошло название местечка.	виски	ви+ски
8	виски	"Мы где-то загуляли с друзьями, и один из них сказал: "" Вот хорошо бы сейчас поехать на хоккей "" (не потому, что нас так уж интересовал хоккей, а вспомнили про пресс-бар, где торговали джином и виски)."	виски	ви+ски
9	виски	"Он на этом вечере поднял бокал с виски и сказал: ""Игорь, я хочу выпить за вас и за ваши фокусы ""."	виски	ви+ски
10	виски	Да вот и мой приятель Жак, знаток всех сортов виски.	виски	ви+ски
11	виски	Коньяк, джин, виски отвергаю, причем с негодованием.	виски	ви+ски
12	виски	"Он курит или не курит (а если курит, то предпочитает тонкие голландские сигары), носит джинсовые рубашки или пиджаки (а если пиджаки, то любит английские), пьет или не пьет (а если пьет, то виски ""чивас ригал "") и так далее."	виски	ви+ски
13	виски	"Из багряного закатного океана поднимается гигантская бутылка виски ""Катти Сарк ""."	виски	ви+ски
14	виски	"Хорошо, что хотя бы выпускают такой виски! """	виски	ви+ски
15	виски	"Мы все тогда – Казаков, Евтушенко, Вознесенский – ходили со Стейнбеком и драматургом Эдвардом Олби с приема на прием, такая довольно нелепая ""светская "" жизнь, но как же еще пообщаться писателям? ""Биг Джон "" шел по Москве в невероятно длинном и огромном твидовом пальто, казалось, там, в карманах, у него большие запасы всего самого необходимого: табак, виски, чернила, бумага, сюжеты, метафоры..."	виски	ви+ски
16	виски	Мучного не ест, сладким не злоупотребляет, виски разбавляет, увлекается спортом: гольф, бассейн, бег трусцой.	виски	ви+ски
17	виски	Пил я водку, пил я виски, только жаль, без вас, Быстрицкий!	виски	ви+ски
18	виски	Еще меня устраивает, например, виски с содовой...	виски	ви+ски
