Index	Homograph	Context	TargetWord	Label
1	горе	Надоест беглецу удирать, снимет цепь и пойдет в контру на горе-охотничков.	горе	го+ре
2	горе	Смех сквозь слезы, радость сквозь горе…	горе	го+ре
3	горе	Не хочу, но придется, потому что (о горе мне!	горе	го+ре
4	горе	"Моноязычные нации – это горе-горе-беда воспитывают именно шовинизм и отторжение ""inferior cultures ""."	горе	го+ре
5	горе	Раньше горе было путникам, поверившим их слезам и уговорам.	горе	го+ре
6	горе	"Горе тому малышу, чьи родители, чувствуя, что ""недореализовали "" себя в этой жизни, начинают наверстывать упущенные возможности с помощью своего ребенка."	Горе	го+ре
7	горе	"Любое горе: руины госпиталя или ""гроб-фестиваль "", – использует для возвеличивания Грызлова, всероссийского мента, лидера ""единороссов "", предводителя ""единорогов ""."	горе	го+ре
8	горе	"И вот теперь, когда Женовач выпустил здесь второй свой спектакль (первым было грибоедовское ""Горе от ума ""), стало окончательно ясно: цитадель пала, точнее, с радостью отдалась победителю."	Горе	го+ре
9	горе	Если взрослый может выплакать свое горе и таким образом дать ему выход, то детям свойственна скрытая форма переживания.	горе	го+ре
10	горе	Павла он не знал, но горе любимой видел впервые, и его сердце рвалось на части.	горе	го+ре
11	горе	"В области театрального искусства – творческий коллектив Театра имени Вахтангова (в том числе Мария Аронова, Владимир Этуш, Ирина Купченко); Юрий Соломин – за роль Фамусова в спектакле Малого театра ""Горе от ума ""; актеры Алексей Петренко и Игорь Ясулович; коллектив ""Мастерской Петра Фоменко "", коллектив Ульяновского театра драмы."	Горе	го+ре
12	горе	Надеюсь на милосердие добрых людей, готовых разделить наше горе.	горе	го+ре
13	горе	Расскажи мне про радость и про горе,	горе	го+ре
14	горе	Ох, ну ты извини, такое горе у тебя, ох, сыночка потерял, соболезную...	горе	го+ре
15	горе	Тебе, мама молодая, и декретные не выплатят, ох, горе мне с вами, ох, горе.	горе	го+ре
16	горе	Ну кто из них захотел бы разделить с ней ее горе?	горе	го+ре
17	горе	Ее смерть была первой в жизни Колюнчика, первый раз занавесили в коридоре и в шкафу зеркала, пришли печальные женщины и стали молча готовить поминальный стол, а мальчику велели купить картошки, и он одиноко ушел бродить по грязным весенним улицам, не зная, как выразить свое горе.	горе	го+ре
18	горе	Горе одно.	Горе	го+ре
19	горе	Горе и бесчестие жены.	Горе	го+ре
20	горе	Вы помогли мне понять не только книгами своими, но и тем мимоходным поступком, что истинная интеллигентность заключается еще в том, и, может быть, прежде всего в том, чтобы уметь почувствовать чужую беду как свою, чужое горе – как свое и попытаться смягчить боль участием своим, проявлением сердечности.	горе	го+ре
21	горе	Стресс. Горе, отчаяние, страх ослабляют иммунитет, приводят к сбоям в работе эндокринной и сосудистой систем.	Горе	го+ре
22	горе	Понять это было можно – прошло слишком мало времени, чтобы Польша забыла зверства фашистов и то огромное горе, которое принесла война на польскую землю.	горе	го+ре
23	горе	Помню, у него случилось горе – погибла дочь (попала под поезд), и все, когда узнали, очень переживали за него.	горе	го+ре
24	горе	Родителями и войной наученный почитать не только свое, но и чужое горе, я друга своего не бросил.	горе	го+ре
25	горе	Полно горе горевать...	горе	го+ре
26	горе	"Но поскольку у тебя характер неуемный и ты после 60-ти вдруг надиктуешь какое-нибудь ""Горе от ума "", драматургам приходится подумать о куске хлеба на будущее..."	Горе	го+ре
27	горе	Вай, горе мне...	горе	го+ре
28	горе	Тут вы должны переводить не слово – словом и не фразу – фразой, а юмор – юмором, любовь – любовью, горе – горем...	горе	го+ре
29	горе	Горе согнуло Планка, на почерневшем лице сохранилась прежней лишь его застенчивая улыбка.	Горе	го+ре
30	горе	Счастье заразительно, как и горе.	горе	го+ре
31	горе	Горе ты мое, – откликнулась барышня.	Горе	го+ре
32	горе	И радость, и горе, болезнь и подавленность в равной мере нуждаются быть приведенными в нечто большее, чем земля, в нечто такое же просторное и глубокое, как Божественная любовь и Божественная гармония.	горе	го+ре
