Index;Homograph;Context;TargetWord;Label
1;душа;Перед плаванием, после душа, нанеси на тело небольшое количество детского масла. ;душа;ду+ша
2;душа;Я, как обычно, в 6. 30 иду сына будить, а он уже не спит – настроение – хуже некуда: проспал, мокрый после душа, поесть не успел – на автобус боялся опоздать, рычит, а не разговаривает. ;душа;ду+ша
3;душа;Эта вода там представлена в виде огромного бассейна, в виде сауны, в виде хаммама, в виде джакузи, в виде душа, в виде озера... ;душа;ду+ша
4;душа;Кожа была холодной, влажной и пахла гелем для душа. ;душа;ду+ша
5;душа;А удовольствие от нежного прикосновения мягкой ткани или энергичного растирания после холодного душа – это уж кто как любит. ;душа;ду+ша
6;душа;"Сейчас же прогоню "", – решил он и вышел из душа. ";душа;ду+ша
7;душа;Она намылила волосы матери, слегка запрокинув ей голову, чтобы мыло не стекало в глаза, потерла кожу головы, направила струю из душа, чтобы смыть пену... ;душа;ду+ша
8;душа;Женя направляет ей в спину струю душа. ;душа;ду+ша
9;душа;Из душа тебя окачу, и все... ;душа;ду+ша
10;душа;Постоял под хлесткими струями душа, яростно протерся полотенцем, вдел себя в длинный халат, вошел в кухню как раз в тот момент, когда чайник уже вскипал, яйца вот-вот сварятся до нужной степени умягченности, а сковорода раскалилась до нормы и готова принять на себя нарезанные ломти хлеба... ;душа;ду+ша
11;душа;После душа в моей жизни наступает относительная ясность. ;душа;ду+ша
12;душа;И Михайлов тоже, в согласии с ней, испытывает после душа желание не двигаться, и отяжелеть, и застыть в недвижности. ;душа;ду+ша
13;душа;"Но знаешь, старик, я любил, когда ты меня ""подзаводил "", любил стрелять у тебя деньги и боксировать с тобой после душа. ";душа;ду+ша
14;душа;Гарднер был в новом, очень хорошем штатском костюме, выбритый, надушенный, и поэтому чувствовал невероятную легкость во всем, точно после хорошего душа. ;душа;ду+ша
15;душа;После теплого душа разотрите тело полотенцем до красноты. ;душа;ду+ша
16;душа;И только во время душа он понял, что сильно ударился спиной, когда взрывная волна отбросила его. ;душа;ду+ша
17;душа;Три девушки в замкнутом пространстве душа окружены трубами, вентилями. ;душа;ду+ша
18;душа;Главное — не выйти из-под душа слишком рано. ;душа;ду+ша
19;душа;Нет, верь и надейся звучит слишком опереточно», — размышляла Ася, выходя из душа с мокрой головой. ;душа;ду+ша
20;душа;На 23 февраля – День защитника Отечества – мужчинам принято дарить бритвы, часы, носки, ножи, гель для душа, дезодорант и туалетную воду. ;душа;ду+ша
21;душа;На ночь, после ужина в кафе и душа в душевой кабине (Учились правильно крутить краны. ;душа;ду+ша
22;душа;Вечером после душа Маша лежала в постели, я сидел рядом и рассказывал сказку на ночь. ;душа;ду+ша
23;душа;Даже от кровати Петров чувствовал карамельный ароматизатор детского геля для душа. ;душа;ду+ша
24;душа;Направился к будке летнего душа, над которым висело белое, заблудившееся облако. ;душа;ду+ша
25;душа;После душа утром бельё Ивашова надевать не стала. ;душа;ду+ша
26;душа;Когда Тягин вышел из ванной после душа, голые черные окна поразили его еще неприятней. ;душа;ду+ша
27;душа;На верхних этажах 3 одноместных номера (без душа, но с туалетом) по €35, что давно немыслимо в таком районе и на таком месте. ;душа;ду+ша
28;душа;Где-то в десятку встало, я вроде экономил, а все равно, – сказал Фил, – но это все фигня, я с вас просить не буду, мне только помощь посильная, мне на эту плитку нервов не хватает, мне душа хватило. ;душа;ду+ша
29;душа;Были еще банковская карта, безопасная бритва, мыло, гель для душа, похожий на йогурт, шампунь с какими-то блестками внутри, походивший от этого на плексигласовую рукоятку ножа, которым хвастал в свое время Игорев школьный товарищ, отец которого отсидел и насобачился делать всякие забавные поделки из подручных материалов. ;душа;ду+ша
30;душа;Фотографирующие руки тянулись через плечи несущих, как когда-то Вера тянулась через занавеску душа, пугая плещущегося банкира. ;душа;ду+ша
31;душа;Кеша лежал на кухонном диванчике, свежий, после душа, с закрытыми глазами. ;душа;ду+ша
32;душа;За все время проживания у Макса Алекс еще ни разу не отказывался от душа с кремами для тела и массажной щёткой. ;душа;ду+ша
33;душа;Тем временем Зина вышла из душа – невыспавшаяся, бледноватая, но ужасно милая. ;душа;ду+ша
34;душа;В номере есть полотенца и принадлежности для душа. ;душа;ду+ша
35;душа;В душе не получалось отрегулировать температуру воды – шла то холодная, то горячая вода, если Вы не любитель контрастного душа – это небольшая, но неприятная мелочь. ;душа;ду+ша
36;душа;Парфюмерная линия включает в себя также бальзам после бритья и гель для душа. ;душа;ду+ша
37;душа;Ладно, – заключил со вздохом довольный Володя, когда игра завершилась и колясочники, сочно припечатывая друг друга по блестящим спинам, устремились в коричневую дверцу, за которой слышалось характерное гулкое шлепанье общественного душа. ;душа;ду+ша
38;душа;Из женской раздевалки уже бежала полуодетая Ирочка: высунулась сперва на крик, прикрываясь полотенцем, видно, только что из душа, но увидала, что происходит, и рванула, не стесняясь застиранного атласного бюстгальтера и расстегнутых джинсов. ;душа;ду+ша
39;душа;С этого момента Женечка стал освежаться исключительно под солоноватыми, вялыми, совершенно безопасными струйками пляжного душа. ;душа;ду+ша
40;душа;Когда он наконец добрался до душа, с него потекла манная каша. ;душа;ду+ша
41;душа;Антон, выключи мобильник, – потребовала Лиза, когда он вернулся из душа и собрался было уже забраться под одеяло. ;душа;ду+ша
42;душа;Позже, кода Сараев в спальне возился с записками, а Одарка после душа занималась у балконного окна косметическими процедурами, пришла Настя. ;душа;ду+ша
43;душа;И атмосфера та же, и веселая грязнота, и то же физиогномическое деление: среди вещевых палаток продавцы зачумленные, пыльные, в молочном – беленькие тетки, чистенькие, как будто только что из душа, и немного брезгуют нечистым покупателем. ;душа;ду+ша
44;душа;После душа Мика стал смазывать Жанну йодом, не удержался – принялся лизать ее ягодицы, бедра, Жанна перевернулась на спину, сказала охрипшим вдруг голосом: «Тронул – ходи», и Мика выключил свет. ;душа;ду+ша
45;душа;Из душа она выйдет ненакрашенной, без чулок, без кружевного белья. ;душа;ду+ша
46;душа;К сожалению, мыться приходится только под краном, душа нет. ;душа;ду+ша
47;душа;Не помню, когда именно пропали мои высокие порывы, то ли гадкий сквозняк подул, когда я выходил из душа, то ли обматерил меня на улице какой-то водитель, но, даже не будучи одержимым высокими порывами, я Лёхе писал. ;душа;ду+ша
48;душа;После душа мы закутались в махровые халаты. ;душа;ду+ша
49;душа;После нашей с сестрой веселой потасовки и совместного принятого душа настроение было самое благостное. ;душа;ду+ша
50;душа;Мы никогда не покупаем дешевой косметики, не пользуемся сомнительными шампунями или гелями для душа. ;душа;ду+ша
51;душа;Он ни разу не заправил постель, не помыл за собой тарелки или кофеварки, не повесил полотенце после душа на полотенцесушитель, а уж про классику жанра: разбросанные грязные носки, щетинки на раковине в ванной, часовое сиденье в туалете – и говорить не приходится. ;душа;ду+ша
52;душа;Из душа барышня вышла, аккуратно ступая по синусоиде в другую комнату. ;душа;ду+ша
53;душа;После душа он чуть расслабился: ;душа;ду+ша
54;душа;Просто эмоции нужно куда-то вылить – вот тогда и приходится прибегать к простым методам-прогулкам вместо разговоров или простому приему душа. ;душа;ду+ша
55;душа;Ни ванной комнаты, ни душа в доме нет: в моей «спальне», почти что рядом с кроватью, в бетонной стене имеется ничем не отгороженная ниша, где из ржавого крана раз в три-четыре дня течет вода, разумеется, холодная: это и есть долгожданный «день воды». ;душа;ду+ша
56;душа;И она пошла, виляя бедрами, под руку с чернявым лбом, в свою крысиную нору, где пол не мылся никогда по той простой причине, что был земляным, а клозетом служило вырытое в углу отверстие, над которым у самого потолка болталась консервная банка из-под советской тушенки, продырявленная гвоздем (не представляю, как мылись из этого «душа»), – пошла, оставив меня стоять посреди улицы в буквальном смысле с отвисшей челюстью. ;душа;ду+ша
57;душа;Более симпатичные – домашние тапочки, пижама или халат, по желанию шапочка для душа, бигуди, зубная щетка, прическа «я проснулся». ;душа;ду+ша
58;душа;Флешмоб «После душа» пройдет 27 июня в Пятигорске. ;душа;ду+ша
59;душа;По выходе из душа я пожалела, что не взяла с собой китайские резиновые тапки – единственные босоножки от воды разбухали и грозили вскоре меня покинуть. ;душа;ду+ша
60;душа;Да там даже душа нет. ;душа;ду+ша
61;душа;И я, чтобы узнать о том, что кто-то хочет у меня переночевать или одолжить денег, должен выскакивать голым из душа или вздыхать во время разговора об остывающем ужине или прерванном потоке вдохновения. ;душа;ду+ша
62;душа;Из душа она всегда выходила в халате, уже через минуту была в своей комнате, переодевалась за закрытой дверью и только после снова показывалась мне на глаза. ;душа;ду+ша
63;душа;В тумбочке родителей нашла пакет, который они привезли откуда-то из-за границы, – гостиничные тапочки и набор с одноразовыми флаконами – мыло, гель для душа, расческа. ;душа;ду+ша
64;душа;Не оттуда у меня растут руки, – улыбается Анжела своей верной визави, представшей после ласкового душа в запотелом зеркале. ;душа;ду+ша
65;душа;Зара вернулась из душа завёрнутой в широкое белое полотенце, в котором выглядела ещё более смуглой. ;душа;ду+ша
66;душа;Придя из душа, она молча легла рядом, ни о чём больше не спрашивая, погасила свет, и только через несколько минут раздался в темноте её голос: ;душа;ду+ша
67;душа;Подруга появилась на балконе с мокрыми после душа волосами, в банном халате – как обычно, бодрая с утра. ;душа;ду+ша
68;душа;"Слонимские и мои родственники были люди небогатые и снимали скромные дачи; водопровода не было, воду из колодца поднимали ведрами и вместо ванны или душа принимали тазик. ";душа;ду+ша
69;душа;Вместо душа – солнечные ванны. ;душа;ду+ша
70;душа;Сублимированная еда, химически очищенная вода из мочи, постоянный гул вентиляторов воздухообменной системы, маленькая конура, камеры наблюдения в иллюминаторах (и никаких людей), тревоги, нештатные ситуации, недостаток кислорода и жара (несколько раз моделировались аварии систем жизнеобеспечения), одно влажное полотенце в сутки вместо душа и одно ведро раз в десять дней, чтобы помыться, – все это оказалось мелочью по сравнению с тем, что члены экипажа оказались психологически несовместимыми. ;душа;ду+ша
71;душа;После душа, двух таблеток аспирина и трех чашек кофе к Олегу вернулись мыслительные способности. ;душа;ду+ша
72;душа;В девять часов утра всех гостей выставляли на улицу, с еще мокрыми после душа волосами. ;душа;ду+ша
73;душа;Напротив Лоринков, тоже посвежевший, после душа. ;душа;ду+ша
74;душа;Алла стояла голая, держась одной рукой за стенку душа, другой – за Лешку. ;душа;ду+ша
75;душа;Неподалеку от будки летнего душа с высоко взнесенным ржавым баком вышли, наконец, к двум пням, выкорчевать которые доверили Лунькову. ;душа;ду+ша
76;душа;Но Сол быстро придумал, как спасаться от этой непривычной для него тоски: с вечера он загонял себя так, что после душа просто падал на постель и засыпал, не успевая сказать Бемби: «Спокойной ночи!» Впрочем, она не только не обижалась, но даже не замечала этого, потому что наслаждалась свободой по-своему – переключая телевизор с одного ночного канала на другой. ;душа;ду+ша
77;душа;Так же как и отсутствие домашней еды, душа в любое время, телевизора, и прочих прелестей вольной жизни. ;душа;ду+ша
78;душа;Орифлэйм» представляет серию «Шведский SPA салон», которая включает в себя три средства – освежающий гель для душа, увлажняющий крем-суфле для тела и расслабляющую соль для ванн. ;душа;ду+ша
79;душа;Освежающий гель для душа «Шведский SPA салон» поможет пробудить энергию тела;душа;ду+ша
80;душа;и очистить кожу во время душа. ;душа;ду+ша
81;душа;Когда Маша вылезла из душа, она увидела, что Старыгин внимательно разглядывает потрепанную тетрадку. ;душа;ду+ша
82;душа;Смотри, весь мокрый, как из душа, – слышу от него после десятиминутной паузы. ;душа;ду+ша
83;душа;После душа и «завтрака» сын разговаривал по телефону, стараясь не гоготать. ;душа;ду+ша
84;душа;Но без душа начать день нельзя. ;душа;ду+ша
85;душа;После этого из клетки забрали оставшихся обезьян, которые еще были свидетелями душа, устраиваемого за банан, и подсадили еще пятерку. ;душа;ду+ша
86;душа;По крайней мере, итальянская компания Bossini предлагает соорудить «музыкальный фонтан наоборот», проведя некоторую модернизацию душа и применив для воспроизведения композиций любой MP3-плеер или телефон с функцией аудиопроигрывателя. ;душа;ду+ша
87;душа;Музыка вместе с водой будут идти прямо из насадки для душа. ;душа;ду+ша
88;душа;Отломали у стола ножку, у душа дверцу. ;душа;ду+ша
89;душа;Но зачем эти перегибы, эти странные утверждения: что майонез «Molly» универсальное средство, которое можно использовать как гель для душа, в том числе. ;душа;ду+ша
90;душа;После душа босиком вернулся на кухню. ;душа;ду+ша
91;душа;Ева вышла из душа, от бутербродов отказалась. ;душа;ду+ша
92;душа;Всё мечтал, его Наташа вернётся и выйдет из душа в «Coca-cole», как прежде. ;душа;ду+ша
93;душа;Я думал, вот выйдет она из душа – буду просить прощения. ;душа;ду+ша
94;душа;Но выйдет из душа в одних тапках – мослы на холодец, суповой набор. ;душа;ду+ша
95;душа;Пустив мелкий дождик душа, сыплющий со всех сторон, Егор начал обмыливать Дашу. ;душа;ду+ша
96;душа;Ребята из душа в раздевалку прибежали, наплескали, вы зашли сюда и поскользнулись. ;душа;ду+ша
97;душа;А Сторожев стоял в халате после душа перед окном и глядел в окно во двор, где бежала одинокая собака, явно не понимая, куда и зачем бежит, и вдруг резко остановилась и упала, будто ее подстрелили. ;душа;ду+ша
98;душа;Там нет туалета и душа, но она одноместная, с ремонтом, телевизором, столиком-диванчиком и так далее. ;душа;ду+ша
99;душа;Газель останавливается сразу возле ворот ик-17, надо будет крикнуть мальчиков-безконвойников, они все сумки сами носят прям до дверей! в комнате ожидания телефон, обязательно позвонить и сообщить к кому приехала, иначе долго всё будет! выходит свиданщица, забирает заявления и паспорта и ждете! ждать не долго, мы где-то часик покурили в ожидании и зашли! комнат там много, на двух этажах! есть платные комнаты - 300 рублей сутки! в них телевизор и холодильник, остальное всё одинаковое! в комнатах: 2 кровати, стол, 2 стула, кресло! в принципе всё аккуратно и чисто! два туалета и два душа, М и Ж. Комната отдыха большая, много детских игрушек! есть курилка с лавочками! ;душа;ду+ша
100;душа;Изящно очерченные пальчики ног, перламутровые ноготки-ракушки, блестящая кожа, чуть красноватая, словно окаченная теплой струей из душа, упругий живот, гордо вздернутые груди с вожделенно твердыми сосками. ;душа;ду+ша
101;душа;Я и еще три тетки лежим вповалку на паре двуспальных кроватях, не в силах пошевелиться после измотавшего нас дня и прохладного душа. ;душа;ду+ша
102;душа;В комнате с табличкой «Душевая» не было ни одного душа, зато было много сестер, и вся правая стена была заставлена ящиками с бутылками для анализов. ;душа;ду+ша
103;душа;Из поездки отчетливо помню (кроме душа Шарко) только то, что в этом санатории, на окраинной территории бывшей усадьбы нефтяного магната начала века, мы наткнулись на какой-то лаз. ;душа;ду+ша
104;душа;Когда я бегал по утрам, летящее навстречу утро пахло мокрым выметенным асфальтом, и свежим бельем, и шампунем идущих навстречу женщин – безработные или господствующие мужчины еще спали, а работяги вставали раньше, еще до времени моей пробежки, и когда я возвращался, с дыханием, проветренным пятью милями, и после душа тихонько входил в спальню, я припадал к ее волосам и мгновеньем обморока слышал этот странный влекущий и тревожный смертный запах… ;душа;ду+ша
105;душа;На рассвете Стервятник встал, опухший и почерневший, дохромал до душа и простоял под ним до подъемного звонка. ;душа;ду+ша
106;душа;Представляя предстоящий ему разговор со Сфинксом, после того, как Слепой будет удален, он трезвел стремительнее, чем от холодного душа. ;душа;ду+ша
107;душа;Он в белоснежных брюках и в белой майке, а мокрые после душа волосы зачесаны назад. ;душа;ду+ша
108;душа;Без душа и переодеваний. ;душа;ду+ша
109;душа;Македонский явно из душа. ;душа;ду+ша
110;душа;Из душа она выскочила от криков. ;душа;ду+ша
111;душа;Ему нельзя ее жалеть, он жесток, он поливает ее ледяной водой из душа, успевая поймать себя на мысли, что если не испытываешь к своей жертве жалость, сострадание, то, как эти санитары в медвытрезвителях, получишь удовольствие садиста… ;душа;ду+ша
112;душа;Поселившись, ты все еще находишься в пути, и вот можно попасть в хороший вагон или дешевую ночлежку даже без душа, только и разница, только и разница. ;душа;ду+ша
113;душа;Из тюрьмы ее вызволил папа, с места аварии вывез Илья, из душа вытащила Алиса. ;душа;ду+ша
114;душа;Утром, после душа, глядя на себя в зеркало, я думала: боже мой, какая я красивая! – и тут же вдогонку: боже мой, какая я несчастная! ;душа;ду+ша
115;душа;Доктор, а у вас там, в клизменной, нет душа, я там была. ;душа;ду+ша
116;душа;В ванной он так и не научился задергивать занавеску душа до конца, приходилось каждый раз тряпкой убирать за ним. ;душа;ду+ша
117;душа;Однажды вылетела нагишом из душа, чтобы успеть к звонку. ;душа;ду+ша
118;душа;Выхожу из душа, а она все еще не оделась. ;душа;ду+ша
119;душа;Две или три недели назад я мылся в ванной, напевая свои любимые песенки, и смеялся под напором душа во рту. ;душа;ду+ша
