Index	Homograph	Context	TargetWord	Label
1	полку	Когда я увидела купе на четверых, где Пинкас пытался подсадить свою даму на верхнюю полку, а она оттуда все время сваливалась, перевешиваемая пятой точкой, мне стало страшно.	полку	по+лку
2	полку	"В киоске ""Печать "" около метро ""Рязанский проспект "", например, я обнаружил полку с крупной надписью ""Уценка ""."	полку	по+лку
3	полку	Это была та самая санитарная машина, единственная в полку, на которой в прошлом Холмогоров отправлялся в путь, еще не зная, куда везут его и что с ним будет.	полку	по+лку
4	полку	"В отсеке, где все собрались, должно быть, квартировал отец Мухина, свою отдельную полку в нем и называя "" номером ""."	полку	по+лку
5	полку	Одну нижнюю полку не иначе как с приходом хозяина немедленно освободили и дали место инженеру-атомщику.	полку	по+лку
6	полку	Рукопись подделал и ставь на полку.	полку	по+лку
7	полку	Потом Сергей лег на нижнюю полку, обнял футляр с упрятанным внутри инструментом и проспал до Москвы.	полку	по+лку
8	полку	Денег еще оставалось порядочно, я наказывал Коле купить полку для книг, решетку для посуды, в ванную сиденье, мочалку, мыло, зубную щетку и пасту, совок, ведро для мусора, метлу, стиральный порошок.	полку	по+лку
9	полку	"После критической заметки в ""Советской культуре "" все остальные наши серии положили на полку."	полку	по+лку
10	полку	Он зашел в баню рядом с 1-м медицинским институтом, сел в парной на полку и поклялся там сидеть, пока я не закончу институт и не сяду рядом...	полку	по+лку
11	полку	Если у вас зуб на зуб не попадает (дрожите от холода), или вы щелкаете зубами (от голода), и вообще уже собираетесь положить зубы на полку (ограничить себя в самом необходимом) – не отчаивайтесь, вам поможет ЗУБАРИЯ, или правила пользования выражениями о зубах.	полку	по+лку
12	полку	Ставит в ванную на полку лосьон, помазок для бритья.	полку	по+лку
13	полку	Эти неумные, самолюбивые, честолюбивые мысли одолевали меня, когда я со скрипом забиралась на верхнюю полку купированного вагона скорого поезда Ленинград – Москва.	полку	по+лку
14	полку	Я еще не в том возрасте, когда вскарабкаться на полку – непосильная задача, но уже не в том, когда вспархиваешь, как птичка.	полку	по+лку
15	полку	Вот в одной из тех книжек, сказал Офштейн, указав на полку с книгами, в одной из этих книжек, которые я начал читать, став истопником, сказано о прямой линии материальной жизни между обезьяной и лопухом...	полку	по+лку
16	полку	Для более быстрого оттаивания дверь шкафа следует держать открытой и в ледоформы или в какой-либо другой сосуд налить горячей воды (60-70 ° C) и поставить их на полку испарителя.	полку	по+лку
17	полку	Она открыла шкаф, положила череп на полку, снова закрыла дверцы шкафа и простояла так с минуту спиной к нему.	полку	по+лку
18	полку	Чувствуя себя крайне сконфуженным среди этого комфорта в своей толстовке домашнего шитья, опасаясь в глубине души, как бы все это не оказалось мистификацией и как бы нас с позором не высадили из поезда на ближайшей станции, где-нибудь на Раздельной или Бирзуле, птицелов вскарабкался на верхнюю полку с уже раскрытой постелью, белеющей безукоризненными скользкими прохладными простынями, забился туда и первые сто километров сопел, как барсук в своей норе, упруго подбрасываемый международными рессорами.	полку	по+лку
19	полку	Иду в парилку, сажусь на полку в штанах и с независимым видом.	полку	по+лку
20	полку	Лезь вон на полку и засыпай.	полку	по+лку
21	полку	Иван полез на верхнюю полку и затих.	полку	по+лку
22	полку	Прошуршала в полутьме платьем, легко запрыгнула на полку и тоже затихла.	полку	по+лку
23	полку	Позвольте, разрешите, я полезу на верхнюю полку.	полку	по+лку
24	полку	Правда, когда я приехал в дом отдыха в следующий раз, через полтора года, я привез этот том и незаметно поставил на полку.	полку	по+лку
25	полку	"Дмитриев смастерил и повесил над столиком полку для книг, провел туда электричество для настольной лампы – сделал за ширмой особую комнатку ""одиночку "", как называли ее в семье."	полку	по+лку
26	полку	Соседи меня притесняют как хотят, мой сундук выбросили, мою полку со стены сорвали – они знают, что я слова не смею... что меня можно выселить из Москвы!	полку	по+лку
27	полку	Попал метко, на самую полку.	полку	по+лку
28	полку	Привезли их в библиотеку, положили на полку, они и пролежали там пятнадцать лет.	полку	по+лку
