Index	Homograph	Context	TargetWord	Label
1	уха	Купили клипсу для уха, на этом его пыл угас.	уха	у+ха
2	уха	И отхватил кусочек от левого уха.	уха	у+ха
3	уха	"Тем более что для среднестатистического современного уха фольклорная манера исполнения устойчиво ассоциируется с ""воем ""."	уха	у+ха
4	уха	"Хотя именно ""царский "" двойной прокол мочки уха мумии, наряду с другими особенностями – бритой головой и лебединой шеей, позволил Джоан Флетчер приписать найденную вблизи гробницы Тутанхамона мумию его мачехе, жене фараона Эхнатона Нефертити."	уха	у+ха
5	уха	Потом петербуржцы из НИИ уха, горла, носа и речи договорились с братиславской клиникой.	уха	у+ха
6	уха	Из самой середины уха бил фонтан седых волос, а большие удлиненные мочки морщились продольными складками.	уха	у+ха
7	уха	К сожалению, это теперь массовое явление, – шамкал Исаак Вениаминович, гуляя пальцами около Таниного уха, вниз по шее, останавливаясь под подбородком и влезая в самую глубину подмышек.	уха	у+ха
8	уха	В движении труб, на которых он стоял, был какой-то сложный ритмический рисунок, но уловить его он никак не мог, несмотря на всю чуткость музыкального уха.	уха	у+ха
9	уха	Бедный человек, голова – два уха!	уха	у+ха
10	уха	И вот эта борода чернеется под шляпой, в волосьях бороды комары одиночные роются, норовят до уха иль до круглого носа поэта добраться, крови его попить, будто цензуры советской нету кровь – то нашу творческую пить.	уха	у+ха
11	уха	Я наконец вынул свои удочки из чехла, сложил любимую, бамбуковую, и вершинкой удилища попробовал согнать комара с уха поэта.	уха	у+ха
12	уха	И просьбу изложила дикую для уха: похоронить ее так, чтоб никто, кроме него, на погребении не присутствовал.	уха	у+ха
13	уха	"Да, признался он, третьеводни (он специально употребил это слово для уха декана, падкого – в период борьбы с космополитизмом – на все простонародное), – третьеводни в его лекции прозвучало: ""Соотношение же между обычаем и правом на Руси таково: есть обычай, есть закон, и Россия имеет обычай законы не исполнять! "" Но, во-первых, не им первым сказано это, выражение сие бытовало в среде либеральных профессоров прошлого века."	уха	у+ха
14	уха	Он и побриться не успел, поднятый в семь утра бабаханьем милицейских сапожищ о дверь, догадывался, что от него разит спиртным, отворачивался от Мишиной, краем уха выслушивая бредни ее, какие-то бабские причитания, и приглядывался к разношерстной публике, которую просеивала милиция, отбирая наиболее годных.	уха	у+ха
15	уха	"Как будет звучать программа русской камерной музыки – не такой уж легкой для восприятия "" чужого ""уха – на многотысячной аудитории?"	уха	у+ха
16	уха	Ведущая, Валентина Ивановна, держала телефонную трубку у уха и молчала, но вдруг раздался громкий, на весь зал, гудок, и старческий голос сказал:	уха	у+ха
17	уха	Когда-то в молодости, будучи врачом в уездном городе, он сделал трепанацию черепа молодому рабочему, погибавшему от гнойного воспаления среднего уха.	уха	у+ха
18	уха	Правда, к уху Витькиному он чувствовал неприязнь, это нужно учесть, оно ему не нравилось, его даже чуть подташнивало при виде Витькиного уха.	уха	у+ха
19	уха	И притом не с уха на ухо, не в доверительной беседе, нет, официальным рапортом.	уха	у+ха
