Index;Homograph;Context;TargetWord;Label
1;чайку;Тригорин (А. Лобоцкий) видит и ласкает не бойкую Нину, но нежную мертвую чайку, лежащую тут же на скамье. ;чайку;ча+йку
2;чайку;"И вытащила из сумки, а у нее всегда с собой куча ее балетных туфель, тапочки, в которых она танцевала ""Чайку "". ";Чайку;ча+йку
3;чайку;"Filmz Фил Бейкер всегда славился экстравагантностью: он имеет в своем гараже единственную в Великобритании ""Чайку "" и собрал под своим крылом все три имевшиеся на островах ""Таврии "". ";Чайку;ча+йку
4;чайку;Уже участковый пожаловал, соседи толпились у двери, тетка предложила попить чайку, и школьница бесхитростно поведала о третьей жилице, Варваре Анохиной, которая доводится Синицыну двоюродной сестрой. ;чайку;ча+йку
5;чайку;В столовой большой стол, за которым каждый вечер усаживались гости попить чайку. ;чайку;ча+йку
6;чайку;Я был свидетелем, как он разбил на куски мраморную стилизованную чайку, косо положенную на кусок зеленого стекла, изображающего средиземноморскую волну, специально для него отлитую на стекольном заводе. ;чайку;ча+йку
7;чайку;"на "" Чайку ""налетел с Добиновки внезапный шквал. ";Чайку;ча+йку
8;чайку;Приходит Треплев без шляпы, с ружьем, приносит чайку. ;чайку;ча+йку
9;чайку;"Как-то Константин Гаврилович застрелил чайку, и вы поручили мне заказать из нее чучело "". ";чайку;ча+йку
10;чайку;Помните, вы подстрелили чайку? ;чайку;ча+йку
11;чайку;Помнится, я видел однажды, вечером, во время отлива, на плоском песчаном берегу моря, грозно и тяжко шумевшего вдали, большую белую чайку: она сидела неподвижно, подставив шелковистую грудь алому сиянью зари, и только изредка медленно расширяла свои длинные крылья навстречу знакомому морю, навстречу низкому, багровому солнцу: я вспомнил о ней, слушая Якова. ;чайку;ча+йку
12;чайку;Однажды я повела всю школу во МХАТ на «Чайку». ;Чайку;ча+йку
13;чайку;Так «Чайку» можно «перевести» как детектив, «Гамлета» – как историю о привидениях, детский стишок про «Трех дураков в одном тазу» – как танку о пути Мудрых. ;Чайку;ча+йку
14;чайку;Одна особа, имеющая некий чин, позволявший ей скандалить в случае неудовольствия, опоздала к началу спектакля (в тот раз давали не «Чайку», в программе стоял совсем другой спектакль). ;Чайку;ча+йку
15;чайку;Петров никогда не был в театре, даже в школе он исхитрялся прогуливать походы на «Чайку» и бог знает еще какие спектакли, хотя учительница литературы говорила, что поход в театр приравнивается к обычному уроку и прогул театра автоматически становится прогулом урока. ;Чайку;ча+йку
16;чайку;Лида после того, как закончит училище, собиралась поставить «Чайку» совсем не так, как ее представляли до этого, у нее был сумасшедший план с каким-то тюлем, подвешенным в темноте и подсвеченным огоньками. ;Чайку;ча+йку
17;чайку;Недавно мне рассказали, как на озерце Юность посреди города (в пору моей юности эта Юность называлась «озеро Чан») сом пытался сожрать чайку. ;чайку;ча+йку
18;чайку;Я сразу поверил, потому что это очень по-владивостокски: сом, в центре города пытающийся сожрать чайку;чайку;ча+йку
19;чайку;(сам я, к слову, однажды снимал чайку с удочки, с крючка – она случайно попалась, и пришлось её освобождать, что было небезопасно). ;чайку;ча+йку
20;чайку;А как воспоминал сам Подъячев: «Кормились кое-как картошкой... продавали за бесценок грибы и на эти деньги покупали «чайку, сахарку». ;чайку;ча+йку
21;чайку;Он и за семьдесят, вспоминая свою оглушившую когда-то многих метафору про «чайку – плавки бога», мог написать задорно и лихо – куда там юношам: ;чайку;ча+йку
22;чайку;Отправил на остров почтовую чайку, чтобы успокоить родителей и заверить, что вернём найдёныша на родной остров в следующую навигацию. ;чайку;ча+йку
23;чайку;Полученное впечатление позволило ему завершить «Чайку», давно начатую работу: бушующее море, над ним другая ипостась Зиночки – «демоническая», говоря изысканным искусствоведческим сленгом. ;Чайку;ча+йку
24;чайку;Берёзанька» – Зиночка светлая-светлая, а вот «Чайку» «демоническую» на выставку не взяли. ;Чайку;ча+йку
25;чайку;Его компания, которая уже тогда получила свое нынешнее сокращенное наименование «Новэкс» и логотип – белую чайку, стала оптовым посредником между крупными федеральными поставщиками и местными торговцами. ;чайку;ча+йку
26;чайку;Или просто чайку заварите, карамельку за щеку – и пущай фильм идет, а вы наслаждайтесь. ;чайку;ча+йку
27;чайку;Очень трудно заставить разбиваться волну, а чайку – лететь. ;чайку;ча+йку
28;чайку;Хоть петь ей сейчас не про Катюшу хочется, а другую совсем песню, печальную: про охотника безвестного да про чайку у озера. ;чайку;ча+йку
29;чайку;И вдруг мой взгляд упал на правительственную «Чайку», припаркованную у тротуара напротив Дома книги. ;Чайку;ча+йку
30;чайку;Целил в чайку, а попал в уточку. ;чайку;ча+йку
31;чайку;Предпочитал принимать крестьян в Мелехове, рыть пруд и писать «Чайку». ;Чайку;ча+йку
32;чайку;Чайку выпьешь, старина? — спросил Сергей Николаевич, когда с курицей было покончено. ;Чайку;ча+йку
33;чайку;Чайку подлить? – заботился дед. ;Чайку;ча+йку
34;чайку;Чайку будешь? – спросила старушка. ;Чайку;ча+йку
35;чайку;На обложке крупными красивыми буквами вывели название команды и нарисовали летящую чайку. ;чайку;ча+йку
36;чайку;Чайку мы попили и пошли. ;Чайку;ча+йку
37;чайку;А через два дня, – заканчивает Сфинкс, – ты вернулась, чтобы раскрасить свою чайку. ;чайку;ча+йку
38;чайку;Вместо ответа нам была оставлена тонкая книжка про чайку. ;чайку;ча+йку
39;чайку;Я понимаю, каково это – не приручать, если ты любишь, когда любят тебя, если обретаешь младших братьев, за которых ты в ответе до конца своих дней, если превращаешься в чайку, пишешь незрячему любовные письма на стенах, письма, которые он никогда не прочтет. ;чайку;ча+йку
40;чайку;Смедс, одна из ключевых фигур нового театрального поколения, поставил «Чайку» силами труппы эстонского Театра фон Краля, отца и сына Ульфсаков, где старший, Лембит, играет Аркадину, а младший, Юхан, – Треплева, наносящего грим, как боевую раскраску, и заявляющего: «Спасайся! ;Чайку;ча+йку
41;чайку;И вот в последний вечер сидит на палубе и смотрит на чайку, которая сидит на поручне и смотрит на нее. ;чайку;ча+йку
42;чайку;Помещик отворачивается от зрелища покоса его лугов и глядит на чайку с рыбой в клюве,;чайку;ча+йку
43;чайку;которая в свою очередь пристально глядит на другую чайку, еще не поймавшую рыбы,;чайку;ча+йку
44;чайку;которая пристально же глядит на первую чайку. ;чайку;ча+йку
45;чайку;Здесь «Чайку» отпустили, а автобус заехал за угол и встал там в ожидании нескорого окончания пиршества. ;Чайку;ча+йку
46;чайку;Летящая, почти касающаяся земли форма, напоминающая парус, волну, чайку, – с разных сторон памятник воспринимают разному. ;чайку;ча+йку
47;чайку;Я видел сегодня мёртвую чайку, – рассказывал Вирсавин, оглядываясь к нам, – или, может быть, альбатроса. ;чайку;ча+йку
48;чайку;Меня встречает семья Поляковых, едем в «Чайку». ;Чайку;ча+йку
49;чайку;Посмотрев у нас «Чайку», Петер Штайн сказал мне: «Вот о таком актере мечтал всю жизнь. ;Чайку;ча+йку
50;чайку;Кто читал «Чайку по имени Джонатан Ливингстон», написанную одним из самых верных и последовательных гхошевцев – Ричардом Бахом (книгу он и задумал как «предисловие к интегральной веданте», адресованное всем читающим людям, в том числе и далеким от эзотерики домохозяйкам), тот примерно представляет главную идеологему Ауровиля – «города, который не принадлежит никому конкретно, но сразу всему человечеству». ;Чайку;ча+йку
51;чайку;Прадед – военком 11-й Армии, шаровой молнией плывет по кабинету его сияющая лысина, он что-то приветливо говорит сердитому поэту, после чая ведет его на набережную, они пьют айран с лотка у причала общества «Кавказ и Меркурий», смотрят на колышущиеся на волнах флотилии арбузных корок, на чайку, распекающую мусорный ящик, и долго-долго – на безупречную линию горизонта, взятую к небу серыми крыльями бухты. ;чайку;ча+йку
52;чайку;Выразил умонастроение, согласно которому все ему чем-то должны, а он не должен никому, так что не дождетесь, он все оставит себе – и чайку над взморьем, и гребень волны. ;чайку;ча+йку
53;чайку;В расширенном музее демонстрируют в числе прочего «Чайку» патриарха Пимена (подарок Л.И. Брежнева), «Додж 3/4» 1943 года на 11 пассажиров, «Мерседес-Бенц-320» 1936 года, принадлежавший Мартину Борману. ;Чайку;ча+йку
54;чайку;Каждому, кто выходил на сцену получать «Чайку», он говорил теплые слова, шутил и дружески пожимал руку. ;Чайку;ча+йку
55;чайку;Кстати, на этой встрече я передал космонавту А. Леонову значок нашего театра – «Чайку» – и сказал ему: «Если полетите на Луну, оставьте там этот значок – ведь МХАТ вряд ли полетит туда на гастроли»... ;Чайку;ча+йку
56;чайку;А теперь, не в дружбу, но и не в службу, завари чайку. ;чайку;ча+йку
57;чайку;Практически сделали немного, отвергли очередную «Чайку» (кто-то подсказал – одиннадцатую в Москве). ;Чайку;ча+йку
58;чайку;Акунин уже написал свою «Чайку». ;Чайку;ча+йку
59;чайку;Чеховскую Чайку, как было остроумно замечено, гримировали под горьковского Буревестника – такова была цена официального признания и даже пиетета по отношению к Чехову. ;Чайку;ча+йку
60;чайку;"К наблюдениям Вахтела можно добавить еще одно – сравнение из рассказа Тургенева «Певцы»: «Помнится, я видел однажды, вечером, во время отлива, на плоском песчаном берегу моря, грозно и тяжко шумевшего вдали, большую белую чайку: она сидела неподвижно, подставив шелковистую грудь алому сиянью зари, и только изредка медленно расширяла свои длинные крылья навстречу знакомому морю, навстречу низкому, багровому солнцу: я вспомнил о ней, слушая Якова» (Тургенев И. С. Полн. собр. соч.: В 28 т. Т. 4. М.; Л., 1963. ";чайку;ча+йку
61;чайку;Полное отсутствие сентиментальности продемонстрировал и молодой венгерский режиссер Арпад Шиллинг, показавший на фестивале свою «Чайку». ;Чайку;ча+йку
62;чайку;Треплев протягивал его Нине, она с испугом заглядывала внутрь: «Что это?» «Я убил чайку!» – гордо отвечал он, и несколько перышек, кружась, падали на пол. ;чайку;ча+йку
63;чайку;Шаг за шагом, страница за страницей чеховского текста, испещренного режиссерскими пометками и сокращениями (относящимися, кстати, еще и ко второй постановке «Чайки» в 1902 году, так что необходимо затратить усилия для распознавания и расчленения), Александр Чепуров реконструирует александрийскую «Чайку». ;Чайку;ча+йку
64;чайку;Надо сказать, нынешняя так называемая «черная критика» – это ягнята по сравнению с той безжалостной (и именитой) волчьей стаей, которая набросилась на «Чайку» после премьеры. ;Чайку;ча+йку
65;чайку;Вместо того, чтобы лечь, картинно стонать и требовать от него то чайку с враньем, то микстуру из аптеки, то дочь покормить. ;чайку;ча+йку
66;чайку;Снял свое табу с нелюбимой им прежде пьесы Петер Штайн, поставивший «Чайку» в Риге. ;Чайку;ча+йку
67;чайку;Как же в рассказике на самиздатских питерских листках ту чайку звали, которая попробовала сквозь скалы? ;чайку;ча+йку
68;чайку;Вы увидите нашу «Чайку», а мы– вашу. ;Чайку;ча+йку
69;чайку;Вы видели, видели, – к ним подбежала, запыхавшись, Олимпия, это она спугнула чайку, – там, у кафе, такая странная женщина в шляпе с матерчатыми цветами и перчатках, очень сильно накрашенная, сама с собой танцует вальс, и у нее сползают чулки... ;чайку;ча+йку
70;чайку;Чайку с рыбёшкой в клюве? ;Чайку;ча+йку
71;чайку;Эти люди должны были увековечить бурю – волну и ветер, молнию и чайку в небесах. ;чайку;ча+йку
72;чайку;В Нину-Чайку целился Костя, но попал-таки Тригорин. ;Чайку;ча+йку
73;чайку;И в «Чайку» – как в водоворот, как в озеро прошлого! ;Чайку;ча+йку
74;чайку;Размах у нашего Франца Осиповича поистине русский!» – отметил Савва Морозов после того, что тот безвозмездно реконструировал театр Лианозова в Камергерском переулке (будущий МХТ), напоследок изобразив г-ну Станиславскому чайку – эдак небрежно, несколькими росчерками карандаша. ;чайку;ча+йку
75;чайку;Но время и, главное, стиль времени, в котором Ахметели ставил свою «Ламару», эту грузинскую «Чайку», кануло безвозвратно. ;Чайку;ча+йку
76;чайку;Не «ощипал» ли режиссер не только «чайку», но заодно и ее оппонентов? ;чайку;ча+йку
77;чайку;Они заслонили собой проход, но я успел схватить глазами и чайку, и удалявшиеся постройки яхт-клуба, и отблеск солнца на серой воде и подумать, что в мое отсутствие между родителями произошла серьезная размолвка, но сейчас трещина сужается, и катер должен помирить их. ;чайку;ча+йку
78;чайку;Ее продемонстрировал на театральной Олимпиаде прошлого года австрийский режиссер Люк Боди, поставивший «Чайку». ;Чайку;ча+йку
79;чайку;Когда Табаков уже после его смерти решил восстановить ефремовскую «Чайку», то первая мысль, пронзившая меня, была о том, как много в режиссуре любви. ;Чайку;ча+йку
80;чайку;И как-то раз в конце марта, когда в один день нахлынула весна: тепло, журчание талой воды, грубый, тяжелый запах оттаявшей, но не ожившей еще земли и свет молодого неба, – я кувыркнувшуюся на лету ворону принял за чайку – до того рвануло душу на Север... ;чайку;ча+йку
81;чайку;Более того, присмотревшись, начинаешь обнаруживать общие черты, присущие поколению, – сзади чем-то напоминает, тьфу, прости Господи, «Чайку» ГАЗ-13 последнего советского разлива, фары вроде «линкольновских» того же времени, ручки дверные чисто «волговские», хром кругом по сгинувшей солидной моде... ;Чайку;ча+йку
82;чайку;Я только шагнул к краю – и согнал с гнезда крупную чайку. ;чайку;ча+йку
83;чайку;На этот раз удивил Ильев взявшись за «Чайку» Акунина. ;Чайку;ча+йку
